,champion_name,champion_cost,image,count,count_percent,average_placement,average_tier,1,2,3,4,5,6,7,8
TFT3_Ahri,Ahri,2,../../../assets/TFT_set_data/set3/champions/ahri.png,102,0.45,4.79,1.87,12,11,11,13,9,14,15,17
TFT3_Annie,Annie,2,../../../assets/TFT_set_data/set3/champions/annie.png,207,0.92,4.53,1.94,28,23,29,25,23,19,32,28
TFT3_Ashe,Ashe,3,../../../assets/TFT_set_data/set3/champions/ashe.png,722,3.21,4.64,1.82,80,80,90,101,87,92,90,102
TFT3_AurelionSol,AurelionSol,5,../../../assets/TFT_set_data/set3/champions/aurelionsol.png,209,0.93,3.67,1.52,42,41,29,26,22,15,21,13
TFT3_Blitzcrank,Blitzcrank,2,../../../assets/TFT_set_data/set3/champions/blitzcrank.png,751,3.34,4.41,1.85,103,98,83,99,99,99,79,91
TFT3_Caitlyn,Caitlyn,1,../../../assets/TFT_set_data/set3/champions/caitlyn.png,180,0.8,4.89,1.96,21,14,18,24,27,21,19,36
TFT3_ChoGath,ChoGath,4,../../../assets/TFT_set_data/set3/champions/chogath.png,839,3.73,4.21,1.86,125,124,96,108,112,116,81,77
TFT3_Darius,Darius,2,../../../assets/TFT_set_data/set3/champions/darius.png,120,0.53,5.38,1.86,11,8,12,9,11,20,20,29
TFT3_Ekko,Ekko,5,../../../assets/TFT_set_data/set3/champions/ekko.png,185,0.82,3.99,1.49,34,27,24,18,24,28,21,9
TFT3_Ezreal,Ezreal,3,../../../assets/TFT_set_data/set3/champions/ezreal.png,346,1.54,4.75,1.78,34,40,32,44,53,51,51,41
TFT3_Fiora,Fiora,1,../../../assets/TFT_set_data/set3/champions/fiora.png,292,1.3,4.46,1.86,40,36,31,35,42,42,33,33
TFT3_Fizz,Fizz,4,../../../assets/TFT_set_data/set3/champions/fizz.png,452,2.01,4.16,1.85,72,67,61,55,50,52,50,45
TFT3_Gangplank,Gangplank,5,../../../assets/TFT_set_data/set3/champions/gangplank.png,615,2.74,4.13,1.48,97,92,78,81,77,67,69,54
TFT3_Graves,Graves,1,../../../assets/TFT_set_data/set3/champions/graves.png,199,0.89,4.69,1.83,29,27,15,15,23,30,30,30
TFT3_Irelia,Irelia,4,../../../assets/TFT_set_data/set3/champions/irelia.png,831,3.7,4.42,1.83,93,107,124,107,115,95,100,90
TFT3_JarvanIV,JarvanIV,1,../../../assets/TFT_set_data/set3/champions/jarvaniv.png,318,1.42,4.61,1.92,38,41,36,42,40,29,40,52
TFT3_Jayce,Jayce,3,../../../assets/TFT_set_data/set3/champions/jayce.png,567,2.52,4.7,1.9,48,68,78,74,72,75,73,79
TFT3_Jhin,Jhin,4,../../../assets/TFT_set_data/set3/champions/jhin.png,534,2.38,4.53,1.92,67,67,68,69,59,62,65,77
TFT3_Jinx,Jinx,4,../../../assets/TFT_set_data/set3/champions/jinx.png,646,2.87,4.35,1.89,90,92,72,83,86,74,81,68
TFT3_KaiSa,KaiSa,2,../../../assets/TFT_set_data/set3/champions/kaisa.png,271,1.21,4.72,1.83,31,27,36,28,37,33,40,39
TFT3_Karma,Karma,3,../../../assets/TFT_set_data/set3/champions/karma.png,371,1.65,4.52,1.74,47,42,51,51,40,40,51,49
TFT3_Kassadin,Kassadin,3,../../../assets/TFT_set_data/set3/champions/kassadin.png,1064,4.73,4.5,1.83,117,135,142,148,129,140,130,123
TFT3_Kayle,Kayle,4,../../../assets/TFT_set_data/set3/champions/kayle.png,883,3.93,4.35,1.83,111,105,143,109,118,104,102,91
TFT3_KhaZix,KhaZix,1,../../../assets/TFT_set_data/set3/champions/khazix.png,522,2.32,4.32,1.95,81,69,66,60,59,68,56,63
TFT3_Leona,Leona,1,../../../assets/TFT_set_data/set3/champions/leona.png,244,1.09,4.81,1.88,26,26,25,28,31,38,34,36
TFT3_Lucian,Lucian,2,../../../assets/TFT_set_data/set3/champions/lucian.png,231,1.03,4.65,1.81,24,27,24,31,29,38,36,22
TFT3_Lulu,Lulu,5,../../../assets/TFT_set_data/set3/champions/lulu.png,791,3.52,3.89,1.44,141,125,118,99,100,80,69,59
TFT3_Lux,Lux,3,../../../assets/TFT_set_data/set3/champions/lux.png,406,1.81,4.37,1.82,57,53,55,61,38,37,51,54
TFT3_Malphite,Malphite,1,../../../assets/TFT_set_data/set3/champions/malphite.png,787,3.5,4.31,1.9,117,109,91,99,98,96,91,86
TFT3_MasterYi,MasterYi,3,../../../assets/TFT_set_data/set3/champions/masteryi.png,265,1.18,4.41,1.86,34,35,33,35,33,33,33,29
TFT3_MissFortune,MissFortune,5,../../../assets/TFT_set_data/set3/champions/missfortune.png,865,3.85,4.07,1.39,129,140,122,105,113,97,91,68
TFT3_Mordekaiser,Mordekaiser,2,../../../assets/TFT_set_data/set3/champions/mordekaiser.png,158,0.7,4.98,1.8,20,12,14,20,17,19,26,30
TFT3_Neeko,Neeko,3,../../../assets/TFT_set_data/set3/champions/neeko.png,31,0.14,5.39,1.94,1,2,7,1,3,5,4,8
TFT3_Poppy,Poppy,1,../../../assets/TFT_set_data/set3/champions/poppy.png,115,0.51,5.25,1.94,11,6,14,11,11,16,24,22
TFT3_Rakan,Rakan,2,../../../assets/TFT_set_data/set3/champions/rakan.png,259,1.15,4.67,1.91,35,27,27,35,29,30,34,42
TFT3_Rumble,Rumble,3,../../../assets/TFT_set_data/set3/champions/rumble.png,327,1.46,4.5,1.76,41,42,40,38,48,32,44,42
TFT3_Shaco,Shaco,3,../../../assets/TFT_set_data/set3/champions/shaco.png,274,1.22,4.59,1.92,37,33,36,29,31,25,39,44
TFT3_Shen,Shen,2,../../../assets/TFT_set_data/set3/champions/shen.png,883,3.93,4.54,1.8,95,109,125,109,120,101,114,110
TFT3_Sona,Sona,2,../../../assets/TFT_set_data/set3/champions/sona.png,367,1.63,4.36,1.78,55,51,39,37,55,43,50,37
TFT3_Soraka,Soraka,4,../../../assets/TFT_set_data/set3/champions/soraka.png,439,1.95,3.85,1.78,64,71,92,52,50,44,42,24
TFT3_Syndra,Syndra,3,../../../assets/TFT_set_data/set3/champions/syndra.png,68,0.3,4.76,1.79,10,5,9,9,6,5,11,13
TFT3_Thresh,Thresh,5,../../../assets/TFT_set_data/set3/champions/thresh.png,657,2.92,3.79,1.38,109,119,89,96,89,74,48,33
TFT3_TwistedFate,TwistedFate,1,../../../assets/TFT_set_data/set3/champions/twistedfate.png,417,1.86,4.36,1.94,63,56,46,52,46,62,42,50
TFT3_VelKoz,VelKoz,4,../../../assets/TFT_set_data/set3/champions/velkoz.png,493,2.19,4.17,1.87,75,74,69,62,50,68,42,53
TFT3_Vi,Vi,3,../../../assets/TFT_set_data/set3/champions/vi.png,794,3.53,4.36,1.87,109,109,94,102,95,110,87,88
TFT3_WuKong,Wukong,4,../../../assets/TFT_set_data/set3/champions/wukong.png,989,4.4,4.47,1.83,113,125,132,129,133,125,123,109
TFT3_Xayah,Xayah,1,../../../assets/TFT_set_data/set3/champions/xayah.png,344,1.53,4.72,1.81,37,33,41,47,45,48,48,45
TFT3_Xerath,Xerath,5,../../../assets/TFT_set_data/set3/champions/xerath.png,236,1.05,4.33,1.56,31,39,25,34,24,27,29,27
TFT3_XinZhao,XinZhao,2,../../../assets/TFT_set_data/set3/champions/xinzhao.png,82,0.36,5.01,1.87,12,3,10,7,5,17,16,12
TFT3_Yasuo,Yasuo,2,../../../assets/TFT_set_data/set3/champions/yasuo.png,272,1.21,4.42,1.86,37,35,35,32,32,34,37,30
TFT3_Ziggs,Ziggs,1,../../../assets/TFT_set_data/set3/champions/ziggs.png,345,1.54,4.32,1.79,54,46,41,43,41,37,42,41
TFT3_Zoe,Zoe,1,../../../assets/TFT_set_data/set3/champions/zoe.png,106,0.47,4.95,1.96,11,9,12,14,11,13,17,19
