,champion_name,champion_cost,image,count,count_percent,average_placement,average_tier,tier_1,tier_2,tier_3
TFT3_Ahri,Ahri,2,../../../assets/TFT_set_data/set3/champions/ahri.png,108,0.46,4.81,1.87,14,74,20
TFT3_Annie,Annie,2,../../../assets/TFT_set_data/set3/champions/annie.png,214,0.91,4.53,1.93,15,74,125
TFT3_Ashe,Ashe,3,../../../assets/TFT_set_data/set3/champions/ashe.png,760,3.24,4.64,1.82,139,613,8
TFT3_AurelionSol,AurelionSol,5,../../../assets/TFT_set_data/set3/champions/aurelionsol.png,215,0.92,3.67,1.52,103,112,0
TFT3_Blitzcrank,Blitzcrank,2,../../../assets/TFT_set_data/set3/champions/blitzcrank.png,778,3.32,4.41,1.85,120,652,6
TFT3_Caitlyn,Caitlyn,1,../../../assets/TFT_set_data/set3/champions/caitlyn.png,195,0.83,4.91,1.96,7,62,126
TFT3_ChoGath,ChoGath,4,../../../assets/TFT_set_data/set3/champions/chogath.png,866,3.69,4.2,1.86,125,713,28
TFT3_Darius,Darius,2,../../../assets/TFT_set_data/set3/champions/darius.png,131,0.56,5.35,1.85,19,71,41
TFT3_Ekko,Ekko,5,../../../assets/TFT_set_data/set3/champions/ekko.png,193,0.82,3.96,1.5,96,97,0
TFT3_Ezreal,Ezreal,3,../../../assets/TFT_set_data/set3/champions/ezreal.png,357,1.52,4.77,1.78,77,276,4
TFT3_Fiora,Fiora,1,../../../assets/TFT_set_data/set3/champions/fiora.png,305,1.3,4.47,1.86,43,154,108
TFT3_Fizz,Fizz,4,../../../assets/TFT_set_data/set3/champions/fizz.png,468,2.0,4.14,1.85,68,383,17
TFT3_Gangplank,Gangplank,5,../../../assets/TFT_set_data/set3/champions/gangplank.png,640,2.73,4.1,1.48,332,308,0
TFT3_Graves,Graves,1,../../../assets/TFT_set_data/set3/champions/graves.png,214,0.91,4.68,1.83,37,163,14
TFT3_Irelia,Irelia,4,../../../assets/TFT_set_data/set3/champions/irelia.png,870,3.71,4.41,1.83,148,708,14
TFT3_JarvanIV,JarvanIV,1,../../../assets/TFT_set_data/set3/champions/jarvaniv.png,334,1.42,4.64,1.93,24,130,180
TFT3_Jayce,Jayce,3,../../../assets/TFT_set_data/set3/champions/jayce.png,599,2.55,4.7,1.9,61,513,25
TFT3_Jhin,Jhin,4,../../../assets/TFT_set_data/set3/champions/jhin.png,557,2.37,4.52,1.92,46,488,23
TFT3_Jinx,Jinx,4,../../../assets/TFT_set_data/set3/champions/jinx.png,671,2.86,4.35,1.89,73,570,28
TFT3_KaiSa,KaiSa,2,../../../assets/TFT_set_data/set3/champions/kaisa.png,280,1.19,4.72,1.83,48,104,128
TFT3_Karma,Karma,3,../../../assets/TFT_set_data/set3/champions/karma.png,384,1.64,4.54,1.74,98,283,3
TFT3_Kassadin,Kassadin,3,../../../assets/TFT_set_data/set3/champions/kassadin.png,1115,4.75,4.49,1.83,191,912,12
TFT3_Kayle,Kayle,4,../../../assets/TFT_set_data/set3/champions/kayle.png,928,3.96,4.36,1.83,160,752,16
TFT3_KhaZix,KhaZix,1,../../../assets/TFT_set_data/set3/champions/khazix.png,538,2.29,4.3,1.95,29,205,304
TFT3_Leona,Leona,1,../../../assets/TFT_set_data/set3/champions/leona.png,257,1.1,4.81,1.87,34,203,20
TFT3_Lucian,Lucian,2,../../../assets/TFT_set_data/set3/champions/lucian.png,240,1.02,4.63,1.81,45,191,4
TFT3_Lulu,Lulu,5,../../../assets/TFT_set_data/set3/champions/lulu.png,821,3.5,3.88,1.44,457,364,0
TFT3_Lux,Lux,3,../../../assets/TFT_set_data/set3/champions/lux.png,421,1.79,4.4,1.82,76,342,3
TFT3_Malphite,Malphite,1,../../../assets/TFT_set_data/set3/champions/malphite.png,816,3.48,4.3,1.9,81,567,168
TFT3_MasterYi,MasterYi,3,../../../assets/TFT_set_data/set3/champions/masteryi.png,276,1.18,4.41,1.87,37,234,5
TFT3_MissFortune,MissFortune,5,../../../assets/TFT_set_data/set3/champions/missfortune.png,904,3.85,4.08,1.38,559,345,0
TFT3_Mordekaiser,Mordekaiser,2,../../../assets/TFT_set_data/set3/champions/mordekaiser.png,165,0.7,5.06,1.81,32,128,5
TFT3_Neeko,Neeko,3,../../../assets/TFT_set_data/set3/champions/neeko.png,36,0.15,5.22,1.94,2,25,9
TFT3_Poppy,Poppy,1,../../../assets/TFT_set_data/set3/champions/poppy.png,124,0.53,5.26,1.94,8,43,73
TFT3_Rakan,Rakan,2,../../../assets/TFT_set_data/set3/champions/rakan.png,277,1.18,4.69,1.91,25,187,65
TFT3_Rumble,Rumble,3,../../../assets/TFT_set_data/set3/champions/rumble.png,342,1.46,4.5,1.75,84,167,91
TFT3_Shaco,Shaco,3,../../../assets/TFT_set_data/set3/champions/shaco.png,282,1.2,4.62,1.92,23,175,84
TFT3_Shen,Shen,2,../../../assets/TFT_set_data/set3/champions/shen.png,927,3.95,4.54,1.8,182,706,39
TFT3_Sona,Sona,2,../../../assets/TFT_set_data/set3/champions/sona.png,381,1.62,4.36,1.77,86,285,10
TFT3_Soraka,Soraka,4,../../../assets/TFT_set_data/set3/champions/soraka.png,454,1.94,3.88,1.78,102,348,4
TFT3_Syndra,Syndra,3,../../../assets/TFT_set_data/set3/champions/syndra.png,74,0.32,4.78,1.78,16,51,7
TFT3_Thresh,Thresh,5,../../../assets/TFT_set_data/set3/champions/thresh.png,686,2.92,3.77,1.37,430,256,0
TFT3_TwistedFate,TwistedFate,1,../../../assets/TFT_set_data/set3/champions/twistedfate.png,439,1.87,4.34,1.95,24,245,170
TFT3_VelKoz,VelKoz,4,../../../assets/TFT_set_data/set3/champions/velkoz.png,513,2.19,4.14,1.87,68,396,49
TFT3_Vi,Vi,3,../../../assets/TFT_set_data/set3/champions/vi.png,821,3.5,4.35,1.87,106,710,5
TFT3_WuKong,Wukong,4,../../../assets/TFT_set_data/set3/champions/wukong.png,1031,4.4,4.47,1.83,180,848,3
TFT3_Xayah,Xayah,1,../../../assets/TFT_set_data/set3/champions/xayah.png,364,1.55,4.75,1.81,70,98,196
TFT3_Xerath,Xerath,5,../../../assets/TFT_set_data/set3/champions/xerath.png,241,1.03,4.32,1.56,106,135,0
TFT3_XinZhao,XinZhao,2,../../../assets/TFT_set_data/set3/champions/xinzhao.png,88,0.38,5.03,1.88,11,32,45
TFT3_Yasuo,Yasuo,2,../../../assets/TFT_set_data/set3/champions/yasuo.png,284,1.21,4.42,1.87,38,217,29
TFT3_Ziggs,Ziggs,1,../../../assets/TFT_set_data/set3/champions/ziggs.png,358,1.53,4.3,1.8,73,112,173
TFT3_Zoe,Zoe,1,../../../assets/TFT_set_data/set3/champions/zoe.png,114,0.49,4.97,1.96,4,39,71
