item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,0,0,0,0,1,0,0.0,../../../../assets/TFT_set_data/set3/items/01.png,0.0
Recurve Bow,1,0,0,1,0,1,1,2,2,6,6.82,../../../../assets/TFT_set_data/set3/items/02.png,5.67
Needlessly Large Rod,0,0,0,0,0,0,0,0,3,0,0.0,../../../../assets/TFT_set_data/set3/items/03.png,0.0
Tear of the Goddess,0,0,1,0,0,0,0,0,4,1,1.14,../../../../assets/TFT_set_data/set3/items/04.png,3.0
Chain Vest,0,0,0,0,0,0,0,0,5,0,0.0,../../../../assets/TFT_set_data/set3/items/05.png,0.0
Negatron Cloak,0,0,0,0,0,0,0,0,6,0,0.0,../../../../assets/TFT_set_data/set3/items/06.png,0.0
Giant's Belt,0,0,0,0,0,0,0,1,7,1,1.14,../../../../assets/TFT_set_data/set3/items/07.png,8.0
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,0,0,0,0,0,0,0,9,0,0.0,../../../../assets/TFT_set_data/set3/items/09.png,0.0
Deathblade,0,1,0,0,0,0,0,0,11,1,1.14,../../../../assets/TFT_set_data/set3/items/11.png,2.0
Giant Slayer,2,0,0,0,0,0,0,1,12,3,3.41,../../../../assets/TFT_set_data/set3/items/12.png,3.33
Hextech Gunblade,0,0,0,0,0,0,0,0,13,0,0.0,../../../../assets/TFT_set_data/set3/items/13.png,0.0
Spear of Shojin,2,0,3,0,2,0,0,0,14,7,7.95,../../../../assets/TFT_set_data/set3/items/14.png,3.0
Guardian Angel,1,0,0,0,0,1,1,0,15,3,3.41,../../../../assets/TFT_set_data/set3/items/15.png,4.67
Bloodthirster,0,0,0,0,0,0,1,0,16,1,1.14,../../../../assets/TFT_set_data/set3/items/16.png,7.0
Zeke's Herald,1,0,0,0,0,0,0,1,17,2,2.27,../../../../assets/TFT_set_data/set3/items/17.png,4.5
Blade of the Ruined King,0,0,0,0,0,0,0,0,18,0,0.0,../../../../assets/TFT_set_data/set3/items/18.png,0.0
Infinity Edge,0,0,0,1,0,0,0,0,19,1,1.14,../../../../assets/TFT_set_data/set3/items/19.png,4.0
Rapid Firecannon,0,0,0,0,1,0,0,0,22,1,1.14,../../../../assets/TFT_set_data/set3/items/22.png,5.0
