item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,2,0,1,2,1,0,0,0,1,6,1.54,../../../../assets/TFT_set_data/set3/items/01.png,3.0
Recurve Bow,2,2,3,5,3,0,1,3,2,19,4.87,../../../../assets/TFT_set_data/set3/items/02.png,4.26
Needlessly Large Rod,0,1,0,0,0,0,0,1,3,2,0.51,../../../../assets/TFT_set_data/set3/items/03.png,5.0
Tear of the Goddess,0,2,0,0,2,1,1,1,4,7,1.79,../../../../assets/TFT_set_data/set3/items/04.png,5.0
Chain Vest,0,0,0,1,0,0,0,0,5,1,0.26,../../../../assets/TFT_set_data/set3/items/05.png,4.0
Negatron Cloak,0,0,0,0,0,0,0,1,6,1,0.26,../../../../assets/TFT_set_data/set3/items/06.png,8.0
Giant's Belt,0,0,0,0,0,1,1,0,7,2,0.51,../../../../assets/TFT_set_data/set3/items/07.png,6.5
Spatula,0,0,0,1,0,0,0,0,8,1,0.26,../../../../assets/TFT_set_data/set3/items/08.png,4.0
Sparring Gloves,0,0,0,0,0,1,0,1,9,2,0.51,../../../../assets/TFT_set_data/set3/items/09.png,7.0
Deathblade,2,1,0,1,1,2,0,2,11,9,2.31,../../../../assets/TFT_set_data/set3/items/11.png,4.56
Giant Slayer,2,4,5,4,2,1,2,3,12,23,5.9,../../../../assets/TFT_set_data/set3/items/12.png,4.13
Hextech Gunblade,0,0,0,1,2,1,0,0,13,4,1.03,../../../../assets/TFT_set_data/set3/items/13.png,5.0
Spear of Shojin,2,2,3,8,5,11,3,5,14,39,10.0,../../../../assets/TFT_set_data/set3/items/14.png,5.1
Guardian Angel,1,2,0,0,0,2,0,0,15,5,1.28,../../../../assets/TFT_set_data/set3/items/15.png,3.4
Bloodthirster,1,1,0,2,1,0,0,0,16,5,1.28,../../../../assets/TFT_set_data/set3/items/16.png,3.2
Zeke's Herald,2,2,1,1,0,1,1,1,17,9,2.31,../../../../assets/TFT_set_data/set3/items/17.png,3.78
Blade of the Ruined King,0,1,0,1,2,1,0,0,18,5,1.28,../../../../assets/TFT_set_data/set3/items/18.png,4.4
Infinity Edge,1,1,1,1,5,3,1,0,19,13,3.33,../../../../assets/TFT_set_data/set3/items/19.png,4.62
Rapid Firecannon,0,1,0,0,0,0,0,1,22,2,0.51,../../../../assets/TFT_set_data/set3/items/22.png,5.0
Guinsoo's Rageblade,1,4,1,4,4,9,1,3,23,27,6.92,../../../../assets/TFT_set_data/set3/items/23.png,4.93
Statikk Shiv,3,0,1,2,3,5,3,1,24,18,4.62,../../../../assets/TFT_set_data/set3/items/24.png,4.89
Titan's Resolve,0,0,0,0,0,0,0,0,25,0,0.0,../../../../assets/TFT_set_data/set3/items/25.png,0.0
Runaan's Hurricane,3,1,3,2,1,3,2,4,26,19,4.87,../../../../assets/TFT_set_data/set3/items/26.png,4.79
Zz'Rot Portal,0,0,1,0,0,0,0,1,27,2,0.51,../../../../assets/TFT_set_data/set3/items/27.png,5.5
Infiltrator's Talons,0,0,0,1,0,0,0,0,28,1,0.26,../../../../assets/TFT_set_data/set3/items/28.png,4.0
Last Whisper,6,1,1,4,2,2,1,0,29,17,4.36,../../../../assets/TFT_set_data/set3/items/29.png,3.29
Rabadon's Deathcap,1,0,1,0,0,1,0,0,33,3,0.77,../../../../assets/TFT_set_data/set3/items/33.png,3.33
Luden's Echo,1,1,1,0,1,1,0,0,34,5,1.28,../../../../assets/TFT_set_data/set3/items/34.png,3.4
Locket of the Iron Solari,1,0,0,0,0,0,0,1,35,2,0.51,../../../../assets/TFT_set_data/set3/items/35.png,4.5
Ionic Spark,0,0,0,0,0,0,0,0,36,0,0.0,../../../../assets/TFT_set_data/set3/items/36.png,0.0
Morellonomicon,0,1,1,1,2,0,0,1,37,6,1.54,../../../../assets/TFT_set_data/set3/items/37.png,4.5
Demolitionist's Charge,0,0,0,0,0,0,0,0,38,0,0.0,../../../../assets/TFT_set_data/set3/items/38.png,0.0
