item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,1,1,1,1,1,4,0.37,../../../../assets/TFT_set_data/set3/items/01.png,6.5
Recurve Bow,2,0,0,3,0,1,0,0,2,6,0.56,../../../../assets/TFT_set_data/set3/items/02.png,3.33
Needlessly Large Rod,3,2,1,2,1,3,1,0,3,13,1.22,../../../../assets/TFT_set_data/set3/items/03.png,3.69
Tear of the Goddess,3,1,2,2,3,3,4,1,4,19,1.78,../../../../assets/TFT_set_data/set3/items/04.png,4.63
Chain Vest,2,4,3,3,1,3,3,3,5,22,2.06,../../../../assets/TFT_set_data/set3/items/05.png,4.5
Negatron Cloak,4,2,0,1,5,8,4,0,6,24,2.25,../../../../assets/TFT_set_data/set3/items/06.png,4.71
Giant's Belt,3,2,0,1,0,1,2,1,7,10,0.94,../../../../assets/TFT_set_data/set3/items/07.png,3.9
Spatula,0,0,0,0,0,1,0,0,8,1,0.09,../../../../assets/TFT_set_data/set3/items/08.png,6.0
Sparring Gloves,1,1,1,0,0,0,0,1,9,4,0.37,../../../../assets/TFT_set_data/set3/items/09.png,3.5
Deathblade,0,0,0,1,0,0,0,1,11,2,0.19,../../../../assets/TFT_set_data/set3/items/11.png,6.0
Giant Slayer,0,0,0,0,0,0,0,1,12,1,0.09,../../../../assets/TFT_set_data/set3/items/12.png,8.0
Hextech Gunblade,5,2,2,3,1,1,2,1,13,17,1.59,../../../../assets/TFT_set_data/set3/items/13.png,3.53
Spear of Shojin,2,2,1,1,3,3,0,1,14,13,1.22,../../../../assets/TFT_set_data/set3/items/14.png,4.15
Guardian Angel,11,15,11,12,8,8,3,5,15,73,6.84,../../../../assets/TFT_set_data/set3/items/15.png,3.71
Bloodthirster,0,0,3,0,1,0,0,1,16,5,0.47,../../../../assets/TFT_set_data/set3/items/16.png,4.4
Zeke's Herald,2,0,0,1,0,0,1,1,17,5,0.47,../../../../assets/TFT_set_data/set3/items/17.png,4.2
Blade of the Ruined King,0,0,0,1,0,0,0,0,18,1,0.09,../../../../assets/TFT_set_data/set3/items/18.png,4.0
Infinity Edge,1,0,0,2,1,4,2,0,19,10,0.94,../../../../assets/TFT_set_data/set3/items/19.png,5.2
Rapid Firecannon,2,1,1,0,1,2,1,1,22,9,0.84,../../../../assets/TFT_set_data/set3/items/22.png,4.33
Guinsoo's Rageblade,2,1,0,2,1,1,0,1,23,8,0.75,../../../../assets/TFT_set_data/set3/items/23.png,3.88
Statikk Shiv,3,3,0,0,2,0,1,1,24,10,0.94,../../../../assets/TFT_set_data/set3/items/24.png,3.4
Titan's Resolve,6,7,6,5,3,3,0,1,25,31,2.91,../../../../assets/TFT_set_data/set3/items/25.png,3.19
Runaan's Hurricane,3,1,2,1,0,2,0,0,26,9,0.84,../../../../assets/TFT_set_data/set3/items/26.png,3.0
Zz'Rot Portal,5,7,5,5,4,3,1,1,27,31,2.91,../../../../assets/TFT_set_data/set3/items/27.png,3.45
Infiltrator's Talons,1,4,2,5,1,2,2,1,28,18,1.69,../../../../assets/TFT_set_data/set3/items/28.png,4.11
Last Whisper,1,0,1,0,0,0,0,0,29,2,0.19,../../../../assets/TFT_set_data/set3/items/29.png,2.0
Rabadon's Deathcap,3,4,2,2,4,1,3,2,33,21,1.97,../../../../assets/TFT_set_data/set3/items/33.png,4.19
Luden's Echo,4,3,0,3,2,5,1,1,34,19,1.78,../../../../assets/TFT_set_data/set3/items/34.png,4.05
Locket of the Iron Solari,8,11,5,3,4,3,3,2,35,39,3.66,../../../../assets/TFT_set_data/set3/items/35.png,3.38
Ionic Spark,15,9,13,11,7,8,8,8,36,79,7.4,../../../../assets/TFT_set_data/set3/items/36.png,4.04
Morellonomicon,5,3,8,5,2,7,1,4,37,35,3.28,../../../../assets/TFT_set_data/set3/items/37.png,4.17
Demolitionist's Charge,1,1,1,0,2,0,0,1,38,6,0.56,../../../../assets/TFT_set_data/set3/items/38.png,4.0
Jeweled Gauntlet,4,3,3,0,2,3,0,1,39,16,1.5,../../../../assets/TFT_set_data/set3/items/39.png,3.44
Seraph's Embrace,5,2,0,3,3,1,1,4,44,19,1.78,../../../../assets/TFT_set_data/set3/items/44.png,4.26
Frozen Heart,5,7,9,8,8,3,8,4,45,52,4.87,../../../../assets/TFT_set_data/set3/items/45.png,4.31
Chalice of Favor,0,4,2,1,3,0,1,1,46,12,1.12,../../../../assets/TFT_set_data/set3/items/46.png,4.0
Redemption,12,13,8,14,4,11,8,2,47,72,6.75,../../../../assets/TFT_set_data/set3/items/47.png,3.83
Star Guardian's Charm,0,2,0,1,0,1,0,0,48,4,0.37,../../../../assets/TFT_set_data/set3/items/48.png,3.5
Hand Of Justice,2,3,1,0,0,0,0,0,49,6,0.56,../../../../assets/TFT_set_data/set3/items/49.png,1.83
Bramble Vest,5,10,4,4,5,5,1,5,55,39,3.66,../../../../assets/TFT_set_data/set3/items/55.png,3.97
Sword Breaker,1,2,0,0,2,1,2,0,56,8,0.75,../../../../assets/TFT_set_data/set3/items/56.png,4.38
Red Buff,2,1,2,2,0,4,1,0,57,12,1.12,../../../../assets/TFT_set_data/set3/items/57.png,4.08
Rebel Medal,0,1,1,2,0,1,0,0,58,5,0.47,../../../../assets/TFT_set_data/set3/items/58.png,3.8
Shroud of Stillness,5,7,2,7,5,5,1,2,59,34,3.19,../../../../assets/TFT_set_data/set3/items/59.png,3.85
Dragon's Claw,13,7,8,6,4,6,2,3,66,49,4.59,../../../../assets/TFT_set_data/set3/items/66.png,3.45
Zephyr,9,7,4,6,5,3,5,4,67,43,4.03,../../../../assets/TFT_set_data/set3/items/67.png,3.93
Celestial Orb,2,5,2,2,2,1,0,0,68,14,1.31,../../../../assets/TFT_set_data/set3/items/68.png,3.0
Quicksilver,3,4,2,5,1,0,1,1,69,17,1.59,../../../../assets/TFT_set_data/set3/items/69.png,3.35
Warmog's Armor,10,3,4,4,4,2,3,1,77,31,2.91,../../../../assets/TFT_set_data/set3/items/77.png,3.39
Protector's Chestguard,1,3,2,1,1,0,0,0,78,8,0.75,../../../../assets/TFT_set_data/set3/items/78.png,2.75
Trap Claw,6,4,1,2,7,3,2,0,79,25,2.34,../../../../assets/TFT_set_data/set3/items/79.png,3.68
Force of Nature,0,3,0,1,0,0,0,0,88,4,0.37,../../../../assets/TFT_set_data/set3/items/88.png,2.5
Dark Star's Heart,2,1,2,1,1,0,0,0,89,7,0.66,../../../../assets/TFT_set_data/set3/items/89.png,2.71
Thief's Gloves,9,3,7,2,4,6,7,5,99,43,4.03,../../../../assets/TFT_set_data/set3/items/99.png,4.4
