item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,0,0,0,0,1,0,0.0,../../../../assets/TFT_set_data/set3/items/01.png,0.0
Recurve Bow,0,0,0,0,0,0,0,1,2,1,0.53,../../../../assets/TFT_set_data/set3/items/02.png,8.0
Needlessly Large Rod,0,0,0,0,0,1,0,0,3,1,0.53,../../../../assets/TFT_set_data/set3/items/03.png,6.0
Tear of the Goddess,0,0,0,0,0,0,1,1,4,2,1.05,../../../../assets/TFT_set_data/set3/items/04.png,7.5
Chain Vest,0,0,0,0,0,0,0,0,5,0,0.0,../../../../assets/TFT_set_data/set3/items/05.png,0.0
Negatron Cloak,0,0,0,0,1,0,0,0,6,1,0.53,../../../../assets/TFT_set_data/set3/items/06.png,5.0
Giant's Belt,0,0,0,0,0,1,0,0,7,1,0.53,../../../../assets/TFT_set_data/set3/items/07.png,6.0
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,0,0,0,0,0,0,0,9,0,0.0,../../../../assets/TFT_set_data/set3/items/09.png,0.0
Deathblade,0,0,0,0,0,1,0,0,11,1,0.53,../../../../assets/TFT_set_data/set3/items/11.png,6.0
Giant Slayer,0,0,0,0,0,0,0,0,12,0,0.0,../../../../assets/TFT_set_data/set3/items/12.png,0.0
Hextech Gunblade,0,1,0,0,1,0,0,0,13,2,1.05,../../../../assets/TFT_set_data/set3/items/13.png,3.5
Spear of Shojin,0,0,0,0,0,1,0,0,14,1,0.53,../../../../assets/TFT_set_data/set3/items/14.png,6.0
Guardian Angel,3,0,2,2,3,5,5,7,15,27,14.21,../../../../assets/TFT_set_data/set3/items/15.png,5.67
Bloodthirster,0,0,1,0,0,0,0,0,16,1,0.53,../../../../assets/TFT_set_data/set3/items/16.png,3.0
Zeke's Herald,0,0,0,0,0,0,0,0,17,0,0.0,../../../../assets/TFT_set_data/set3/items/17.png,0.0
Blade of the Ruined King,0,0,0,0,0,0,0,0,18,0,0.0,../../../../assets/TFT_set_data/set3/items/18.png,0.0
Infinity Edge,0,0,0,1,1,3,2,1,19,8,4.21,../../../../assets/TFT_set_data/set3/items/19.png,6.12
Rapid Firecannon,0,1,0,0,0,0,1,0,22,2,1.05,../../../../assets/TFT_set_data/set3/items/22.png,4.5
Guinsoo's Rageblade,0,1,0,0,0,0,0,0,23,1,0.53,../../../../assets/TFT_set_data/set3/items/23.png,2.0
Statikk Shiv,0,0,0,0,0,0,0,0,24,0,0.0,../../../../assets/TFT_set_data/set3/items/24.png,0.0
Titan's Resolve,0,0,0,0,0,0,1,0,25,1,0.53,../../../../assets/TFT_set_data/set3/items/25.png,7.0
Runaan's Hurricane,0,0,0,0,0,0,0,0,26,0,0.0,../../../../assets/TFT_set_data/set3/items/26.png,0.0
Zz'Rot Portal,0,0,0,0,0,0,0,0,27,0,0.0,../../../../assets/TFT_set_data/set3/items/27.png,0.0
Infiltrator's Talons,0,0,0,0,0,0,0,0,28,0,0.0,../../../../assets/TFT_set_data/set3/items/28.png,0.0
Last Whisper,1,0,0,0,0,1,0,0,29,2,1.05,../../../../assets/TFT_set_data/set3/items/29.png,3.5
Rabadon's Deathcap,8,3,1,5,2,3,6,6,33,34,17.89,../../../../assets/TFT_set_data/set3/items/33.png,4.56
Luden's Echo,1,0,1,0,0,0,1,1,34,4,2.11,../../../../assets/TFT_set_data/set3/items/34.png,4.75
Locket of the Iron Solari,0,1,0,0,0,1,0,0,35,2,1.05,../../../../assets/TFT_set_data/set3/items/35.png,4.0
Ionic Spark,5,3,5,3,4,5,7,4,36,36,18.95,../../../../assets/TFT_set_data/set3/items/36.png,4.69
Morellonomicon,0,0,0,0,0,0,0,0,37,0,0.0,../../../../assets/TFT_set_data/set3/items/37.png,0.0
Demolitionist's Charge,0,0,0,0,0,1,0,0,38,1,0.53,../../../../assets/TFT_set_data/set3/items/38.png,6.0
Jeweled Gauntlet,0,0,3,2,2,4,4,3,39,18,9.47,../../../../assets/TFT_set_data/set3/items/39.png,5.72
Seraph's Embrace,1,0,0,0,0,0,0,0,44,1,0.53,../../../../assets/TFT_set_data/set3/items/44.png,1.0
Frozen Heart,0,0,1,0,0,0,0,1,45,2,1.05,../../../../assets/TFT_set_data/set3/items/45.png,5.5
Chalice of Favor,0,0,0,0,1,0,0,0,46,1,0.53,../../../../assets/TFT_set_data/set3/items/46.png,5.0
Redemption,1,0,0,0,1,0,0,0,47,2,1.05,../../../../assets/TFT_set_data/set3/items/47.png,3.0
Star Guardian's Charm,0,0,0,0,0,0,0,0,48,0,0.0,../../../../assets/TFT_set_data/set3/items/48.png,0.0
Hand Of Justice,0,0,0,0,0,0,1,0,49,1,0.53,../../../../assets/TFT_set_data/set3/items/49.png,7.0
Bramble Vest,0,0,0,0,0,0,1,1,55,2,1.05,../../../../assets/TFT_set_data/set3/items/55.png,7.5
Sword Breaker,0,0,0,0,0,0,0,0,56,0,0.0,../../../../assets/TFT_set_data/set3/items/56.png,0.0
Red Buff,0,0,0,0,1,0,0,1,57,2,1.05,../../../../assets/TFT_set_data/set3/items/57.png,6.5
Rebel Medal,0,0,0,0,0,1,0,0,58,1,0.53,../../../../assets/TFT_set_data/set3/items/58.png,6.0
Shroud of Stillness,1,1,0,0,1,1,0,0,59,4,2.11,../../../../assets/TFT_set_data/set3/items/59.png,3.5
Dragon's Claw,0,0,0,1,0,0,2,1,66,4,2.11,../../../../assets/TFT_set_data/set3/items/66.png,6.5
Zephyr,0,0,0,0,0,1,0,0,67,1,0.53,../../../../assets/TFT_set_data/set3/items/67.png,6.0
Celestial Orb,0,0,0,0,1,0,1,0,68,2,1.05,../../../../assets/TFT_set_data/set3/items/68.png,6.0
Quicksilver,0,0,3,0,0,2,1,2,69,8,4.21,../../../../assets/TFT_set_data/set3/items/69.png,5.5
Warmog's Armor,0,0,0,1,0,0,1,0,77,2,1.05,../../../../assets/TFT_set_data/set3/items/77.png,5.5
Protector's Chestguard,0,0,2,1,0,0,0,0,78,3,1.58,../../../../assets/TFT_set_data/set3/items/78.png,3.33
Trap Claw,2,1,2,0,0,0,0,1,79,6,3.16,../../../../assets/TFT_set_data/set3/items/79.png,3.0
