item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,1,0,0,0,0,0,0,0,1,1,0.31,../../../../assets/TFT_set_data/set3/items/01.png,1.0
Recurve Bow,0,0,0,1,2,1,1,0,2,5,1.53,../../../../assets/TFT_set_data/set3/items/02.png,5.4
Needlessly Large Rod,0,0,0,2,4,1,1,1,3,9,2.75,../../../../assets/TFT_set_data/set3/items/03.png,5.44
Tear of the Goddess,1,0,2,1,0,3,2,0,4,9,2.75,../../../../assets/TFT_set_data/set3/items/04.png,4.78
Chain Vest,1,0,0,1,0,0,1,0,5,3,0.92,../../../../assets/TFT_set_data/set3/items/05.png,4.0
Negatron Cloak,0,0,1,1,0,1,1,1,6,5,1.53,../../../../assets/TFT_set_data/set3/items/06.png,5.6
Giant's Belt,0,0,0,0,0,1,0,0,7,1,0.31,../../../../assets/TFT_set_data/set3/items/07.png,6.0
Spatula,0,0,0,0,0,0,1,0,8,1,0.31,../../../../assets/TFT_set_data/set3/items/08.png,7.0
Sparring Gloves,0,0,0,0,0,0,0,0,9,0,0.0,../../../../assets/TFT_set_data/set3/items/09.png,0.0
Deathblade,1,1,0,0,0,0,0,0,11,2,0.61,../../../../assets/TFT_set_data/set3/items/11.png,1.5
Giant Slayer,3,0,1,2,2,4,1,0,12,13,3.98,../../../../assets/TFT_set_data/set3/items/12.png,4.23
Hextech Gunblade,0,2,0,2,0,0,0,0,13,4,1.22,../../../../assets/TFT_set_data/set3/items/13.png,3.0
Spear of Shojin,3,2,0,2,1,2,0,0,14,10,3.06,../../../../assets/TFT_set_data/set3/items/14.png,3.2
Guardian Angel,1,1,2,1,3,1,0,0,15,9,2.75,../../../../assets/TFT_set_data/set3/items/15.png,3.78
Bloodthirster,1,0,2,0,0,1,0,0,16,4,1.22,../../../../assets/TFT_set_data/set3/items/16.png,3.25
Zeke's Herald,4,3,0,0,1,0,0,0,17,8,2.45,../../../../assets/TFT_set_data/set3/items/17.png,1.88
Blade of the Ruined King,1,2,1,0,3,3,0,0,18,10,3.06,../../../../assets/TFT_set_data/set3/items/18.png,4.1
Infinity Edge,0,0,0,0,1,0,0,0,19,1,0.31,../../../../assets/TFT_set_data/set3/items/19.png,5.0
Rapid Firecannon,0,0,0,0,0,0,1,0,22,1,0.31,../../../../assets/TFT_set_data/set3/items/22.png,7.0
Guinsoo's Rageblade,0,1,0,0,0,2,0,0,23,3,0.92,../../../../assets/TFT_set_data/set3/items/23.png,4.67
Statikk Shiv,2,3,1,2,2,1,2,0,24,13,3.98,../../../../assets/TFT_set_data/set3/items/24.png,3.77
Titan's Resolve,0,1,0,0,1,0,0,0,25,2,0.61,../../../../assets/TFT_set_data/set3/items/25.png,3.5
Runaan's Hurricane,2,1,0,0,1,0,0,0,26,4,1.22,../../../../assets/TFT_set_data/set3/items/26.png,2.25
Zz'Rot Portal,0,0,0,0,0,0,0,0,27,0,0.0,../../../../assets/TFT_set_data/set3/items/27.png,0.0
Infiltrator's Talons,0,0,0,0,0,0,0,0,28,0,0.0,../../../../assets/TFT_set_data/set3/items/28.png,0.0
Last Whisper,0,1,1,3,0,0,0,0,29,5,1.53,../../../../assets/TFT_set_data/set3/items/29.png,3.4
Rabadon's Deathcap,2,5,4,1,5,3,2,3,33,25,7.65,../../../../assets/TFT_set_data/set3/items/33.png,4.36
Luden's Echo,0,1,1,0,1,0,0,0,34,3,0.92,../../../../assets/TFT_set_data/set3/items/34.png,3.33
Locket of the Iron Solari,0,3,2,0,0,0,0,0,35,5,1.53,../../../../assets/TFT_set_data/set3/items/35.png,2.4
Ionic Spark,3,4,2,1,2,1,0,0,36,13,3.98,../../../../assets/TFT_set_data/set3/items/36.png,2.85
Morellonomicon,7,5,1,3,1,5,2,1,37,25,7.65,../../../../assets/TFT_set_data/set3/items/37.png,3.56
Demolitionist's Charge,1,0,1,0,1,0,0,0,38,3,0.92,../../../../assets/TFT_set_data/set3/items/38.png,3.0
Jeweled Gauntlet,1,2,1,1,2,1,1,0,39,9,2.75,../../../../assets/TFT_set_data/set3/items/39.png,3.89
Seraph's Embrace,2,0,0,0,1,0,1,0,44,4,1.22,../../../../assets/TFT_set_data/set3/items/44.png,3.5
Frozen Heart,5,3,4,0,3,0,2,0,45,17,5.2,../../../../assets/TFT_set_data/set3/items/45.png,3.06
Chalice of Favor,0,1,0,0,0,2,0,0,46,3,0.92,../../../../assets/TFT_set_data/set3/items/46.png,4.67
Redemption,2,1,0,1,1,0,1,0,47,6,1.83,../../../../assets/TFT_set_data/set3/items/47.png,3.33
Star Guardian's Charm,0,0,0,1,1,0,0,0,48,2,0.61,../../../../assets/TFT_set_data/set3/items/48.png,4.5
Hand Of Justice,0,5,1,2,2,2,0,0,49,12,3.67,../../../../assets/TFT_set_data/set3/items/49.png,3.58
