item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,1,0,0,0,0,0,1,1,2,0.64,../../../../assets/TFT_set_data/set3/items/01.png,5.0
Recurve Bow,1,1,1,3,1,0,1,1,2,9,2.88,../../../../assets/TFT_set_data/set3/items/02.png,4.22
Needlessly Large Rod,0,1,1,0,1,2,2,0,3,7,2.24,../../../../assets/TFT_set_data/set3/items/03.png,5.14
Tear of the Goddess,0,3,0,2,3,1,2,4,4,15,4.79,../../../../assets/TFT_set_data/set3/items/04.png,5.4
Chain Vest,0,0,0,0,0,2,0,0,5,2,0.64,../../../../assets/TFT_set_data/set3/items/05.png,6.0
Negatron Cloak,2,1,2,1,2,1,1,0,6,10,3.19,../../../../assets/TFT_set_data/set3/items/06.png,3.7
Giant's Belt,0,1,0,1,0,1,2,1,7,6,1.92,../../../../assets/TFT_set_data/set3/items/07.png,5.67
Spatula,0,0,1,0,0,0,1,1,8,3,0.96,../../../../assets/TFT_set_data/set3/items/08.png,6.0
Sparring Gloves,0,1,0,1,0,0,0,0,9,2,0.64,../../../../assets/TFT_set_data/set3/items/09.png,3.0
Deathblade,0,0,0,0,0,0,0,0,11,0,0.0,../../../../assets/TFT_set_data/set3/items/11.png,0.0
Giant Slayer,0,3,1,1,0,0,0,0,12,5,1.6,../../../../assets/TFT_set_data/set3/items/12.png,2.6
Hextech Gunblade,0,2,0,0,2,0,1,0,13,5,1.6,../../../../assets/TFT_set_data/set3/items/13.png,4.2
Spear of Shojin,0,1,0,0,1,0,1,0,14,3,0.96,../../../../assets/TFT_set_data/set3/items/14.png,4.67
Guardian Angel,1,1,0,1,2,0,0,0,15,5,1.6,../../../../assets/TFT_set_data/set3/items/15.png,3.4
Bloodthirster,2,2,1,0,1,0,0,1,16,7,2.24,../../../../assets/TFT_set_data/set3/items/16.png,3.14
Zeke's Herald,3,1,2,1,1,0,0,0,17,8,2.56,../../../../assets/TFT_set_data/set3/items/17.png,2.5
Blade of the Ruined King,0,0,0,0,0,0,0,0,18,0,0.0,../../../../assets/TFT_set_data/set3/items/18.png,0.0
Infinity Edge,1,0,0,2,0,1,0,0,19,4,1.28,../../../../assets/TFT_set_data/set3/items/19.png,3.75
Rapid Firecannon,1,3,2,0,2,2,0,0,22,10,3.19,../../../../assets/TFT_set_data/set3/items/22.png,3.5
Guinsoo's Rageblade,1,2,0,1,3,1,1,0,23,9,2.88,../../../../assets/TFT_set_data/set3/items/23.png,4.11
Statikk Shiv,0,1,1,1,1,2,0,0,24,6,1.92,../../../../assets/TFT_set_data/set3/items/24.png,4.33
Titan's Resolve,2,0,0,0,0,0,0,0,25,2,0.64,../../../../assets/TFT_set_data/set3/items/25.png,1.0
Runaan's Hurricane,0,0,0,1,1,1,0,1,26,4,1.28,../../../../assets/TFT_set_data/set3/items/26.png,5.75
Zz'Rot Portal,2,0,3,2,6,1,1,0,27,15,4.79,../../../../assets/TFT_set_data/set3/items/27.png,4.13
Infiltrator's Talons,1,1,0,1,0,1,0,0,28,4,1.28,../../../../assets/TFT_set_data/set3/items/28.png,3.25
Last Whisper,0,2,1,0,1,0,1,0,29,5,1.6,../../../../assets/TFT_set_data/set3/items/29.png,3.8
Rabadon's Deathcap,0,1,0,0,0,0,0,0,33,1,0.32,../../../../assets/TFT_set_data/set3/items/33.png,2.0
Luden's Echo,0,0,2,0,0,0,0,0,34,2,0.64,../../../../assets/TFT_set_data/set3/items/34.png,3.0
Locket of the Iron Solari,1,2,0,0,1,0,1,0,35,5,1.6,../../../../assets/TFT_set_data/set3/items/35.png,3.4
Ionic Spark,3,0,0,1,1,2,1,0,36,8,2.56,../../../../assets/TFT_set_data/set3/items/36.png,3.88
Morellonomicon,0,0,0,0,0,0,0,0,37,0,0.0,../../../../assets/TFT_set_data/set3/items/37.png,0.0
Demolitionist's Charge,0,0,0,1,0,0,0,0,38,1,0.32,../../../../assets/TFT_set_data/set3/items/38.png,4.0
Jeweled Gauntlet,0,2,1,1,0,0,0,0,39,4,1.28,../../../../assets/TFT_set_data/set3/items/39.png,2.75
Seraph's Embrace,0,0,0,0,0,0,0,0,44,0,0.0,../../../../assets/TFT_set_data/set3/items/44.png,0.0
Frozen Heart,1,1,1,1,1,2,3,0,45,10,3.19,../../../../assets/TFT_set_data/set3/items/45.png,4.8
Chalice of Favor,0,0,0,0,0,0,0,0,46,0,0.0,../../../../assets/TFT_set_data/set3/items/46.png,0.0
Redemption,6,5,5,4,3,3,3,2,47,31,9.9,../../../../assets/TFT_set_data/set3/items/47.png,3.77
Star Guardian's Charm,0,0,0,0,0,0,0,0,48,0,0.0,../../../../assets/TFT_set_data/set3/items/48.png,0.0
Hand Of Justice,3,0,0,1,1,0,1,1,49,7,2.24,../../../../assets/TFT_set_data/set3/items/49.png,3.86
Bramble Vest,0,1,2,2,0,1,1,0,55,7,2.24,../../../../assets/TFT_set_data/set3/items/55.png,4.14
Sword Breaker,1,0,0,1,1,1,0,0,56,4,1.28,../../../../assets/TFT_set_data/set3/items/56.png,4.0
Red Buff,1,0,2,0,0,1,0,0,57,4,1.28,../../../../assets/TFT_set_data/set3/items/57.png,3.25
Rebel Medal,0,0,1,0,0,0,0,0,58,1,0.32,../../../../assets/TFT_set_data/set3/items/58.png,3.0
Shroud of Stillness,2,0,2,0,1,0,0,0,59,5,1.6,../../../../assets/TFT_set_data/set3/items/59.png,2.6
Dragon's Claw,1,2,0,1,0,0,0,0,66,4,1.28,../../../../assets/TFT_set_data/set3/items/66.png,2.25
Zephyr,7,2,3,4,5,3,1,1,67,26,8.31,../../../../assets/TFT_set_data/set3/items/67.png,3.62
Celestial Orb,0,0,2,2,1,1,0,0,68,6,1.92,../../../../assets/TFT_set_data/set3/items/68.png,4.17
Quicksilver,1,0,0,0,1,0,0,1,69,3,0.96,../../../../assets/TFT_set_data/set3/items/69.png,4.67
Warmog's Armor,1,1,0,0,0,1,0,0,77,3,0.96,../../../../assets/TFT_set_data/set3/items/77.png,3.0
Protector's Chestguard,1,2,1,0,6,0,1,0,78,11,3.51,../../../../assets/TFT_set_data/set3/items/78.png,4.09
Trap Claw,0,1,0,1,1,1,0,0,79,4,1.28,../../../../assets/TFT_set_data/set3/items/79.png,4.25
Force of Nature,1,0,0,0,1,2,2,0,88,6,1.92,../../../../assets/TFT_set_data/set3/items/88.png,5.33
Dark Star's Heart,0,0,1,0,0,0,0,0,89,1,0.32,../../../../assets/TFT_set_data/set3/items/89.png,3.0
Thief's Gloves,3,3,0,2,0,2,1,0,99,11,3.51,../../../../assets/TFT_set_data/set3/items/99.png,3.27
