item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,2,2,0,1,0,0,0,0,1,5,0.36,../../../../assets/TFT_set_data/set3/items/01.png,2.0
Recurve Bow,0,0,0,0,0,1,0,0,2,1,0.07,../../../../assets/TFT_set_data/set3/items/02.png,6.0
Needlessly Large Rod,0,0,1,1,1,3,4,2,3,12,0.86,../../../../assets/TFT_set_data/set3/items/03.png,6.17
Tear of the Goddess,0,0,2,1,2,1,1,1,4,8,0.57,../../../../assets/TFT_set_data/set3/items/04.png,5.12
Chain Vest,1,1,1,1,1,2,0,1,5,8,0.57,../../../../assets/TFT_set_data/set3/items/05.png,4.38
Negatron Cloak,0,1,0,0,0,1,1,0,6,3,0.22,../../../../assets/TFT_set_data/set3/items/06.png,5.0
Giant's Belt,0,0,0,1,5,0,1,2,7,9,0.65,../../../../assets/TFT_set_data/set3/items/07.png,5.78
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,0,0,0,0,0,0,0,9,0,0.0,../../../../assets/TFT_set_data/set3/items/09.png,0.0
Deathblade,0,1,0,0,0,2,0,0,11,3,0.22,../../../../assets/TFT_set_data/set3/items/11.png,4.67
Giant Slayer,0,0,1,0,1,0,0,0,12,2,0.14,../../../../assets/TFT_set_data/set3/items/12.png,4.0
Hextech Gunblade,3,4,1,3,3,2,1,0,13,17,1.22,../../../../assets/TFT_set_data/set3/items/13.png,3.53
Spear of Shojin,2,4,1,2,1,3,0,2,14,15,1.08,../../../../assets/TFT_set_data/set3/items/14.png,4.0
Guardian Angel,55,57,47,43,45,36,41,23,15,347,24.87,../../../../assets/TFT_set_data/set3/items/15.png,4.02
Bloodthirster,0,2,0,0,0,0,1,0,16,3,0.22,../../../../assets/TFT_set_data/set3/items/16.png,3.67
Zeke's Herald,1,0,1,1,0,2,0,0,17,5,0.36,../../../../assets/TFT_set_data/set3/items/17.png,4.0
Blade of the Ruined King,0,1,0,0,0,0,0,0,18,1,0.07,../../../../assets/TFT_set_data/set3/items/18.png,2.0
Infinity Edge,2,1,0,0,0,4,0,0,19,7,0.5,../../../../assets/TFT_set_data/set3/items/19.png,4.0
Rapid Firecannon,0,1,0,0,1,2,0,0,22,4,0.29,../../../../assets/TFT_set_data/set3/items/22.png,4.75
Guinsoo's Rageblade,1,2,3,1,0,3,0,0,23,10,0.72,../../../../assets/TFT_set_data/set3/items/23.png,3.6
Statikk Shiv,3,2,1,0,1,0,1,1,24,9,0.65,../../../../assets/TFT_set_data/set3/items/24.png,3.33
Titan's Resolve,2,7,5,2,7,1,2,4,25,30,2.15,../../../../assets/TFT_set_data/set3/items/25.png,4.2
Runaan's Hurricane,1,1,0,0,0,0,0,0,26,2,0.14,../../../../assets/TFT_set_data/set3/items/26.png,1.5
Zz'Rot Portal,0,0,1,1,0,0,0,0,27,2,0.14,../../../../assets/TFT_set_data/set3/items/27.png,3.5
Infiltrator's Talons,0,1,0,0,0,1,0,0,28,2,0.14,../../../../assets/TFT_set_data/set3/items/28.png,4.0
Last Whisper,0,0,0,1,0,0,0,0,29,1,0.07,../../../../assets/TFT_set_data/set3/items/29.png,4.0
Rabadon's Deathcap,9,11,13,14,19,13,19,9,33,107,7.67,../../../../assets/TFT_set_data/set3/items/33.png,4.71
Luden's Echo,4,3,1,8,4,1,0,0,34,21,1.51,../../../../assets/TFT_set_data/set3/items/34.png,3.38
Locket of the Iron Solari,2,6,4,1,1,1,1,1,35,17,1.22,../../../../assets/TFT_set_data/set3/items/35.png,3.29
Ionic Spark,29,35,26,19,30,13,23,14,36,189,13.55,../../../../assets/TFT_set_data/set3/items/36.png,3.99
Morellonomicon,18,15,12,15,15,11,9,4,37,99,7.1,../../../../assets/TFT_set_data/set3/items/37.png,3.84
Demolitionist's Charge,0,0,0,0,0,0,0,0,38,0,0.0,../../../../assets/TFT_set_data/set3/items/38.png,0.0
Jeweled Gauntlet,11,9,6,3,5,3,3,1,39,41,2.94,../../../../assets/TFT_set_data/set3/items/39.png,3.2
Seraph's Embrace,4,9,1,9,5,5,1,3,44,37,2.65,../../../../assets/TFT_set_data/set3/items/44.png,3.97
Frozen Heart,9,3,4,5,6,5,7,2,45,41,2.94,../../../../assets/TFT_set_data/set3/items/45.png,4.2
Chalice of Favor,1,0,2,0,1,3,0,0,46,7,0.5,../../../../assets/TFT_set_data/set3/items/46.png,4.29
Redemption,5,5,5,9,3,3,3,2,47,35,2.51,../../../../assets/TFT_set_data/set3/items/47.png,3.89
Star Guardian's Charm,2,1,0,0,0,0,0,0,48,3,0.22,../../../../assets/TFT_set_data/set3/items/48.png,1.33
Hand Of Justice,7,6,5,7,4,3,4,6,49,42,3.01,../../../../assets/TFT_set_data/set3/items/49.png,4.19
Bramble Vest,3,2,4,5,4,2,1,1,55,22,1.58,../../../../assets/TFT_set_data/set3/items/55.png,3.91
Sword Breaker,4,1,0,0,0,0,0,0,56,5,0.36,../../../../assets/TFT_set_data/set3/items/56.png,1.2
Red Buff,2,2,1,0,0,2,0,1,57,8,0.57,../../../../assets/TFT_set_data/set3/items/57.png,3.62
Rebel Medal,6,6,1,2,1,3,5,1,58,25,1.79,../../../../assets/TFT_set_data/set3/items/58.png,3.8
Shroud of Stillness,3,2,0,3,1,1,3,0,59,13,0.93,../../../../assets/TFT_set_data/set3/items/59.png,3.92
Dragon's Claw,4,3,3,4,4,3,0,4,66,25,1.79,../../../../assets/TFT_set_data/set3/items/66.png,4.2
Zephyr,1,5,5,2,0,2,2,2,67,19,1.36,../../../../assets/TFT_set_data/set3/items/67.png,4.0
Celestial Orb,1,0,1,0,0,0,0,1,68,3,0.22,../../../../assets/TFT_set_data/set3/items/68.png,4.0
