item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,0,0,0,0,1,0,0.0,../../../../assets/TFT_set_data/set3/items/01.png,0.0
Recurve Bow,0,0,0,0,0,0,0,0,2,0,0.0,../../../../assets/TFT_set_data/set3/items/02.png,0.0
Needlessly Large Rod,1,1,0,1,4,2,2,3,3,14,3.1,../../../../assets/TFT_set_data/set3/items/03.png,5.5
Tear of the Goddess,0,0,0,1,0,1,0,1,4,3,0.66,../../../../assets/TFT_set_data/set3/items/04.png,6.0
Chain Vest,0,1,1,0,1,1,1,2,5,7,1.55,../../../../assets/TFT_set_data/set3/items/05.png,5.57
Negatron Cloak,0,0,0,0,0,0,0,0,6,0,0.0,../../../../assets/TFT_set_data/set3/items/06.png,0.0
Giant's Belt,0,0,0,0,0,0,0,0,7,0,0.0,../../../../assets/TFT_set_data/set3/items/07.png,0.0
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,0,0,0,0,0,0,0,9,0,0.0,../../../../assets/TFT_set_data/set3/items/09.png,0.0
Deathblade,0,0,0,0,0,0,0,0,11,0,0.0,../../../../assets/TFT_set_data/set3/items/11.png,0.0
Giant Slayer,0,0,0,1,0,0,0,0,12,1,0.22,../../../../assets/TFT_set_data/set3/items/12.png,4.0
Hextech Gunblade,0,0,0,0,0,0,2,0,13,2,0.44,../../../../assets/TFT_set_data/set3/items/13.png,7.0
Spear of Shojin,0,0,0,0,1,1,0,0,14,2,0.44,../../../../assets/TFT_set_data/set3/items/14.png,5.5
Guardian Angel,0,4,2,0,1,1,0,0,15,8,1.77,../../../../assets/TFT_set_data/set3/items/15.png,3.12
Bloodthirster,0,0,0,0,0,0,0,0,16,0,0.0,../../../../assets/TFT_set_data/set3/items/16.png,0.0
Zeke's Herald,0,0,0,0,0,0,0,0,17,0,0.0,../../../../assets/TFT_set_data/set3/items/17.png,0.0
Blade of the Ruined King,0,1,0,0,0,1,0,1,18,3,0.66,../../../../assets/TFT_set_data/set3/items/18.png,5.33
Infinity Edge,0,0,0,0,0,0,0,0,19,0,0.0,../../../../assets/TFT_set_data/set3/items/19.png,0.0
Rapid Firecannon,0,1,0,2,0,0,0,0,22,3,0.66,../../../../assets/TFT_set_data/set3/items/22.png,3.33
Guinsoo's Rageblade,0,0,0,1,0,0,1,0,23,2,0.44,../../../../assets/TFT_set_data/set3/items/23.png,5.5
Statikk Shiv,0,0,0,0,0,0,1,0,24,1,0.22,../../../../assets/TFT_set_data/set3/items/24.png,7.0
Titan's Resolve,2,0,0,1,0,1,1,0,25,5,1.11,../../../../assets/TFT_set_data/set3/items/25.png,3.8
Runaan's Hurricane,0,0,0,0,0,0,0,0,26,0,0.0,../../../../assets/TFT_set_data/set3/items/26.png,0.0
Zz'Rot Portal,9,12,9,11,6,7,10,3,27,67,14.82,../../../../assets/TFT_set_data/set3/items/27.png,4.03
Infiltrator's Talons,0,0,0,0,0,0,0,0,28,0,0.0,../../../../assets/TFT_set_data/set3/items/28.png,0.0
Last Whisper,0,0,0,0,0,0,0,0,29,0,0.0,../../../../assets/TFT_set_data/set3/items/29.png,0.0
Rabadon's Deathcap,4,5,7,8,4,4,4,4,33,40,8.85,../../../../assets/TFT_set_data/set3/items/33.png,4.28
Luden's Echo,0,1,0,0,0,0,2,0,34,3,0.66,../../../../assets/TFT_set_data/set3/items/34.png,5.33
Locket of the Iron Solari,10,7,7,7,5,6,3,6,35,51,11.28,../../../../assets/TFT_set_data/set3/items/35.png,3.98
Ionic Spark,9,7,6,4,1,3,5,5,36,40,8.85,../../../../assets/TFT_set_data/set3/items/36.png,3.88
Morellonomicon,0,0,0,0,0,0,0,0,37,0,0.0,../../../../assets/TFT_set_data/set3/items/37.png,0.0
Demolitionist's Charge,0,0,0,0,0,0,0,0,38,0,0.0,../../../../assets/TFT_set_data/set3/items/38.png,0.0
Jeweled Gauntlet,0,0,0,0,0,0,0,0,39,0,0.0,../../../../assets/TFT_set_data/set3/items/39.png,0.0
Seraph's Embrace,1,2,1,1,0,0,0,1,44,6,1.33,../../../../assets/TFT_set_data/set3/items/44.png,3.33
Frozen Heart,9,9,4,5,8,6,6,8,45,55,12.17,../../../../assets/TFT_set_data/set3/items/45.png,4.38
Chalice of Favor,1,1,1,0,0,0,0,0,46,3,0.66,../../../../assets/TFT_set_data/set3/items/46.png,2.0
Redemption,5,8,4,6,7,6,3,2,47,41,9.07,../../../../assets/TFT_set_data/set3/items/47.png,4.02
Star Guardian's Charm,1,1,0,0,0,0,0,0,48,2,0.44,../../../../assets/TFT_set_data/set3/items/48.png,1.5
Hand Of Justice,0,1,1,0,0,0,0,0,49,2,0.44,../../../../assets/TFT_set_data/set3/items/49.png,2.5
Bramble Vest,4,3,7,2,2,2,4,4,55,28,6.19,../../../../assets/TFT_set_data/set3/items/55.png,4.32
Sword Breaker,0,1,0,0,0,0,0,0,56,1,0.22,../../../../assets/TFT_set_data/set3/items/56.png,2.0
Red Buff,0,0,0,1,0,0,0,0,57,1,0.22,../../../../assets/TFT_set_data/set3/items/57.png,4.0
Rebel Medal,0,0,1,0,0,0,0,0,58,1,0.22,../../../../assets/TFT_set_data/set3/items/58.png,3.0
Shroud of Stillness,1,1,1,3,1,2,0,1,59,10,2.21,../../../../assets/TFT_set_data/set3/items/59.png,4.3
Dragon's Claw,0,1,5,3,3,1,0,1,66,14,3.1,../../../../assets/TFT_set_data/set3/items/66.png,4.14
Zephyr,0,2,2,0,0,1,1,1,67,7,1.55,../../../../assets/TFT_set_data/set3/items/67.png,4.43
Celestial Orb,0,1,0,2,1,0,1,1,68,6,1.33,../../../../assets/TFT_set_data/set3/items/68.png,5.0
Quicksilver,1,1,1,0,0,0,0,1,69,4,0.88,../../../../assets/TFT_set_data/set3/items/69.png,3.5
