item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,1,0,0,0,0,1,1,0,1,3,0.48,../../../../assets/TFT_set_data/set3/items/01.png,4.67
Recurve Bow,0,0,0,0,0,1,0,0,2,1,0.16,../../../../assets/TFT_set_data/set3/items/02.png,6.0
Needlessly Large Rod,1,0,3,1,2,2,0,3,3,12,1.92,../../../../assets/TFT_set_data/set3/items/03.png,5.0
Tear of the Goddess,0,0,0,0,0,1,0,1,4,2,0.32,../../../../assets/TFT_set_data/set3/items/04.png,7.0
Chain Vest,0,2,1,0,0,1,2,1,5,7,1.12,../../../../assets/TFT_set_data/set3/items/05.png,5.0
Negatron Cloak,1,1,0,0,1,2,1,1,6,7,1.12,../../../../assets/TFT_set_data/set3/items/06.png,5.0
Giant's Belt,0,0,0,0,1,2,1,1,7,5,0.8,../../../../assets/TFT_set_data/set3/items/07.png,6.4
Spatula,0,1,0,0,0,0,0,0,8,1,0.16,../../../../assets/TFT_set_data/set3/items/08.png,2.0
Sparring Gloves,0,0,0,0,0,1,0,0,9,1,0.16,../../../../assets/TFT_set_data/set3/items/09.png,6.0
Deathblade,0,0,2,0,0,0,0,0,11,2,0.32,../../../../assets/TFT_set_data/set3/items/11.png,3.0
Giant Slayer,0,1,0,0,1,0,0,1,12,3,0.48,../../../../assets/TFT_set_data/set3/items/12.png,5.0
Hextech Gunblade,2,2,2,1,1,0,2,0,13,10,1.6,../../../../assets/TFT_set_data/set3/items/13.png,3.5
Spear of Shojin,0,1,1,3,1,2,3,1,14,12,1.92,../../../../assets/TFT_set_data/set3/items/14.png,5.25
Guardian Angel,5,3,4,7,3,5,7,6,15,40,6.4,../../../../assets/TFT_set_data/set3/items/15.png,4.83
Bloodthirster,1,0,0,0,0,1,0,0,16,2,0.32,../../../../assets/TFT_set_data/set3/items/16.png,3.5
Zeke's Herald,0,0,2,2,2,0,0,1,17,7,1.12,../../../../assets/TFT_set_data/set3/items/17.png,4.57
Blade of the Ruined King,0,0,0,0,1,0,0,0,18,1,0.16,../../../../assets/TFT_set_data/set3/items/18.png,5.0
Infinity Edge,0,0,0,0,1,0,0,0,19,1,0.16,../../../../assets/TFT_set_data/set3/items/19.png,5.0
Rapid Firecannon,2,0,1,1,0,0,1,1,22,6,0.96,../../../../assets/TFT_set_data/set3/items/22.png,4.0
Guinsoo's Rageblade,1,1,0,0,0,0,0,0,23,2,0.32,../../../../assets/TFT_set_data/set3/items/23.png,1.5
Statikk Shiv,0,0,0,1,0,0,0,1,24,2,0.32,../../../../assets/TFT_set_data/set3/items/24.png,6.0
Titan's Resolve,4,2,1,2,4,2,2,2,25,19,3.04,../../../../assets/TFT_set_data/set3/items/25.png,4.26
Runaan's Hurricane,0,0,0,0,0,0,0,1,26,1,0.16,../../../../assets/TFT_set_data/set3/items/26.png,8.0
Zz'Rot Portal,4,4,3,2,4,1,1,1,27,20,3.2,../../../../assets/TFT_set_data/set3/items/27.png,3.5
Infiltrator's Talons,0,0,0,0,0,0,1,0,28,1,0.16,../../../../assets/TFT_set_data/set3/items/28.png,7.0
Last Whisper,0,1,0,0,0,0,0,0,29,1,0.16,../../../../assets/TFT_set_data/set3/items/29.png,2.0
Rabadon's Deathcap,1,0,4,1,1,2,2,1,33,12,1.92,../../../../assets/TFT_set_data/set3/items/33.png,4.67
Luden's Echo,0,1,0,0,1,1,2,1,34,6,0.96,../../../../assets/TFT_set_data/set3/items/34.png,5.83
Locket of the Iron Solari,2,6,4,6,3,1,2,1,35,25,4.0,../../../../assets/TFT_set_data/set3/items/35.png,3.72
Ionic Spark,15,9,8,9,8,13,11,8,36,81,12.96,../../../../assets/TFT_set_data/set3/items/36.png,4.35
Morellonomicon,0,2,4,3,1,3,3,2,37,18,2.88,../../../../assets/TFT_set_data/set3/items/37.png,4.89
Demolitionist's Charge,5,6,3,6,4,6,4,2,38,36,5.76,../../../../assets/TFT_set_data/set3/items/38.png,4.17
Jeweled Gauntlet,1,1,2,1,0,1,2,1,39,9,1.44,../../../../assets/TFT_set_data/set3/items/39.png,4.56
