item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,0,0,0,0,1,0,0.0,../../../../assets/TFT_set_data/set3/items/01.png,0.0
Recurve Bow,0,0,1,0,0,0,0,0,2,1,0.73,../../../../assets/TFT_set_data/set3/items/02.png,3.0
Needlessly Large Rod,2,0,2,1,2,1,0,0,3,8,5.84,../../../../assets/TFT_set_data/set3/items/03.png,3.5
Tear of the Goddess,2,1,3,1,0,2,1,3,4,13,9.49,../../../../assets/TFT_set_data/set3/items/04.png,4.62
Chain Vest,0,0,0,0,0,0,0,0,5,0,0.0,../../../../assets/TFT_set_data/set3/items/05.png,0.0
Negatron Cloak,0,0,0,0,0,0,0,0,6,0,0.0,../../../../assets/TFT_set_data/set3/items/06.png,0.0
Giant's Belt,0,0,0,0,0,0,0,0,7,0,0.0,../../../../assets/TFT_set_data/set3/items/07.png,0.0
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,0,0,0,0,0,0,0,9,0,0.0,../../../../assets/TFT_set_data/set3/items/09.png,0.0
Deathblade,0,0,0,0,0,0,0,0,11,0,0.0,../../../../assets/TFT_set_data/set3/items/11.png,0.0
Giant Slayer,0,0,0,0,0,0,0,0,12,0,0.0,../../../../assets/TFT_set_data/set3/items/12.png,0.0
Hextech Gunblade,0,0,0,0,0,0,0,0,13,0,0.0,../../../../assets/TFT_set_data/set3/items/13.png,0.0
Spear of Shojin,1,3,1,0,0,0,0,0,14,5,3.65,../../../../assets/TFT_set_data/set3/items/14.png,2.0
Guardian Angel,0,0,0,0,0,0,0,0,15,0,0.0,../../../../assets/TFT_set_data/set3/items/15.png,0.0
Bloodthirster,0,0,0,0,0,0,0,0,16,0,0.0,../../../../assets/TFT_set_data/set3/items/16.png,0.0
Zeke's Herald,7,6,3,5,4,2,10,5,17,42,30.66,../../../../assets/TFT_set_data/set3/items/17.png,4.52
Blade of the Ruined King,0,0,0,0,0,0,0,0,18,0,0.0,../../../../assets/TFT_set_data/set3/items/18.png,0.0
Infinity Edge,0,0,0,0,0,0,0,0,19,0,0.0,../../../../assets/TFT_set_data/set3/items/19.png,0.0
Rapid Firecannon,0,0,0,0,1,0,0,0,22,1,0.73,../../../../assets/TFT_set_data/set3/items/22.png,5.0
Guinsoo's Rageblade,0,0,1,1,0,0,1,0,23,3,2.19,../../../../assets/TFT_set_data/set3/items/23.png,4.67
Statikk Shiv,0,1,0,0,0,0,0,1,24,2,1.46,../../../../assets/TFT_set_data/set3/items/24.png,5.0
Titan's Resolve,0,0,0,0,0,0,0,0,25,0,0.0,../../../../assets/TFT_set_data/set3/items/25.png,0.0
Runaan's Hurricane,0,0,0,0,0,0,0,0,26,0,0.0,../../../../assets/TFT_set_data/set3/items/26.png,0.0
Zz'Rot Portal,0,0,0,0,0,0,0,0,27,0,0.0,../../../../assets/TFT_set_data/set3/items/27.png,0.0
Infiltrator's Talons,0,0,0,0,0,0,0,0,28,0,0.0,../../../../assets/TFT_set_data/set3/items/28.png,0.0
