item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,1,0,1,0,0,0,0,0,1,2,0.39,../../../../assets/TFT_set_data/set3/items/01.png,2.0
Recurve Bow,0,0,0,0,1,0,2,0,2,3,0.58,../../../../assets/TFT_set_data/set3/items/02.png,6.33
Needlessly Large Rod,1,1,0,3,1,0,2,1,3,9,1.75,../../../../assets/TFT_set_data/set3/items/03.png,4.67
Tear of the Goddess,3,2,3,5,1,5,3,2,4,24,4.67,../../../../assets/TFT_set_data/set3/items/04.png,4.5
Chain Vest,1,3,1,0,0,1,1,1,5,8,1.56,../../../../assets/TFT_set_data/set3/items/05.png,3.88
Negatron Cloak,1,2,0,2,1,0,1,2,6,9,1.75,../../../../assets/TFT_set_data/set3/items/06.png,4.56
Giant's Belt,1,3,1,2,2,2,0,0,7,11,2.14,../../../../assets/TFT_set_data/set3/items/07.png,3.64
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,1,0,1,0,0,1,0,9,3,0.58,../../../../assets/TFT_set_data/set3/items/09.png,4.33
Deathblade,0,1,0,0,0,0,0,0,11,1,0.19,../../../../assets/TFT_set_data/set3/items/11.png,2.0
Giant Slayer,0,0,0,0,0,0,0,0,12,0,0.0,../../../../assets/TFT_set_data/set3/items/12.png,0.0
Hextech Gunblade,0,2,1,1,2,1,1,0,13,8,1.56,../../../../assets/TFT_set_data/set3/items/13.png,4.25
Spear of Shojin,1,2,0,1,1,3,2,2,14,12,2.33,../../../../assets/TFT_set_data/set3/items/14.png,5.17
Guardian Angel,5,2,1,2,0,3,1,2,15,16,3.11,../../../../assets/TFT_set_data/set3/items/15.png,3.81
Bloodthirster,0,0,0,0,0,0,0,0,16,0,0.0,../../../../assets/TFT_set_data/set3/items/16.png,0.0
Zeke's Herald,0,2,0,1,0,0,1,0,17,4,0.78,../../../../assets/TFT_set_data/set3/items/17.png,3.75
Blade of the Ruined King,0,1,1,1,0,1,1,0,18,5,0.97,../../../../assets/TFT_set_data/set3/items/18.png,4.4
Infinity Edge,1,0,1,1,1,0,0,0,19,4,0.78,../../../../assets/TFT_set_data/set3/items/19.png,3.25
Rapid Firecannon,0,0,0,0,0,1,0,0,22,1,0.19,../../../../assets/TFT_set_data/set3/items/22.png,6.0
Guinsoo's Rageblade,0,1,0,0,0,0,0,0,23,1,0.19,../../../../assets/TFT_set_data/set3/items/23.png,2.0
Statikk Shiv,2,0,0,1,0,0,0,1,24,4,0.78,../../../../assets/TFT_set_data/set3/items/24.png,3.5
Titan's Resolve,1,1,0,2,0,2,0,0,25,6,1.17,../../../../assets/TFT_set_data/set3/items/25.png,3.83
Runaan's Hurricane,1,2,1,2,3,1,1,0,26,11,2.14,../../../../assets/TFT_set_data/set3/items/26.png,4.0
Zz'Rot Portal,1,1,5,2,0,3,2,1,27,15,2.92,../../../../assets/TFT_set_data/set3/items/27.png,4.4
Infiltrator's Talons,2,1,2,0,1,0,2,0,28,8,1.56,../../../../assets/TFT_set_data/set3/items/28.png,3.62
Last Whisper,0,0,0,0,0,0,0,0,29,0,0.0,../../../../assets/TFT_set_data/set3/items/29.png,0.0
Rabadon's Deathcap,0,1,1,1,1,1,1,1,33,7,1.36,../../../../assets/TFT_set_data/set3/items/33.png,5.0
Luden's Echo,1,0,4,5,2,1,1,0,34,14,2.72,../../../../assets/TFT_set_data/set3/items/34.png,4.0
Locket of the Iron Solari,2,2,2,0,0,4,1,0,35,11,2.14,../../../../assets/TFT_set_data/set3/items/35.png,3.91
Ionic Spark,3,1,1,3,0,3,1,5,36,17,3.31,../../../../assets/TFT_set_data/set3/items/36.png,5.0
Morellonomicon,3,5,2,3,4,1,1,2,37,21,4.09,../../../../assets/TFT_set_data/set3/items/37.png,3.81
Demolitionist's Charge,2,1,0,2,3,0,0,0,38,8,1.56,../../../../assets/TFT_set_data/set3/items/38.png,3.38
Jeweled Gauntlet,0,2,3,2,0,1,0,1,39,9,1.75,../../../../assets/TFT_set_data/set3/items/39.png,3.89
Seraph's Embrace,1,2,0,2,4,5,1,0,44,15,2.92,../../../../assets/TFT_set_data/set3/items/44.png,4.67
Frozen Heart,1,2,4,0,3,0,2,0,45,12,2.33,../../../../assets/TFT_set_data/set3/items/45.png,3.83
Chalice of Favor,1,0,2,0,0,5,1,0,46,9,1.75,../../../../assets/TFT_set_data/set3/items/46.png,4.89
Redemption,15,11,8,20,11,14,12,7,47,98,19.07,../../../../assets/TFT_set_data/set3/items/47.png,4.29
Star Guardian's Charm,0,0,1,0,1,0,0,0,48,2,0.39,../../../../assets/TFT_set_data/set3/items/48.png,4.0
Hand Of Justice,0,3,0,0,0,1,0,0,49,4,0.78,../../../../assets/TFT_set_data/set3/items/49.png,3.0
Bramble Vest,1,1,0,0,0,0,0,0,55,2,0.39,../../../../assets/TFT_set_data/set3/items/55.png,1.5
Sword Breaker,1,0,0,1,0,0,0,0,56,2,0.39,../../../../assets/TFT_set_data/set3/items/56.png,2.5
Red Buff,0,1,1,1,1,0,1,0,57,5,0.97,../../../../assets/TFT_set_data/set3/items/57.png,4.2
Rebel Medal,0,0,0,1,0,0,0,0,58,1,0.19,../../../../assets/TFT_set_data/set3/items/58.png,4.0
Shroud of Stillness,3,6,5,0,2,1,0,1,59,18,3.5,../../../../assets/TFT_set_data/set3/items/59.png,3.0
Dragon's Claw,1,1,3,1,0,0,1,0,66,7,1.36,../../../../assets/TFT_set_data/set3/items/66.png,3.29
Zephyr,4,5,10,6,4,4,3,1,67,37,7.2,../../../../assets/TFT_set_data/set3/items/67.png,3.81
Celestial Orb,0,0,0,0,0,0,0,0,68,0,0.0,../../../../assets/TFT_set_data/set3/items/68.png,0.0
Quicksilver,0,2,1,1,1,0,0,0,69,5,0.97,../../../../assets/TFT_set_data/set3/items/69.png,3.2
Warmog's Armor,1,0,0,0,0,0,1,0,77,2,0.39,../../../../assets/TFT_set_data/set3/items/77.png,4.0
Protector's Chestguard,1,1,0,2,1,1,1,0,78,7,1.36,../../../../assets/TFT_set_data/set3/items/78.png,4.14
Trap Claw,1,0,4,1,1,1,1,0,79,9,1.75,../../../../assets/TFT_set_data/set3/items/79.png,3.89
Force of Nature,1,2,1,1,0,0,0,1,88,6,1.17,../../../../assets/TFT_set_data/set3/items/88.png,3.33
Dark Star's Heart,1,2,0,1,0,1,0,0,89,5,0.97,../../../../assets/TFT_set_data/set3/items/89.png,3.0
Thief's Gloves,3,4,2,3,1,2,1,0,99,16,3.11,../../../../assets/TFT_set_data/set3/items/99.png,3.31
