item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,0,0,0,1,1,1,0.05,../../../../assets/TFT_set_data/set3/items/01.png,8.0
Recurve Bow,5,1,4,3,3,5,8,2,2,31,1.51,../../../../assets/TFT_set_data/set3/items/02.png,4.77
Needlessly Large Rod,2,1,1,0,1,1,1,3,3,10,0.49,../../../../assets/TFT_set_data/set3/items/03.png,4.9
Tear of the Goddess,0,0,0,0,1,2,0,0,4,3,0.15,../../../../assets/TFT_set_data/set3/items/04.png,5.67
Chain Vest,0,0,0,0,1,0,0,0,5,1,0.05,../../../../assets/TFT_set_data/set3/items/05.png,5.0
Negatron Cloak,0,0,0,0,1,0,0,0,6,1,0.05,../../../../assets/TFT_set_data/set3/items/06.png,5.0
Giant's Belt,1,0,0,1,0,0,0,0,7,2,0.1,../../../../assets/TFT_set_data/set3/items/07.png,2.5
Spatula,0,0,0,0,0,1,0,0,8,1,0.05,../../../../assets/TFT_set_data/set3/items/08.png,6.0
Sparring Gloves,0,0,0,0,0,0,0,0,9,0,0.0,../../../../assets/TFT_set_data/set3/items/09.png,0.0
Deathblade,0,0,1,0,0,1,1,1,11,4,0.19,../../../../assets/TFT_set_data/set3/items/11.png,6.0
Giant Slayer,1,0,4,1,1,1,1,1,12,10,0.49,../../../../assets/TFT_set_data/set3/items/12.png,4.3
Hextech Gunblade,2,7,7,7,8,1,3,0,13,35,1.7,../../../../assets/TFT_set_data/set3/items/13.png,3.77
Spear of Shojin,0,0,0,0,0,0,1,1,14,2,0.1,../../../../assets/TFT_set_data/set3/items/14.png,7.5
Guardian Angel,35,39,52,33,50,35,38,27,15,309,15.03,../../../../assets/TFT_set_data/set3/items/15.png,4.35
Bloodthirster,1,0,0,1,1,1,1,0,16,5,0.24,../../../../assets/TFT_set_data/set3/items/16.png,4.6
Zeke's Herald,2,2,7,5,2,1,0,2,17,21,1.02,../../../../assets/TFT_set_data/set3/items/17.png,3.76
Blade of the Ruined King,0,0,0,0,0,0,0,0,18,0,0.0,../../../../assets/TFT_set_data/set3/items/18.png,0.0
Infinity Edge,0,1,4,3,0,3,2,0,19,13,0.63,../../../../assets/TFT_set_data/set3/items/19.png,4.46
Rapid Firecannon,30,26,29,21,32,36,22,21,22,217,10.55,../../../../assets/TFT_set_data/set3/items/22.png,4.38
Guinsoo's Rageblade,64,69,104,68,85,63,60,62,23,575,27.97,../../../../assets/TFT_set_data/set3/items/23.png,4.36
Statikk Shiv,7,3,4,6,1,7,15,2,24,45,2.19,../../../../assets/TFT_set_data/set3/items/24.png,4.82
Titan's Resolve,0,0,2,2,0,0,1,1,25,6,0.29,../../../../assets/TFT_set_data/set3/items/25.png,4.83
Runaan's Hurricane,0,2,3,3,2,1,1,2,26,14,0.68,../../../../assets/TFT_set_data/set3/items/26.png,4.57
Zz'Rot Portal,1,0,0,0,0,0,1,0,27,2,0.1,../../../../assets/TFT_set_data/set3/items/27.png,4.0
Infiltrator's Talons,5,4,7,1,3,0,4,2,28,26,1.26,../../../../assets/TFT_set_data/set3/items/28.png,3.73
Last Whisper,2,0,2,1,1,0,0,1,29,7,0.34,../../../../assets/TFT_set_data/set3/items/29.png,3.57
Rabadon's Deathcap,9,6,8,9,8,9,11,11,33,71,3.45,../../../../assets/TFT_set_data/set3/items/33.png,4.79
Luden's Echo,0,0,6,0,0,0,0,1,34,7,0.34,../../../../assets/TFT_set_data/set3/items/34.png,3.71
Locket of the Iron Solari,0,1,1,0,0,0,0,0,35,2,0.1,../../../../assets/TFT_set_data/set3/items/35.png,2.5
Ionic Spark,0,0,0,0,0,1,0,0,36,1,0.05,../../../../assets/TFT_set_data/set3/items/36.png,6.0
Morellonomicon,12,19,22,17,20,14,14,6,37,124,6.03,../../../../assets/TFT_set_data/set3/items/37.png,4.15
Demolitionist's Charge,1,5,3,3,2,2,7,3,38,26,1.26,../../../../assets/TFT_set_data/set3/items/38.png,4.88
Jeweled Gauntlet,3,4,3,5,1,3,1,1,39,21,1.02,../../../../assets/TFT_set_data/set3/items/39.png,3.71
