item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,1,0,0,0,0,0,0,1,1,1.02,../../../../assets/TFT_set_data/set3/items/01.png,2.0
Recurve Bow,0,0,1,0,1,0,0,1,2,3,3.06,../../../../assets/TFT_set_data/set3/items/02.png,5.33
Needlessly Large Rod,0,0,0,0,0,0,0,0,3,0,0.0,../../../../assets/TFT_set_data/set3/items/03.png,0.0
Tear of the Goddess,0,0,0,0,0,0,0,0,4,0,0.0,../../../../assets/TFT_set_data/set3/items/04.png,0.0
Chain Vest,0,0,0,1,0,0,0,1,5,2,2.04,../../../../assets/TFT_set_data/set3/items/05.png,6.0
Negatron Cloak,0,0,0,1,0,2,1,0,6,4,4.08,../../../../assets/TFT_set_data/set3/items/06.png,5.75
Giant's Belt,0,1,0,0,1,0,0,0,7,2,2.04,../../../../assets/TFT_set_data/set3/items/07.png,3.5
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,0,0,0,0,0,0,1,9,1,1.02,../../../../assets/TFT_set_data/set3/items/09.png,8.0
Deathblade,0,0,0,0,0,0,0,0,11,0,0.0,../../../../assets/TFT_set_data/set3/items/11.png,0.0
Giant Slayer,1,1,1,1,0,0,0,0,12,4,4.08,../../../../assets/TFT_set_data/set3/items/12.png,2.5
Hextech Gunblade,0,0,0,1,0,0,0,0,13,1,1.02,../../../../assets/TFT_set_data/set3/items/13.png,4.0
Spear of Shojin,0,0,0,0,0,0,0,0,14,0,0.0,../../../../assets/TFT_set_data/set3/items/14.png,0.0
Guardian Angel,0,0,1,0,0,0,0,0,15,1,1.02,../../../../assets/TFT_set_data/set3/items/15.png,3.0
Bloodthirster,0,0,2,0,1,0,0,0,16,3,3.06,../../../../assets/TFT_set_data/set3/items/16.png,3.67
Zeke's Herald,2,1,0,1,0,0,0,0,17,4,4.08,../../../../assets/TFT_set_data/set3/items/17.png,2.0
Blade of the Ruined King,0,0,0,0,0,0,0,0,18,0,0.0,../../../../assets/TFT_set_data/set3/items/18.png,0.0
Infinity Edge,0,0,0,0,0,1,0,0,19,1,1.02,../../../../assets/TFT_set_data/set3/items/19.png,6.0
Rapid Firecannon,0,0,1,2,0,1,0,0,22,4,4.08,../../../../assets/TFT_set_data/set3/items/22.png,4.25
Guinsoo's Rageblade,0,1,0,1,2,3,1,1,23,9,9.18,../../../../assets/TFT_set_data/set3/items/23.png,5.44
Statikk Shiv,0,0,0,0,0,0,0,0,24,0,0.0,../../../../assets/TFT_set_data/set3/items/24.png,0.0
Titan's Resolve,0,2,0,1,0,0,0,0,25,3,3.06,../../../../assets/TFT_set_data/set3/items/25.png,2.67
Runaan's Hurricane,0,0,0,1,1,1,0,0,26,3,3.06,../../../../assets/TFT_set_data/set3/items/26.png,5.0
Zz'Rot Portal,2,0,1,0,0,0,0,0,27,3,3.06,../../../../assets/TFT_set_data/set3/items/27.png,1.67
Infiltrator's Talons,0,0,0,0,0,0,0,0,28,0,0.0,../../../../assets/TFT_set_data/set3/items/28.png,0.0
Last Whisper,1,1,0,0,1,0,0,0,29,3,3.06,../../../../assets/TFT_set_data/set3/items/29.png,2.67
Rabadon's Deathcap,0,0,0,1,0,0,0,0,33,1,1.02,../../../../assets/TFT_set_data/set3/items/33.png,4.0
Luden's Echo,0,0,0,0,0,0,0,0,34,0,0.0,../../../../assets/TFT_set_data/set3/items/34.png,0.0
Locket of the Iron Solari,0,0,1,0,0,0,0,0,35,1,1.02,../../../../assets/TFT_set_data/set3/items/35.png,3.0
Ionic Spark,0,0,0,0,1,0,0,0,36,1,1.02,../../../../assets/TFT_set_data/set3/items/36.png,5.0
Morellonomicon,0,0,0,1,0,0,0,0,37,1,1.02,../../../../assets/TFT_set_data/set3/items/37.png,4.0
Demolitionist's Charge,0,0,0,0,0,0,0,0,38,0,0.0,../../../../assets/TFT_set_data/set3/items/38.png,0.0
Jeweled Gauntlet,0,0,0,0,0,0,1,0,39,1,1.02,../../../../assets/TFT_set_data/set3/items/39.png,7.0
Seraph's Embrace,0,0,0,1,0,1,0,0,44,2,2.04,../../../../assets/TFT_set_data/set3/items/44.png,5.0
Frozen Heart,0,0,0,0,0,1,1,0,45,2,2.04,../../../../assets/TFT_set_data/set3/items/45.png,6.5
Chalice of Favor,0,0,0,0,0,0,0,0,46,0,0.0,../../../../assets/TFT_set_data/set3/items/46.png,0.0
Redemption,0,1,0,1,1,1,0,0,47,4,4.08,../../../../assets/TFT_set_data/set3/items/47.png,4.25
Star Guardian's Charm,0,0,0,0,0,0,0,0,48,0,0.0,../../../../assets/TFT_set_data/set3/items/48.png,0.0
Hand Of Justice,0,0,0,0,0,0,0,0,49,0,0.0,../../../../assets/TFT_set_data/set3/items/49.png,0.0
Bramble Vest,0,2,1,0,0,1,2,0,55,6,6.12,../../../../assets/TFT_set_data/set3/items/55.png,4.5
Sword Breaker,0,0,0,0,0,0,0,0,56,0,0.0,../../../../assets/TFT_set_data/set3/items/56.png,0.0
Red Buff,0,1,0,0,0,1,0,0,57,2,2.04,../../../../assets/TFT_set_data/set3/items/57.png,4.0
Rebel Medal,0,0,0,0,0,0,0,0,58,0,0.0,../../../../assets/TFT_set_data/set3/items/58.png,0.0
Shroud of Stillness,1,1,0,2,0,0,1,0,59,5,5.1,../../../../assets/TFT_set_data/set3/items/59.png,3.6
Dragon's Claw,0,0,0,0,1,0,0,0,66,1,1.02,../../../../assets/TFT_set_data/set3/items/66.png,5.0
Zephyr,2,1,0,1,0,1,0,0,67,5,5.1,../../../../assets/TFT_set_data/set3/items/67.png,2.8
Celestial Orb,2,1,0,1,0,0,0,0,68,4,4.08,../../../../assets/TFT_set_data/set3/items/68.png,2.0
Quicksilver,0,2,1,0,0,1,1,0,69,5,5.1,../../../../assets/TFT_set_data/set3/items/69.png,4.0
Warmog's Armor,0,0,0,1,0,0,0,0,77,1,1.02,../../../../assets/TFT_set_data/set3/items/77.png,4.0
Protector's Chestguard,0,0,0,0,0,0,0,0,78,0,0.0,../../../../assets/TFT_set_data/set3/items/78.png,0.0
Trap Claw,0,0,0,0,0,0,0,0,79,0,0.0,../../../../assets/TFT_set_data/set3/items/79.png,0.0
Force of Nature,0,0,0,1,0,0,0,0,88,1,1.02,../../../../assets/TFT_set_data/set3/items/88.png,4.0
Dark Star's Heart,0,0,0,0,0,0,0,0,89,0,0.0,../../../../assets/TFT_set_data/set3/items/89.png,0.0
Thief's Gloves,0,0,0,0,1,1,1,0,99,3,3.06,../../../../assets/TFT_set_data/set3/items/99.png,6.0
