item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,1,1,2,0,2,2,0,1,1,9,0.65,../../../../assets/TFT_set_data/set3/items/01.png,4.33
Recurve Bow,0,0,1,1,1,3,0,2,2,8,0.57,../../../../assets/TFT_set_data/set3/items/02.png,5.75
Needlessly Large Rod,2,3,1,3,1,1,1,0,3,12,0.86,../../../../assets/TFT_set_data/set3/items/03.png,3.42
Tear of the Goddess,5,3,2,1,2,1,4,3,4,21,1.51,../../../../assets/TFT_set_data/set3/items/04.png,4.24
Chain Vest,1,0,3,1,1,0,1,0,5,7,0.5,../../../../assets/TFT_set_data/set3/items/05.png,3.71
Negatron Cloak,1,2,0,0,0,0,1,0,6,4,0.29,../../../../assets/TFT_set_data/set3/items/06.png,3.0
Giant's Belt,1,0,3,1,1,1,1,1,7,9,0.65,../../../../assets/TFT_set_data/set3/items/07.png,4.44
Spatula,0,1,0,0,0,0,0,0,8,1,0.07,../../../../assets/TFT_set_data/set3/items/08.png,2.0
Sparring Gloves,1,2,0,0,2,1,0,0,9,6,0.43,../../../../assets/TFT_set_data/set3/items/09.png,3.5
Deathblade,5,1,1,2,6,2,1,1,11,19,1.36,../../../../assets/TFT_set_data/set3/items/11.png,3.95
Giant Slayer,3,4,7,4,6,2,1,1,12,28,2.01,../../../../assets/TFT_set_data/set3/items/12.png,3.75
Hextech Gunblade,7,12,5,2,4,2,3,2,13,37,2.66,../../../../assets/TFT_set_data/set3/items/13.png,3.32
Spear of Shojin,12,10,9,6,14,16,4,6,14,77,5.53,../../../../assets/TFT_set_data/set3/items/14.png,4.22
Guardian Angel,7,4,6,5,1,6,3,3,15,35,2.51,../../../../assets/TFT_set_data/set3/items/15.png,3.97
Bloodthirster,2,2,3,3,1,0,2,2,16,15,1.08,../../../../assets/TFT_set_data/set3/items/16.png,4.13
Zeke's Herald,2,3,2,2,3,1,0,0,17,13,0.93,../../../../assets/TFT_set_data/set3/items/17.png,3.31
Blade of the Ruined King,5,4,8,3,4,3,4,0,18,31,2.23,../../../../assets/TFT_set_data/set3/items/18.png,3.71
Infinity Edge,3,3,3,0,2,1,1,2,19,15,1.08,../../../../assets/TFT_set_data/set3/items/19.png,3.8
Rapid Firecannon,3,0,2,2,1,1,1,0,22,10,0.72,../../../../assets/TFT_set_data/set3/items/22.png,3.5
Guinsoo's Rageblade,9,5,2,3,1,2,3,1,23,26,1.87,../../../../assets/TFT_set_data/set3/items/23.png,3.19
Statikk Shiv,10,12,3,4,9,3,1,2,24,44,3.16,../../../../assets/TFT_set_data/set3/items/24.png,3.3
Titan's Resolve,1,0,2,1,1,2,1,0,25,8,0.57,../../../../assets/TFT_set_data/set3/items/25.png,4.38
