item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,0,0,0,0,1,0,0.0,../../../../assets/TFT_set_data/set3/items/01.png,0.0
Recurve Bow,0,0,0,0,0,0,0,0,2,0,0.0,../../../../assets/TFT_set_data/set3/items/02.png,0.0
Needlessly Large Rod,0,0,0,0,0,0,2,0,3,2,0.88,../../../../assets/TFT_set_data/set3/items/03.png,7.0
Tear of the Goddess,0,0,0,0,0,0,0,0,4,0,0.0,../../../../assets/TFT_set_data/set3/items/04.png,0.0
Chain Vest,0,0,1,0,0,1,0,0,5,2,0.88,../../../../assets/TFT_set_data/set3/items/05.png,4.5
Negatron Cloak,0,0,0,0,0,0,1,1,6,2,0.88,../../../../assets/TFT_set_data/set3/items/06.png,7.5
Giant's Belt,0,0,0,0,0,0,1,1,7,2,0.88,../../../../assets/TFT_set_data/set3/items/07.png,7.5
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,0,0,0,0,0,0,0,9,0,0.0,../../../../assets/TFT_set_data/set3/items/09.png,0.0
Deathblade,0,0,0,0,0,0,0,0,11,0,0.0,../../../../assets/TFT_set_data/set3/items/11.png,0.0
Giant Slayer,0,0,0,0,0,0,0,0,12,0,0.0,../../../../assets/TFT_set_data/set3/items/12.png,0.0
Hextech Gunblade,0,0,0,0,0,0,0,0,13,0,0.0,../../../../assets/TFT_set_data/set3/items/13.png,0.0
Spear of Shojin,0,0,0,0,0,0,0,0,14,0,0.0,../../../../assets/TFT_set_data/set3/items/14.png,0.0
Guardian Angel,1,0,1,0,0,1,1,0,15,4,1.77,../../../../assets/TFT_set_data/set3/items/15.png,4.25
Bloodthirster,0,0,0,0,0,0,0,0,16,0,0.0,../../../../assets/TFT_set_data/set3/items/16.png,0.0
Zeke's Herald,0,0,0,0,0,0,0,0,17,0,0.0,../../../../assets/TFT_set_data/set3/items/17.png,0.0
Blade of the Ruined King,0,0,0,0,0,0,0,0,18,0,0.0,../../../../assets/TFT_set_data/set3/items/18.png,0.0
Infinity Edge,0,0,0,0,0,0,0,0,19,0,0.0,../../../../assets/TFT_set_data/set3/items/19.png,0.0
Rapid Firecannon,0,0,0,0,0,0,0,0,22,0,0.0,../../../../assets/TFT_set_data/set3/items/22.png,0.0
Guinsoo's Rageblade,0,0,0,0,0,0,0,0,23,0,0.0,../../../../assets/TFT_set_data/set3/items/23.png,0.0
Statikk Shiv,0,0,0,0,0,0,0,0,24,0,0.0,../../../../assets/TFT_set_data/set3/items/24.png,0.0
Titan's Resolve,0,3,2,3,1,2,0,2,25,13,5.75,../../../../assets/TFT_set_data/set3/items/25.png,4.38
Runaan's Hurricane,0,0,0,0,0,0,0,0,26,0,0.0,../../../../assets/TFT_set_data/set3/items/26.png,0.0
Zz'Rot Portal,2,0,1,1,2,1,2,1,27,10,4.42,../../../../assets/TFT_set_data/set3/items/27.png,4.7
Infiltrator's Talons,0,0,0,0,0,0,0,0,28,0,0.0,../../../../assets/TFT_set_data/set3/items/28.png,0.0
Last Whisper,0,0,0,0,0,0,0,0,29,0,0.0,../../../../assets/TFT_set_data/set3/items/29.png,0.0
Rabadon's Deathcap,3,0,1,0,3,6,2,6,33,21,9.29,../../../../assets/TFT_set_data/set3/items/33.png,5.67
Luden's Echo,0,0,0,0,0,0,0,0,34,0,0.0,../../../../assets/TFT_set_data/set3/items/34.png,0.0
Locket of the Iron Solari,0,0,0,0,0,0,0,1,35,1,0.44,../../../../assets/TFT_set_data/set3/items/35.png,8.0
Ionic Spark,4,5,4,7,3,5,5,5,36,38,16.81,../../../../assets/TFT_set_data/set3/items/36.png,4.58
Morellonomicon,0,0,0,1,0,0,0,0,37,1,0.44,../../../../assets/TFT_set_data/set3/items/37.png,4.0
Demolitionist's Charge,0,0,0,0,0,1,0,0,38,1,0.44,../../../../assets/TFT_set_data/set3/items/38.png,6.0
Jeweled Gauntlet,0,0,0,0,0,0,0,0,39,0,0.0,../../../../assets/TFT_set_data/set3/items/39.png,0.0
Seraph's Embrace,0,0,0,0,0,0,1,0,44,1,0.44,../../../../assets/TFT_set_data/set3/items/44.png,7.0
Frozen Heart,0,0,1,0,1,1,2,0,45,5,2.21,../../../../assets/TFT_set_data/set3/items/45.png,5.6
Chalice of Favor,0,0,0,0,0,0,0,0,46,0,0.0,../../../../assets/TFT_set_data/set3/items/46.png,0.0
Redemption,1,0,0,0,1,0,2,0,47,4,1.77,../../../../assets/TFT_set_data/set3/items/47.png,5.0
Star Guardian's Charm,0,0,0,0,0,0,0,0,48,0,0.0,../../../../assets/TFT_set_data/set3/items/48.png,0.0
Hand Of Justice,0,0,0,0,0,0,0,0,49,0,0.0,../../../../assets/TFT_set_data/set3/items/49.png,0.0
Bramble Vest,7,4,4,7,5,8,7,10,55,52,23.01,../../../../assets/TFT_set_data/set3/items/55.png,4.94
Sword Breaker,0,0,0,0,1,0,0,0,56,1,0.44,../../../../assets/TFT_set_data/set3/items/56.png,5.0
Red Buff,0,0,0,1,0,0,0,0,57,1,0.44,../../../../assets/TFT_set_data/set3/items/57.png,4.0
Rebel Medal,0,0,0,0,0,0,0,0,58,0,0.0,../../../../assets/TFT_set_data/set3/items/58.png,0.0
Shroud of Stillness,1,1,0,1,2,0,1,0,59,6,2.65,../../../../assets/TFT_set_data/set3/items/59.png,4.0
Dragon's Claw,4,3,4,6,1,5,9,5,66,37,16.37,../../../../assets/TFT_set_data/set3/items/66.png,4.97
Zephyr,1,0,1,1,1,0,1,0,67,5,2.21,../../../../assets/TFT_set_data/set3/items/67.png,4.0
Celestial Orb,0,0,0,0,0,0,0,0,68,0,0.0,../../../../assets/TFT_set_data/set3/items/68.png,0.0
Quicksilver,0,0,0,0,1,2,1,0,69,4,1.77,../../../../assets/TFT_set_data/set3/items/69.png,6.0
