item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,0,0,0,0,1,0,0.0,../../../../assets/TFT_set_data/set3/items/01.png,0.0
Recurve Bow,0,0,0,1,0,0,0,0,2,1,2.63,../../../../assets/TFT_set_data/set3/items/02.png,4.0
Needlessly Large Rod,0,0,0,0,0,0,0,0,3,0,0.0,../../../../assets/TFT_set_data/set3/items/03.png,0.0
Tear of the Goddess,0,0,0,0,0,0,2,1,4,3,7.89,../../../../assets/TFT_set_data/set3/items/04.png,7.33
Chain Vest,0,0,0,0,0,0,0,0,5,0,0.0,../../../../assets/TFT_set_data/set3/items/05.png,0.0
Negatron Cloak,0,0,0,0,0,0,0,0,6,0,0.0,../../../../assets/TFT_set_data/set3/items/06.png,0.0
Giant's Belt,0,0,0,0,0,0,0,0,7,0,0.0,../../../../assets/TFT_set_data/set3/items/07.png,0.0
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,0,0,0,0,0,0,0,9,0,0.0,../../../../assets/TFT_set_data/set3/items/09.png,0.0
Deathblade,0,0,0,0,0,0,0,0,11,0,0.0,../../../../assets/TFT_set_data/set3/items/11.png,0.0
Giant Slayer,0,0,0,1,0,0,0,0,12,1,2.63,../../../../assets/TFT_set_data/set3/items/12.png,4.0
Hextech Gunblade,0,0,0,0,0,0,0,0,13,0,0.0,../../../../assets/TFT_set_data/set3/items/13.png,0.0
Spear of Shojin,0,0,0,0,0,0,0,0,14,0,0.0,../../../../assets/TFT_set_data/set3/items/14.png,0.0
Guardian Angel,0,0,0,0,0,0,0,0,15,0,0.0,../../../../assets/TFT_set_data/set3/items/15.png,0.0
Bloodthirster,0,0,0,0,0,0,0,0,16,0,0.0,../../../../assets/TFT_set_data/set3/items/16.png,0.0
Zeke's Herald,0,0,2,0,0,0,0,1,17,3,7.89,../../../../assets/TFT_set_data/set3/items/17.png,4.67
Blade of the Ruined King,0,0,0,0,0,0,0,0,18,0,0.0,../../../../assets/TFT_set_data/set3/items/18.png,0.0
Infinity Edge,0,0,0,0,0,0,0,0,19,0,0.0,../../../../assets/TFT_set_data/set3/items/19.png,0.0
Rapid Firecannon,0,0,0,0,0,0,0,0,22,0,0.0,../../../../assets/TFT_set_data/set3/items/22.png,0.0
Guinsoo's Rageblade,0,0,0,0,0,0,0,0,23,0,0.0,../../../../assets/TFT_set_data/set3/items/23.png,0.0
Statikk Shiv,1,0,0,0,0,0,0,0,24,1,2.63,../../../../assets/TFT_set_data/set3/items/24.png,1.0
Titan's Resolve,0,0,0,0,0,0,0,0,25,0,0.0,../../../../assets/TFT_set_data/set3/items/25.png,0.0
Runaan's Hurricane,0,0,0,0,0,0,0,0,26,0,0.0,../../../../assets/TFT_set_data/set3/items/26.png,0.0
Zz'Rot Portal,0,0,0,0,0,0,0,0,27,0,0.0,../../../../assets/TFT_set_data/set3/items/27.png,0.0
Infiltrator's Talons,0,0,0,0,0,0,0,0,28,0,0.0,../../../../assets/TFT_set_data/set3/items/28.png,0.0
Last Whisper,0,0,0,0,0,0,0,0,29,0,0.0,../../../../assets/TFT_set_data/set3/items/29.png,0.0
Rabadon's Deathcap,0,0,0,0,0,0,0,0,33,0,0.0,../../../../assets/TFT_set_data/set3/items/33.png,0.0
Luden's Echo,0,0,0,0,0,0,0,0,34,0,0.0,../../../../assets/TFT_set_data/set3/items/34.png,0.0
Locket of the Iron Solari,0,0,0,0,0,0,0,0,35,0,0.0,../../../../assets/TFT_set_data/set3/items/35.png,0.0
Ionic Spark,0,0,0,0,0,0,0,0,36,0,0.0,../../../../assets/TFT_set_data/set3/items/36.png,0.0
Morellonomicon,0,0,0,0,0,0,0,0,37,0,0.0,../../../../assets/TFT_set_data/set3/items/37.png,0.0
Demolitionist's Charge,0,0,0,0,0,0,0,0,38,0,0.0,../../../../assets/TFT_set_data/set3/items/38.png,0.0
Jeweled Gauntlet,0,0,0,0,0,0,0,0,39,0,0.0,../../../../assets/TFT_set_data/set3/items/39.png,0.0
Seraph's Embrace,0,1,0,0,0,0,1,0,44,2,5.26,../../../../assets/TFT_set_data/set3/items/44.png,4.5
Frozen Heart,0,0,0,0,0,0,0,0,45,0,0.0,../../../../assets/TFT_set_data/set3/items/45.png,0.0
Chalice of Favor,1,2,1,0,1,0,1,4,46,10,26.32,../../../../assets/TFT_set_data/set3/items/46.png,5.2
Redemption,0,0,0,0,0,0,0,0,47,0,0.0,../../../../assets/TFT_set_data/set3/items/47.png,0.0
Star Guardian's Charm,0,0,0,0,0,0,0,0,48,0,0.0,../../../../assets/TFT_set_data/set3/items/48.png,0.0
Hand Of Justice,0,0,0,0,0,0,0,0,49,0,0.0,../../../../assets/TFT_set_data/set3/items/49.png,0.0
Bramble Vest,0,0,0,0,0,0,0,0,55,0,0.0,../../../../assets/TFT_set_data/set3/items/55.png,0.0
Sword Breaker,0,0,0,0,0,0,0,0,56,0,0.0,../../../../assets/TFT_set_data/set3/items/56.png,0.0
Red Buff,0,0,0,0,0,0,0,0,57,0,0.0,../../../../assets/TFT_set_data/set3/items/57.png,0.0
Rebel Medal,0,0,0,0,0,0,0,0,58,0,0.0,../../../../assets/TFT_set_data/set3/items/58.png,0.0
Shroud of Stillness,0,0,1,0,0,0,0,0,59,1,2.63,../../../../assets/TFT_set_data/set3/items/59.png,3.0
Dragon's Claw,0,0,0,0,0,1,0,0,66,1,2.63,../../../../assets/TFT_set_data/set3/items/66.png,6.0
Zephyr,3,2,0,1,2,0,0,1,67,9,23.68,../../../../assets/TFT_set_data/set3/items/67.png,3.22
