item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,2,0,1,2,1,0,0,0,1,6,1.62,../../../assets/TFT_set_data/set3/items/01.png,3.0
Recurve Bow,2,2,3,5,3,0,1,3,2,19,5.14,../../../assets/TFT_set_data/set3/items/02.png,4.26
Needlessly Large Rod,0,1,0,0,0,0,0,1,3,2,0.54,../../../assets/TFT_set_data/set3/items/03.png,5.0
Tear of the Goddess,0,2,0,0,2,1,1,1,4,7,1.89,../../../assets/TFT_set_data/set3/items/04.png,5.0
Chain Vest,0,0,0,1,0,0,0,0,5,1,0.27,../../../assets/TFT_set_data/set3/items/05.png,4.0
Negatron Cloak,0,0,0,0,0,0,0,1,6,1,0.27,../../../assets/TFT_set_data/set3/items/06.png,8.0
Giant's Belt,0,0,0,0,0,1,1,0,7,2,0.54,../../../assets/TFT_set_data/set3/items/07.png,6.5
Spatula,0,0,0,1,0,0,0,0,8,1,0.27,../../../assets/TFT_set_data/set3/items/08.png,4.0
Sparring Gloves,0,0,0,0,0,1,0,1,9,2,0.54,../../../assets/TFT_set_data/set3/items/09.png,7.0
Deathblade,2,0,0,1,1,2,0,1,11,7,1.89,../../../assets/TFT_set_data/set3/items/11.png,4.43
Giant Slayer,2,4,5,4,2,1,2,3,12,23,6.22,../../../assets/TFT_set_data/set3/items/12.png,4.13
Hextech Gunblade,0,0,0,1,2,1,0,0,13,4,1.08,../../../assets/TFT_set_data/set3/items/13.png,5.0
Spear of Shojin,2,2,3,7,5,11,3,4,14,37,10.0,../../../assets/TFT_set_data/set3/items/14.png,5.05
Guardian Angel,1,2,0,0,0,2,0,0,15,5,1.35,../../../assets/TFT_set_data/set3/items/15.png,3.4
Bloodthirster,1,1,0,2,1,0,0,0,16,5,1.35,../../../assets/TFT_set_data/set3/items/16.png,3.2
Zeke's Herald,2,0,1,1,0,0,1,1,17,6,1.62,../../../assets/TFT_set_data/set3/items/17.png,4.0
Blade of the Ruined King,0,1,0,1,2,0,0,0,18,4,1.08,../../../assets/TFT_set_data/set3/items/18.png,4.0
Infinity Edge,1,1,1,1,5,3,1,0,19,13,3.51,../../../assets/TFT_set_data/set3/items/19.png,4.62
Rapid Firecannon,0,0,0,0,0,0,0,1,22,1,0.27,../../../assets/TFT_set_data/set3/items/22.png,8.0
Guinsoo's Rageblade,1,4,0,4,4,8,1,3,23,25,6.76,../../../assets/TFT_set_data/set3/items/23.png,4.96
Statikk Shiv,2,0,1,2,3,5,3,1,24,17,4.59,../../../assets/TFT_set_data/set3/items/24.png,5.12
Titan's Resolve,0,0,0,0,0,0,0,0,25,0,0.0,../../../assets/TFT_set_data/set3/items/25.png,0.0
Runaan's Hurricane,3,1,3,2,1,3,2,3,26,18,4.86,../../../assets/TFT_set_data/set3/items/26.png,4.61
Zz'Rot Portal,0,0,1,0,0,0,0,1,27,2,0.54,../../../assets/TFT_set_data/set3/items/27.png,5.5
Infiltrator's Talons,0,0,0,1,0,0,0,0,28,1,0.27,../../../assets/TFT_set_data/set3/items/28.png,4.0
Last Whisper,6,1,1,4,2,2,1,0,29,17,4.59,../../../assets/TFT_set_data/set3/items/29.png,3.29
Rabadon's Deathcap,1,0,1,0,0,1,0,0,33,3,0.81,../../../assets/TFT_set_data/set3/items/33.png,3.33
Luden's Echo,1,1,1,0,1,1,0,0,34,5,1.35,../../../assets/TFT_set_data/set3/items/34.png,3.4
Locket of the Iron Solari,1,0,0,0,0,0,0,1,35,2,0.54,../../../assets/TFT_set_data/set3/items/35.png,4.5
Ionic Spark,0,0,0,0,0,0,0,0,36,0,0.0,../../../assets/TFT_set_data/set3/items/36.png,0.0
Morellonomicon,0,1,1,1,2,0,0,1,37,6,1.62,../../../assets/TFT_set_data/set3/items/37.png,4.5
Demolitionist's Charge,0,0,0,0,0,0,0,0,38,0,0.0,../../../assets/TFT_set_data/set3/items/38.png,0.0
Jeweled Gauntlet,0,1,1,1,0,0,0,0,39,3,0.81,../../../assets/TFT_set_data/set3/items/39.png,3.0
Seraph's Embrace,1,1,0,0,1,0,1,1,44,5,1.35,../../../assets/TFT_set_data/set3/items/44.png,4.6
Frozen Heart,0,0,0,0,0,0,0,0,45,0,0.0,../../../assets/TFT_set_data/set3/items/45.png,0.0
Chalice of Favor,1,0,0,0,0,0,0,0,46,1,0.27,../../../assets/TFT_set_data/set3/items/46.png,1.0
Redemption,1,0,0,0,0,0,0,0,47,1,0.27,../../../assets/TFT_set_data/set3/items/47.png,1.0
Star Guardian's Charm,0,0,1,0,0,0,0,0,48,1,0.27,../../../assets/TFT_set_data/set3/items/48.png,3.0
Hand Of Justice,1,2,2,0,2,0,2,1,49,10,2.7,../../../assets/TFT_set_data/set3/items/49.png,4.3
Bramble Vest,1,0,0,0,0,0,0,0,55,1,0.27,../../../assets/TFT_set_data/set3/items/55.png,1.0
Sword Breaker,2,1,4,3,0,0,2,0,56,12,3.24,../../../assets/TFT_set_data/set3/items/56.png,3.5
Red Buff,1,3,1,2,2,2,1,1,57,13,3.51,../../../assets/TFT_set_data/set3/items/57.png,4.23
Rebel Medal,0,0,0,0,0,0,0,0,58,0,0.0,../../../assets/TFT_set_data/set3/items/58.png,0.0
Shroud of Stillness,1,0,0,1,0,0,0,0,59,2,0.54,../../../assets/TFT_set_data/set3/items/59.png,2.5
Dragon's Claw,0,0,0,0,0,1,0,0,66,1,0.27,../../../assets/TFT_set_data/set3/items/66.png,6.0
Zephyr,2,4,1,3,3,3,4,3,67,23,6.22,../../../assets/TFT_set_data/set3/items/67.png,4.78
Celestial Orb,0,0,0,0,0,0,0,0,68,0,0.0,../../../assets/TFT_set_data/set3/items/68.png,0.0
Quicksilver,1,1,3,1,2,1,4,0,69,13,3.51,../../../assets/TFT_set_data/set3/items/69.png,4.62
Warmog's Armor,0,0,0,0,0,1,1,0,77,2,0.54,../../../assets/TFT_set_data/set3/items/77.png,6.5
Protector's Chestguard,1,0,0,0,0,0,0,0,78,1,0.27,../../../assets/TFT_set_data/set3/items/78.png,1.0
Trap Claw,0,0,2,1,2,3,0,1,79,9,2.43,../../../assets/TFT_set_data/set3/items/79.png,5.11
Force of Nature,0,2,1,1,1,0,0,0,88,5,1.35,../../../assets/TFT_set_data/set3/items/88.png,3.2
Dark Star's Heart,3,0,2,1,4,1,2,0,89,13,3.51,../../../assets/TFT_set_data/set3/items/89.png,4.08
Thief's Gloves,1,0,1,4,0,2,2,2,99,12,3.24,../../../assets/TFT_set_data/set3/items/99.png,5.17
