item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,0,0,0,0,1,0,0.0,../../../assets/TFT_set_data/set3/items/01.png,0.0
Recurve Bow,0,0,0,0,0,0,0,0,2,0,0.0,../../../assets/TFT_set_data/set3/items/02.png,0.0
Needlessly Large Rod,1,1,0,1,0,0,2,0,3,5,2.79,../../../assets/TFT_set_data/set3/items/03.png,4.2
Tear of the Goddess,0,1,0,0,0,0,0,1,4,2,1.12,../../../assets/TFT_set_data/set3/items/04.png,5.0
Chain Vest,0,1,1,0,1,0,0,0,5,3,1.68,../../../assets/TFT_set_data/set3/items/05.png,3.33
Negatron Cloak,1,1,0,0,0,0,0,0,6,2,1.12,../../../assets/TFT_set_data/set3/items/06.png,1.5
Giant's Belt,0,0,1,0,0,0,0,1,7,2,1.12,../../../assets/TFT_set_data/set3/items/07.png,5.5
Spatula,1,0,0,0,0,0,0,0,8,1,0.56,../../../assets/TFT_set_data/set3/items/08.png,1.0
Sparring Gloves,0,0,0,0,0,0,0,0,9,0,0.0,../../../assets/TFT_set_data/set3/items/09.png,0.0
Deathblade,0,0,0,0,0,0,0,0,11,0,0.0,../../../assets/TFT_set_data/set3/items/11.png,0.0
Giant Slayer,0,0,0,0,0,0,0,0,12,0,0.0,../../../assets/TFT_set_data/set3/items/12.png,0.0
Hextech Gunblade,2,0,1,0,0,0,1,0,13,4,2.23,../../../assets/TFT_set_data/set3/items/13.png,3.0
Spear of Shojin,0,0,0,0,1,0,0,0,14,1,0.56,../../../assets/TFT_set_data/set3/items/14.png,5.0
Guardian Angel,0,0,3,0,1,0,0,0,15,4,2.23,../../../assets/TFT_set_data/set3/items/15.png,3.5
Bloodthirster,0,0,0,0,0,0,0,0,16,0,0.0,../../../assets/TFT_set_data/set3/items/16.png,0.0
Zeke's Herald,0,0,0,0,0,0,0,0,17,0,0.0,../../../assets/TFT_set_data/set3/items/17.png,0.0
Blade of the Ruined King,0,0,0,0,0,0,0,0,18,0,0.0,../../../assets/TFT_set_data/set3/items/18.png,0.0
Infinity Edge,0,0,0,0,0,0,0,0,19,0,0.0,../../../assets/TFT_set_data/set3/items/19.png,0.0
Rapid Firecannon,0,0,0,0,0,0,0,0,22,0,0.0,../../../assets/TFT_set_data/set3/items/22.png,0.0
Guinsoo's Rageblade,1,0,0,0,0,0,0,0,23,1,0.56,../../../assets/TFT_set_data/set3/items/23.png,1.0
Statikk Shiv,0,0,0,0,0,0,0,0,24,0,0.0,../../../assets/TFT_set_data/set3/items/24.png,0.0
Titan's Resolve,0,0,0,0,0,0,0,0,25,0,0.0,../../../assets/TFT_set_data/set3/items/25.png,0.0
Runaan's Hurricane,1,0,0,0,0,0,0,0,26,1,0.56,../../../assets/TFT_set_data/set3/items/26.png,1.0
Zz'Rot Portal,1,0,0,0,0,0,0,0,27,1,0.56,../../../assets/TFT_set_data/set3/items/27.png,1.0
Infiltrator's Talons,0,0,0,0,0,0,0,0,28,0,0.0,../../../assets/TFT_set_data/set3/items/28.png,0.0
Last Whisper,0,0,0,0,0,0,0,0,29,0,0.0,../../../assets/TFT_set_data/set3/items/29.png,0.0
Rabadon's Deathcap,1,0,1,1,0,0,2,2,33,7,3.91,../../../assets/TFT_set_data/set3/items/33.png,5.43
Luden's Echo,2,2,1,0,1,0,0,0,34,6,3.35,../../../assets/TFT_set_data/set3/items/34.png,2.33
Locket of the Iron Solari,4,0,1,2,1,0,0,0,35,8,4.47,../../../assets/TFT_set_data/set3/items/35.png,2.5
Ionic Spark,1,1,1,1,0,0,0,0,36,4,2.23,../../../assets/TFT_set_data/set3/items/36.png,2.5
Morellonomicon,3,2,3,3,2,1,2,0,37,16,8.94,../../../assets/TFT_set_data/set3/items/37.png,3.62
Demolitionist's Charge,14,5,9,5,5,3,5,2,38,48,26.82,../../../assets/TFT_set_data/set3/items/38.png,3.44
Jeweled Gauntlet,2,2,1,1,0,0,2,0,39,8,4.47,../../../assets/TFT_set_data/set3/items/39.png,3.38
Seraph's Embrace,2,0,3,3,1,2,2,0,44,13,7.26,../../../assets/TFT_set_data/set3/items/44.png,4.15
Frozen Heart,1,0,1,0,0,0,0,1,45,3,1.68,../../../assets/TFT_set_data/set3/items/45.png,4.0
Chalice of Favor,2,4,0,0,0,0,1,0,46,7,3.91,../../../assets/TFT_set_data/set3/items/46.png,2.43
Redemption,0,0,0,1,1,0,1,0,47,3,1.68,../../../assets/TFT_set_data/set3/items/47.png,5.33
Star Guardian's Charm,0,0,0,0,0,0,0,0,48,0,0.0,../../../assets/TFT_set_data/set3/items/48.png,0.0
Hand Of Justice,1,0,0,0,1,0,1,1,49,4,2.23,../../../assets/TFT_set_data/set3/items/49.png,5.25
Bramble Vest,1,0,0,0,0,0,1,0,55,2,1.12,../../../assets/TFT_set_data/set3/items/55.png,4.0
Sword Breaker,0,0,0,0,0,0,0,0,56,0,0.0,../../../assets/TFT_set_data/set3/items/56.png,0.0
Red Buff,0,0,0,0,0,0,0,0,57,0,0.0,../../../assets/TFT_set_data/set3/items/57.png,0.0
Rebel Medal,0,0,0,0,0,0,0,0,58,0,0.0,../../../assets/TFT_set_data/set3/items/58.png,0.0
Shroud of Stillness,0,0,1,0,0,0,0,1,59,2,1.12,../../../assets/TFT_set_data/set3/items/59.png,5.5
Dragon's Claw,0,2,0,1,1,0,0,2,66,6,3.35,../../../assets/TFT_set_data/set3/items/66.png,4.83
Zephyr,0,2,1,0,1,0,0,0,67,4,2.23,../../../assets/TFT_set_data/set3/items/67.png,3.0
Celestial Orb,1,0,1,0,0,0,0,0,68,2,1.12,../../../assets/TFT_set_data/set3/items/68.png,2.0
Quicksilver,0,0,0,0,0,0,0,0,69,0,0.0,../../../assets/TFT_set_data/set3/items/69.png,0.0
