item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,1,1,1,1,1,4,0.39,../../../assets/TFT_set_data/set3/items/01.png,6.5
Recurve Bow,2,0,0,3,0,1,0,0,2,6,0.58,../../../assets/TFT_set_data/set3/items/02.png,3.33
Needlessly Large Rod,2,2,1,1,1,3,1,0,3,11,1.06,../../../assets/TFT_set_data/set3/items/03.png,3.91
Tear of the Goddess,2,1,2,2,3,2,4,1,4,17,1.64,../../../assets/TFT_set_data/set3/items/04.png,4.76
Chain Vest,2,4,3,3,0,3,3,3,5,21,2.03,../../../assets/TFT_set_data/set3/items/05.png,4.48
Negatron Cloak,4,2,0,1,5,8,4,0,6,24,2.32,../../../assets/TFT_set_data/set3/items/06.png,4.71
Giant's Belt,3,2,0,1,0,1,2,0,7,9,0.87,../../../assets/TFT_set_data/set3/items/07.png,3.44
Spatula,0,0,0,0,0,1,0,0,8,1,0.1,../../../assets/TFT_set_data/set3/items/08.png,6.0
Sparring Gloves,1,1,1,0,0,0,0,1,9,4,0.39,../../../assets/TFT_set_data/set3/items/09.png,3.5
Deathblade,0,0,0,1,0,0,0,1,11,2,0.19,../../../assets/TFT_set_data/set3/items/11.png,6.0
Giant Slayer,0,0,0,0,0,0,0,1,12,1,0.1,../../../assets/TFT_set_data/set3/items/12.png,8.0
Hextech Gunblade,5,2,2,3,1,1,2,1,13,17,1.64,../../../assets/TFT_set_data/set3/items/13.png,3.53
Spear of Shojin,2,2,1,1,3,3,0,1,14,13,1.26,../../../assets/TFT_set_data/set3/items/14.png,4.15
Guardian Angel,11,15,11,12,8,8,3,5,15,73,7.06,../../../assets/TFT_set_data/set3/items/15.png,3.71
Bloodthirster,0,0,3,0,1,0,0,1,16,5,0.48,../../../assets/TFT_set_data/set3/items/16.png,4.4
Zeke's Herald,2,0,0,1,0,0,1,1,17,5,0.48,../../../assets/TFT_set_data/set3/items/17.png,4.2
Blade of the Ruined King,0,0,0,1,0,0,0,0,18,1,0.1,../../../assets/TFT_set_data/set3/items/18.png,4.0
Infinity Edge,0,0,0,2,1,4,2,0,19,9,0.87,../../../assets/TFT_set_data/set3/items/19.png,5.67
Rapid Firecannon,2,1,1,0,1,2,1,1,22,9,0.87,../../../assets/TFT_set_data/set3/items/22.png,4.33
Guinsoo's Rageblade,2,1,0,2,1,1,0,1,23,8,0.77,../../../assets/TFT_set_data/set3/items/23.png,3.88
Statikk Shiv,2,3,0,0,2,0,1,1,24,9,0.87,../../../assets/TFT_set_data/set3/items/24.png,3.67
Titan's Resolve,6,7,6,5,2,3,0,1,25,30,2.9,../../../assets/TFT_set_data/set3/items/25.png,3.13
Runaan's Hurricane,3,1,2,1,0,2,0,0,26,9,0.87,../../../assets/TFT_set_data/set3/items/26.png,3.0
Zz'Rot Portal,5,7,5,5,4,3,1,1,27,31,3.0,../../../assets/TFT_set_data/set3/items/27.png,3.45
Infiltrator's Talons,1,4,2,5,1,2,2,1,28,18,1.74,../../../assets/TFT_set_data/set3/items/28.png,4.11
Last Whisper,1,0,1,0,0,0,0,0,29,2,0.19,../../../assets/TFT_set_data/set3/items/29.png,2.0
Rabadon's Deathcap,3,4,2,2,4,1,3,2,33,21,2.03,../../../assets/TFT_set_data/set3/items/33.png,4.19
Luden's Echo,4,3,0,2,2,5,1,1,34,18,1.74,../../../assets/TFT_set_data/set3/items/34.png,4.06
Locket of the Iron Solari,8,10,5,3,4,3,3,1,35,37,3.58,../../../assets/TFT_set_data/set3/items/35.png,3.3
Ionic Spark,13,9,13,11,7,7,8,7,36,75,7.25,../../../assets/TFT_set_data/set3/items/36.png,4.04
Morellonomicon,5,3,7,5,2,7,1,4,37,34,3.29,../../../assets/TFT_set_data/set3/items/37.png,4.21
Demolitionist's Charge,1,1,1,0,2,0,0,1,38,6,0.58,../../../assets/TFT_set_data/set3/items/38.png,4.0
Jeweled Gauntlet,4,2,3,0,2,3,0,1,39,15,1.45,../../../assets/TFT_set_data/set3/items/39.png,3.53
Seraph's Embrace,5,2,0,3,3,1,1,4,44,19,1.84,../../../assets/TFT_set_data/set3/items/44.png,4.26
Frozen Heart,4,7,9,7,8,3,8,3,45,49,4.74,../../../assets/TFT_set_data/set3/items/45.png,4.31
Chalice of Favor,0,4,2,1,3,0,1,1,46,12,1.16,../../../assets/TFT_set_data/set3/items/46.png,4.0
Redemption,12,13,7,14,4,11,8,2,47,71,6.87,../../../assets/TFT_set_data/set3/items/47.png,3.85
Star Guardian's Charm,0,2,0,1,0,1,0,0,48,4,0.39,../../../assets/TFT_set_data/set3/items/48.png,3.5
Hand Of Justice,1,3,1,0,0,0,0,0,49,5,0.48,../../../assets/TFT_set_data/set3/items/49.png,2.0
Bramble Vest,5,9,4,4,5,4,1,5,55,37,3.58,../../../assets/TFT_set_data/set3/items/55.png,3.97
Sword Breaker,1,2,0,0,2,1,2,0,56,8,0.77,../../../assets/TFT_set_data/set3/items/56.png,4.38
Red Buff,2,1,2,2,0,4,1,0,57,12,1.16,../../../assets/TFT_set_data/set3/items/57.png,4.08
Rebel Medal,0,1,1,2,0,1,0,0,58,5,0.48,../../../assets/TFT_set_data/set3/items/58.png,3.8
Shroud of Stillness,5,7,1,7,5,5,1,2,59,33,3.19,../../../assets/TFT_set_data/set3/items/59.png,3.88
Dragon's Claw,13,7,8,5,4,6,2,3,66,48,4.64,../../../assets/TFT_set_data/set3/items/66.png,3.44
Zephyr,9,7,4,6,4,3,5,4,67,42,4.06,../../../assets/TFT_set_data/set3/items/67.png,3.9
Celestial Orb,2,5,2,2,2,1,0,0,68,14,1.35,../../../assets/TFT_set_data/set3/items/68.png,3.0
Quicksilver,3,4,2,5,1,0,1,1,69,17,1.64,../../../assets/TFT_set_data/set3/items/69.png,3.35
