item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,0,0,0,0,1,0,0.0,../../../assets/TFT_set_data/set3/items/01.png,0.0
Recurve Bow,0,0,0,0,0,0,0,1,2,1,0.56,../../../assets/TFT_set_data/set3/items/02.png,8.0
Needlessly Large Rod,0,0,0,0,0,1,0,0,3,1,0.56,../../../assets/TFT_set_data/set3/items/03.png,6.0
Tear of the Goddess,0,0,0,0,0,0,1,1,4,2,1.13,../../../assets/TFT_set_data/set3/items/04.png,7.5
Chain Vest,0,0,0,0,0,0,0,0,5,0,0.0,../../../assets/TFT_set_data/set3/items/05.png,0.0
Negatron Cloak,0,0,0,0,1,0,0,0,6,1,0.56,../../../assets/TFT_set_data/set3/items/06.png,5.0
Giant's Belt,0,0,0,0,0,1,0,0,7,1,0.56,../../../assets/TFT_set_data/set3/items/07.png,6.0
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,0,0,0,0,0,0,0,9,0,0.0,../../../assets/TFT_set_data/set3/items/09.png,0.0
Deathblade,0,0,0,0,0,1,0,0,11,1,0.56,../../../assets/TFT_set_data/set3/items/11.png,6.0
Giant Slayer,0,0,0,0,0,0,0,0,12,0,0.0,../../../assets/TFT_set_data/set3/items/12.png,0.0
Hextech Gunblade,0,1,0,0,1,0,0,0,13,2,1.13,../../../assets/TFT_set_data/set3/items/13.png,3.5
Spear of Shojin,0,0,0,0,0,0,0,0,14,0,0.0,../../../assets/TFT_set_data/set3/items/14.png,0.0
Guardian Angel,3,0,2,2,3,5,5,6,15,26,14.69,../../../assets/TFT_set_data/set3/items/15.png,5.58
Bloodthirster,0,0,1,0,0,0,0,0,16,1,0.56,../../../assets/TFT_set_data/set3/items/16.png,3.0
Zeke's Herald,0,0,0,0,0,0,0,0,17,0,0.0,../../../assets/TFT_set_data/set3/items/17.png,0.0
Blade of the Ruined King,0,0,0,0,0,0,0,0,18,0,0.0,../../../assets/TFT_set_data/set3/items/18.png,0.0
Infinity Edge,0,0,0,1,1,3,2,1,19,8,4.52,../../../assets/TFT_set_data/set3/items/19.png,6.12
Rapid Firecannon,0,1,0,0,0,0,1,0,22,2,1.13,../../../assets/TFT_set_data/set3/items/22.png,4.5
Guinsoo's Rageblade,0,1,0,0,0,0,0,0,23,1,0.56,../../../assets/TFT_set_data/set3/items/23.png,2.0
Statikk Shiv,0,0,0,0,0,0,0,0,24,0,0.0,../../../assets/TFT_set_data/set3/items/24.png,0.0
Titan's Resolve,0,0,0,0,0,0,1,0,25,1,0.56,../../../assets/TFT_set_data/set3/items/25.png,7.0
Runaan's Hurricane,0,0,0,0,0,0,0,0,26,0,0.0,../../../assets/TFT_set_data/set3/items/26.png,0.0
