item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,2,0,1,0,0,1,0,1,4,1.67,../../../assets/TFT_set_data/set3/items/01.png,3.75
Recurve Bow,0,1,2,1,0,0,2,1,2,7,2.93,../../../assets/TFT_set_data/set3/items/02.png,4.86
Needlessly Large Rod,0,0,0,0,0,1,1,1,3,3,1.26,../../../assets/TFT_set_data/set3/items/03.png,7.0
Tear of the Goddess,0,0,0,1,0,0,0,2,4,3,1.26,../../../assets/TFT_set_data/set3/items/04.png,6.67
Chain Vest,0,0,0,0,0,0,0,0,5,0,0.0,../../../assets/TFT_set_data/set3/items/05.png,0.0
Negatron Cloak,0,0,0,0,0,0,0,0,6,0,0.0,../../../assets/TFT_set_data/set3/items/06.png,0.0
Giant's Belt,0,0,0,0,0,0,0,0,7,0,0.0,../../../assets/TFT_set_data/set3/items/07.png,0.0
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,1,1,1,0,0,0,0,9,3,1.26,../../../assets/TFT_set_data/set3/items/09.png,3.0
Deathblade,1,1,1,0,0,1,0,0,11,4,1.67,../../../assets/TFT_set_data/set3/items/11.png,3.0
Giant Slayer,0,2,1,5,3,4,1,1,12,17,7.11,../../../assets/TFT_set_data/set3/items/12.png,4.76
Hextech Gunblade,0,0,0,1,0,0,0,0,13,1,0.42,../../../assets/TFT_set_data/set3/items/13.png,4.0
Spear of Shojin,0,3,1,1,1,0,2,1,14,9,3.77,../../../assets/TFT_set_data/set3/items/14.png,4.44
Guardian Angel,0,0,0,0,0,0,0,0,15,0,0.0,../../../assets/TFT_set_data/set3/items/15.png,0.0
Bloodthirster,0,0,0,0,0,0,2,0,16,2,0.84,../../../assets/TFT_set_data/set3/items/16.png,7.0
Zeke's Herald,1,1,4,1,1,1,0,0,17,9,3.77,../../../assets/TFT_set_data/set3/items/17.png,3.33
Blade of the Ruined King,0,0,0,0,0,2,0,1,18,3,1.26,../../../assets/TFT_set_data/set3/items/18.png,6.67
Infinity Edge,0,0,0,1,1,1,0,0,19,3,1.26,../../../assets/TFT_set_data/set3/items/19.png,5.0
