item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,1,0,0,0,0,0,1,1,2,0.66,../../../assets/TFT_set_data/set3/items/01.png,5.0
Recurve Bow,1,1,1,3,1,0,1,1,2,9,2.96,../../../assets/TFT_set_data/set3/items/02.png,4.22
Needlessly Large Rod,0,1,1,0,1,1,2,0,3,6,1.97,../../../assets/TFT_set_data/set3/items/03.png,5.0
Tear of the Goddess,0,3,0,2,3,1,2,4,4,15,4.93,../../../assets/TFT_set_data/set3/items/04.png,5.4
Chain Vest,0,0,0,0,0,2,0,0,5,2,0.66,../../../assets/TFT_set_data/set3/items/05.png,6.0
Negatron Cloak,2,1,2,1,2,1,1,0,6,10,3.29,../../../assets/TFT_set_data/set3/items/06.png,3.7
Giant's Belt,0,1,0,1,0,1,2,1,7,6,1.97,../../../assets/TFT_set_data/set3/items/07.png,5.67
Spatula,0,0,1,0,0,0,1,1,8,3,0.99,../../../assets/TFT_set_data/set3/items/08.png,6.0
Sparring Gloves,0,1,0,1,0,0,0,0,9,2,0.66,../../../assets/TFT_set_data/set3/items/09.png,3.0
Deathblade,0,0,0,0,0,0,0,0,11,0,0.0,../../../assets/TFT_set_data/set3/items/11.png,0.0
Giant Slayer,0,3,1,1,0,0,0,0,12,5,1.64,../../../assets/TFT_set_data/set3/items/12.png,2.6
Hextech Gunblade,0,2,0,0,2,0,1,0,13,5,1.64,../../../assets/TFT_set_data/set3/items/13.png,4.2
Spear of Shojin,0,1,0,0,1,0,1,0,14,3,0.99,../../../assets/TFT_set_data/set3/items/14.png,4.67
Guardian Angel,1,1,0,1,2,0,0,0,15,5,1.64,../../../assets/TFT_set_data/set3/items/15.png,3.4
Bloodthirster,2,2,1,0,1,0,0,1,16,7,2.3,../../../assets/TFT_set_data/set3/items/16.png,3.14
Zeke's Herald,2,1,2,1,1,0,0,0,17,7,2.3,../../../assets/TFT_set_data/set3/items/17.png,2.71
Blade of the Ruined King,0,0,0,0,0,0,0,0,18,0,0.0,../../../assets/TFT_set_data/set3/items/18.png,0.0
Infinity Edge,1,0,0,2,0,1,0,0,19,4,1.32,../../../assets/TFT_set_data/set3/items/19.png,3.75
Rapid Firecannon,1,3,1,0,2,2,0,0,22,9,2.96,../../../assets/TFT_set_data/set3/items/22.png,3.56
Guinsoo's Rageblade,1,2,0,1,3,1,1,0,23,9,2.96,../../../assets/TFT_set_data/set3/items/23.png,4.11
Statikk Shiv,0,1,1,1,1,2,0,0,24,6,1.97,../../../assets/TFT_set_data/set3/items/24.png,4.33
Titan's Resolve,2,0,0,0,0,0,0,0,25,2,0.66,../../../assets/TFT_set_data/set3/items/25.png,1.0
Runaan's Hurricane,0,0,0,1,1,1,0,1,26,4,1.32,../../../assets/TFT_set_data/set3/items/26.png,5.75
Zz'Rot Portal,2,0,3,2,6,1,1,0,27,15,4.93,../../../assets/TFT_set_data/set3/items/27.png,4.13
Infiltrator's Talons,1,1,0,1,0,1,0,0,28,4,1.32,../../../assets/TFT_set_data/set3/items/28.png,3.25
Last Whisper,0,2,1,0,1,0,1,0,29,5,1.64,../../../assets/TFT_set_data/set3/items/29.png,3.8
Rabadon's Deathcap,0,1,0,0,0,0,0,0,33,1,0.33,../../../assets/TFT_set_data/set3/items/33.png,2.0
Luden's Echo,0,0,2,0,0,0,0,0,34,2,0.66,../../../assets/TFT_set_data/set3/items/34.png,3.0
Locket of the Iron Solari,1,1,0,0,1,0,1,0,35,4,1.32,../../../assets/TFT_set_data/set3/items/35.png,3.75
Ionic Spark,3,0,0,1,1,2,1,0,36,8,2.63,../../../assets/TFT_set_data/set3/items/36.png,3.88
Morellonomicon,0,0,0,0,0,0,0,0,37,0,0.0,../../../assets/TFT_set_data/set3/items/37.png,0.0
Demolitionist's Charge,0,0,0,1,0,0,0,0,38,1,0.33,../../../assets/TFT_set_data/set3/items/38.png,4.0
Jeweled Gauntlet,0,2,1,1,0,0,0,0,39,4,1.32,../../../assets/TFT_set_data/set3/items/39.png,2.75
Seraph's Embrace,0,0,0,0,0,0,0,0,44,0,0.0,../../../assets/TFT_set_data/set3/items/44.png,0.0
Frozen Heart,1,1,1,1,1,2,3,0,45,10,3.29,../../../assets/TFT_set_data/set3/items/45.png,4.8
Chalice of Favor,0,0,0,0,0,0,0,0,46,0,0.0,../../../assets/TFT_set_data/set3/items/46.png,0.0
