item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,1,2,0,1,0,0,0,0,1,4,0.3,../../../assets/TFT_set_data/set3/items/01.png,2.25
Recurve Bow,0,0,0,0,0,1,0,0,2,1,0.07,../../../assets/TFT_set_data/set3/items/02.png,6.0
Needlessly Large Rod,0,0,1,1,1,3,4,2,3,12,0.89,../../../assets/TFT_set_data/set3/items/03.png,6.17
Tear of the Goddess,0,0,2,1,2,1,1,1,4,8,0.6,../../../assets/TFT_set_data/set3/items/04.png,5.12
Chain Vest,1,1,1,1,1,2,0,1,5,8,0.6,../../../assets/TFT_set_data/set3/items/05.png,4.38
Negatron Cloak,0,1,0,0,0,1,1,0,6,3,0.22,../../../assets/TFT_set_data/set3/items/06.png,5.0
Giant's Belt,0,0,0,1,5,0,1,2,7,9,0.67,../../../assets/TFT_set_data/set3/items/07.png,5.78
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,0,0,0,0,0,0,0,9,0,0.0,../../../assets/TFT_set_data/set3/items/09.png,0.0
Deathblade,0,1,0,0,0,2,0,0,11,3,0.22,../../../assets/TFT_set_data/set3/items/11.png,4.67
Giant Slayer,0,0,1,0,1,0,0,0,12,2,0.15,../../../assets/TFT_set_data/set3/items/12.png,4.0
Hextech Gunblade,3,4,1,3,3,2,1,0,13,17,1.27,../../../assets/TFT_set_data/set3/items/13.png,3.53
Spear of Shojin,2,4,1,2,1,3,0,2,14,15,1.12,../../../assets/TFT_set_data/set3/items/14.png,4.0
Guardian Angel,52,54,45,42,45,36,40,23,15,337,25.13,../../../assets/TFT_set_data/set3/items/15.png,4.06
Bloodthirster,0,1,0,0,0,0,1,0,16,2,0.15,../../../assets/TFT_set_data/set3/items/16.png,4.5
Zeke's Herald,1,0,1,1,0,2,0,0,17,5,0.37,../../../assets/TFT_set_data/set3/items/17.png,4.0
Blade of the Ruined King,0,1,0,0,0,0,0,0,18,1,0.07,../../../assets/TFT_set_data/set3/items/18.png,2.0
Infinity Edge,2,0,0,0,0,4,0,0,19,6,0.45,../../../assets/TFT_set_data/set3/items/19.png,4.33
Rapid Firecannon,0,1,0,0,1,2,0,0,22,4,0.3,../../../assets/TFT_set_data/set3/items/22.png,4.75
Guinsoo's Rageblade,1,2,3,1,0,3,0,0,23,10,0.75,../../../assets/TFT_set_data/set3/items/23.png,3.6
Statikk Shiv,3,2,1,0,1,0,1,1,24,9,0.67,../../../assets/TFT_set_data/set3/items/24.png,3.33
Titan's Resolve,1,7,4,2,7,0,2,4,25,27,2.01,../../../assets/TFT_set_data/set3/items/25.png,4.3
Runaan's Hurricane,1,1,0,0,0,0,0,0,26,2,0.15,../../../assets/TFT_set_data/set3/items/26.png,1.5
Zz'Rot Portal,0,0,0,1,0,0,0,0,27,1,0.07,../../../assets/TFT_set_data/set3/items/27.png,4.0
Infiltrator's Talons,0,1,0,0,0,1,0,0,28,2,0.15,../../../assets/TFT_set_data/set3/items/28.png,4.0
Last Whisper,0,0,0,1,0,0,0,0,29,1,0.07,../../../assets/TFT_set_data/set3/items/29.png,4.0
Rabadon's Deathcap,8,10,12,14,19,13,19,9,33,104,7.76,../../../assets/TFT_set_data/set3/items/33.png,4.79
Luden's Echo,3,3,1,8,3,1,0,0,34,19,1.42,../../../assets/TFT_set_data/set3/items/34.png,3.42
Locket of the Iron Solari,2,6,4,1,1,1,1,1,35,17,1.27,../../../assets/TFT_set_data/set3/items/35.png,3.29
Ionic Spark,26,33,23,19,29,12,22,14,36,178,13.27,../../../assets/TFT_set_data/set3/items/36.png,4.04
Morellonomicon,18,15,12,15,15,11,9,4,37,99,7.38,../../../assets/TFT_set_data/set3/items/37.png,3.84
Demolitionist's Charge,0,0,0,0,0,0,0,0,38,0,0.0,../../../assets/TFT_set_data/set3/items/38.png,0.0
