item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,0,0,0,0,1,0,0.0,../../../assets/TFT_set_data/set3/items/01.png,0.0
Recurve Bow,0,0,0,0,0,0,1,1,2,2,2.25,../../../assets/TFT_set_data/set3/items/02.png,7.5
Needlessly Large Rod,0,0,0,0,1,0,0,0,3,1,1.12,../../../assets/TFT_set_data/set3/items/03.png,5.0
Tear of the Goddess,2,2,0,0,0,0,0,0,4,4,4.49,../../../assets/TFT_set_data/set3/items/04.png,1.5
Chain Vest,0,1,0,0,0,0,0,0,5,1,1.12,../../../assets/TFT_set_data/set3/items/05.png,2.0
Negatron Cloak,0,0,0,0,1,0,0,1,6,2,2.25,../../../assets/TFT_set_data/set3/items/06.png,6.5
Giant's Belt,2,0,0,0,0,0,0,0,7,2,2.25,../../../assets/TFT_set_data/set3/items/07.png,1.0
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,0,0,0,0,0,0,0,9,0,0.0,../../../assets/TFT_set_data/set3/items/09.png,0.0
Deathblade,0,0,0,0,0,0,0,0,11,0,0.0,../../../assets/TFT_set_data/set3/items/11.png,0.0
Giant Slayer,0,1,0,0,0,0,0,0,12,1,1.12,../../../assets/TFT_set_data/set3/items/12.png,2.0
Hextech Gunblade,0,0,0,0,0,0,0,0,13,0,0.0,../../../assets/TFT_set_data/set3/items/13.png,0.0
Spear of Shojin,0,0,0,1,0,0,0,1,14,2,2.25,../../../assets/TFT_set_data/set3/items/14.png,6.0
Guardian Angel,0,1,0,0,0,1,0,0,15,2,2.25,../../../assets/TFT_set_data/set3/items/15.png,4.0
Bloodthirster,0,0,0,0,0,0,0,0,16,0,0.0,../../../assets/TFT_set_data/set3/items/16.png,0.0
Zeke's Herald,1,0,0,0,0,1,0,0,17,2,2.25,../../../assets/TFT_set_data/set3/items/17.png,3.5
