item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,2,1,4,4,2,2,2,5,1,22,1.48,../../../assets/TFT_set_data/set3/items/01.png,4.91
Recurve Bow,0,3,2,1,1,0,2,2,2,11,0.74,../../../assets/TFT_set_data/set3/items/02.png,4.64
Needlessly Large Rod,1,1,1,1,0,0,4,1,3,9,0.61,../../../assets/TFT_set_data/set3/items/03.png,5.11
Tear of the Goddess,0,2,2,0,1,1,0,0,4,6,0.4,../../../assets/TFT_set_data/set3/items/04.png,3.5
Chain Vest,0,0,4,0,1,0,1,1,5,7,0.47,../../../assets/TFT_set_data/set3/items/05.png,4.57
Negatron Cloak,0,1,1,1,0,0,0,2,6,5,0.34,../../../assets/TFT_set_data/set3/items/06.png,5.0
Giant's Belt,0,0,1,0,0,0,0,2,7,3,0.2,../../../assets/TFT_set_data/set3/items/07.png,6.33
Spatula,0,0,1,0,0,1,1,0,8,3,0.2,../../../assets/TFT_set_data/set3/items/08.png,5.33
Sparring Gloves,2,0,3,1,0,0,1,3,9,10,0.67,../../../assets/TFT_set_data/set3/items/09.png,4.6
Deathblade,11,13,13,9,6,10,14,11,11,87,5.86,../../../assets/TFT_set_data/set3/items/11.png,4.46
Giant Slayer,6,4,2,3,4,2,4,3,12,28,1.89,../../../assets/TFT_set_data/set3/items/12.png,4.14
Hextech Gunblade,4,8,4,3,4,5,2,4,13,34,2.29,../../../assets/TFT_set_data/set3/items/13.png,4.12
Spear of Shojin,0,0,0,2,2,0,1,2,14,7,0.47,../../../assets/TFT_set_data/set3/items/14.png,5.86
Guardian Angel,21,13,21,12,15,12,16,14,15,124,8.36,../../../assets/TFT_set_data/set3/items/15.png,4.27
Bloodthirster,7,8,3,9,8,4,7,2,16,48,3.23,../../../assets/TFT_set_data/set3/items/16.png,4.1
Zeke's Herald,9,5,2,5,2,2,3,3,17,31,2.09,../../../assets/TFT_set_data/set3/items/17.png,3.61
Blade of the Ruined King,0,0,0,0,0,0,0,0,18,0,0.0,../../../assets/TFT_set_data/set3/items/18.png,0.0
Infinity Edge,47,34,31,32,38,27,30,23,19,262,17.65,../../../assets/TFT_set_data/set3/items/19.png,4.13
Rapid Firecannon,1,1,1,1,1,0,2,2,22,9,0.61,../../../assets/TFT_set_data/set3/items/22.png,5.0
Guinsoo's Rageblade,0,2,7,1,1,2,1,0,23,14,0.94,../../../assets/TFT_set_data/set3/items/23.png,3.79
Statikk Shiv,1,2,3,4,0,0,0,0,24,10,0.67,../../../assets/TFT_set_data/set3/items/24.png,3.0
Titan's Resolve,2,2,3,3,1,3,0,1,25,15,1.01,../../../assets/TFT_set_data/set3/items/25.png,3.87
Runaan's Hurricane,3,5,6,2,2,5,1,0,26,24,1.62,../../../assets/TFT_set_data/set3/items/26.png,3.58
Zz'Rot Portal,4,1,3,2,2,1,1,0,27,14,0.94,../../../assets/TFT_set_data/set3/items/27.png,3.29
Infiltrator's Talons,8,9,12,7,7,11,8,5,28,67,4.51,../../../assets/TFT_set_data/set3/items/28.png,4.28
Last Whisper,17,27,18,17,20,24,18,19,29,160,10.78,../../../assets/TFT_set_data/set3/items/29.png,4.47
Rabadon's Deathcap,1,3,5,3,6,3,3,2,33,26,1.75,../../../assets/TFT_set_data/set3/items/33.png,4.58
Luden's Echo,0,1,0,1,0,1,0,0,34,3,0.2,../../../assets/TFT_set_data/set3/items/34.png,4.0
Locket of the Iron Solari,2,2,2,4,2,0,1,0,35,13,0.88,../../../assets/TFT_set_data/set3/items/35.png,3.46
Ionic Spark,5,0,4,3,2,4,0,3,36,21,1.42,../../../assets/TFT_set_data/set3/items/36.png,4.14
Morellonomicon,1,1,0,2,0,1,0,1,37,6,0.4,../../../assets/TFT_set_data/set3/items/37.png,4.17
Demolitionist's Charge,0,0,0,0,0,0,1,0,38,1,0.07,../../../assets/TFT_set_data/set3/items/38.png,7.0
Jeweled Gauntlet,2,2,1,2,2,1,2,0,39,12,0.81,../../../assets/TFT_set_data/set3/items/39.png,3.92
Seraph's Embrace,7,8,3,7,12,5,5,6,44,53,3.57,../../../assets/TFT_set_data/set3/items/44.png,4.4
Frozen Heart,2,9,2,4,2,0,3,0,45,22,1.48,../../../assets/TFT_set_data/set3/items/45.png,3.32
Chalice of Favor,0,1,4,0,2,2,0,0,46,9,0.61,../../../assets/TFT_set_data/set3/items/46.png,4.0
Redemption,0,3,5,5,0,2,0,0,47,15,1.01,../../../assets/TFT_set_data/set3/items/47.png,3.53
Star Guardian's Charm,1,0,0,0,0,0,0,0,48,1,0.07,../../../assets/TFT_set_data/set3/items/48.png,1.0
Hand Of Justice,1,5,2,1,5,1,4,2,49,21,1.42,../../../assets/TFT_set_data/set3/items/49.png,4.57
Bramble Vest,0,4,2,2,3,0,0,0,55,11,0.74,../../../assets/TFT_set_data/set3/items/55.png,3.36
Sword Breaker,1,1,3,3,3,0,1,0,56,12,0.81,../../../assets/TFT_set_data/set3/items/56.png,3.83
Red Buff,4,1,3,1,1,4,2,3,57,19,1.28,../../../assets/TFT_set_data/set3/items/57.png,4.53
Rebel Medal,0,0,0,0,0,0,0,1,58,1,0.07,../../../assets/TFT_set_data/set3/items/58.png,8.0
Shroud of Stillness,2,3,2,0,2,0,1,0,59,10,0.67,../../../assets/TFT_set_data/set3/items/59.png,3.1
Dragon's Claw,0,3,2,1,5,1,2,3,66,17,1.15,../../../assets/TFT_set_data/set3/items/66.png,5.0
Zephyr,1,2,3,2,2,2,2,4,67,18,1.21,../../../assets/TFT_set_data/set3/items/67.png,5.0
Celestial Orb,0,2,2,0,0,0,0,1,68,5,0.34,../../../assets/TFT_set_data/set3/items/68.png,3.6
Quicksilver,3,3,2,2,5,5,2,0,69,22,1.48,../../../assets/TFT_set_data/set3/items/69.png,4.18
Warmog's Armor,2,1,1,1,1,1,0,2,77,9,0.61,../../../assets/TFT_set_data/set3/items/77.png,4.22
Protector's Chestguard,2,0,1,1,2,0,0,0,78,6,0.4,../../../assets/TFT_set_data/set3/items/78.png,3.17
Trap Claw,4,8,5,6,5,2,5,2,79,37,2.49,../../../assets/TFT_set_data/set3/items/79.png,3.97
Force of Nature,1,0,0,1,1,0,0,0,88,3,0.2,../../../assets/TFT_set_data/set3/items/88.png,3.33
Dark Star's Heart,1,1,0,0,2,1,0,0,89,5,0.34,../../../assets/TFT_set_data/set3/items/89.png,3.8
