item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,1,0,0,0,0,1,1,0,1,3,0.51,../../../assets/TFT_set_data/set3/items/01.png,4.67
Recurve Bow,0,0,0,0,0,0,0,0,2,0,0.0,../../../assets/TFT_set_data/set3/items/02.png,0.0
Needlessly Large Rod,0,0,3,1,2,1,0,3,3,10,1.7,../../../assets/TFT_set_data/set3/items/03.png,5.3
Tear of the Goddess,0,0,0,0,0,1,0,1,4,2,0.34,../../../assets/TFT_set_data/set3/items/04.png,7.0
Chain Vest,0,2,1,0,0,0,2,1,5,6,1.02,../../../assets/TFT_set_data/set3/items/05.png,4.83
Negatron Cloak,1,1,0,0,1,2,0,1,6,6,1.02,../../../assets/TFT_set_data/set3/items/06.png,4.67
Giant's Belt,0,0,0,0,1,2,1,1,7,5,0.85,../../../assets/TFT_set_data/set3/items/07.png,6.4
Spatula,0,1,0,0,0,0,0,0,8,1,0.17,../../../assets/TFT_set_data/set3/items/08.png,2.0
Sparring Gloves,0,0,0,0,0,1,0,0,9,1,0.17,../../../assets/TFT_set_data/set3/items/09.png,6.0
Deathblade,0,0,2,0,0,0,0,0,11,2,0.34,../../../assets/TFT_set_data/set3/items/11.png,3.0
Giant Slayer,0,1,0,0,0,0,0,1,12,2,0.34,../../../assets/TFT_set_data/set3/items/12.png,5.0
Hextech Gunblade,2,2,2,0,1,0,2,0,13,9,1.53,../../../assets/TFT_set_data/set3/items/13.png,3.44
Spear of Shojin,0,1,1,3,1,2,3,1,14,12,2.04,../../../assets/TFT_set_data/set3/items/14.png,5.25
Guardian Angel,4,3,4,6,3,5,7,5,15,37,6.29,../../../assets/TFT_set_data/set3/items/15.png,4.86
Bloodthirster,1,0,0,0,0,1,0,0,16,2,0.34,../../../assets/TFT_set_data/set3/items/16.png,3.5
Zeke's Herald,0,0,2,2,2,0,0,1,17,7,1.19,../../../assets/TFT_set_data/set3/items/17.png,4.57
Blade of the Ruined King,0,0,0,0,1,0,0,0,18,1,0.17,../../../assets/TFT_set_data/set3/items/18.png,5.0
Infinity Edge,0,0,0,0,1,0,0,0,19,1,0.17,../../../assets/TFT_set_data/set3/items/19.png,5.0
