item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,1,0,0,3,2,2,0,1,8,0.67,../../../assets/TFT_set_data/set3/items/01.png,5.38
Recurve Bow,1,0,2,1,0,1,0,1,2,6,0.51,../../../assets/TFT_set_data/set3/items/02.png,4.17
Needlessly Large Rod,0,0,0,0,0,0,0,0,3,0,0.0,../../../assets/TFT_set_data/set3/items/03.png,0.0
Tear of the Goddess,0,0,0,0,0,0,0,0,4,0,0.0,../../../assets/TFT_set_data/set3/items/04.png,0.0
Chain Vest,0,0,0,0,0,0,0,0,5,0,0.0,../../../assets/TFT_set_data/set3/items/05.png,0.0
Negatron Cloak,0,0,0,1,0,0,0,0,6,1,0.08,../../../assets/TFT_set_data/set3/items/06.png,4.0
Giant's Belt,0,0,1,0,0,0,0,0,7,1,0.08,../../../assets/TFT_set_data/set3/items/07.png,3.0
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,0,1,0,0,1,0,2,9,4,0.34,../../../assets/TFT_set_data/set3/items/09.png,6.25
Deathblade,29,23,24,28,19,23,20,22,11,188,15.85,../../../assets/TFT_set_data/set3/items/11.png,4.3
Giant Slayer,1,3,4,2,2,1,1,2,12,16,1.35,../../../assets/TFT_set_data/set3/items/12.png,4.12
Hextech Gunblade,2,2,0,0,1,3,3,1,13,12,1.01,../../../assets/TFT_set_data/set3/items/13.png,4.83
Spear of Shojin,0,0,0,0,0,0,0,0,14,0,0.0,../../../assets/TFT_set_data/set3/items/14.png,0.0
Guardian Angel,7,11,15,18,9,11,14,23,15,108,9.11,../../../assets/TFT_set_data/set3/items/15.png,4.99
Bloodthirster,1,3,5,1,2,3,2,0,16,17,1.43,../../../assets/TFT_set_data/set3/items/16.png,4.0
Zeke's Herald,1,2,0,3,2,4,1,0,17,13,1.1,../../../assets/TFT_set_data/set3/items/17.png,4.46
Blade of the Ruined King,1,1,2,1,1,0,0,0,18,6,0.51,../../../assets/TFT_set_data/set3/items/18.png,3.0
Infinity Edge,9,20,14,10,11,10,15,16,19,105,8.85,../../../assets/TFT_set_data/set3/items/19.png,4.56
Rapid Firecannon,0,0,1,2,2,2,0,3,22,10,0.84,../../../assets/TFT_set_data/set3/items/22.png,5.7
Guinsoo's Rageblade,1,0,2,1,0,1,2,3,23,10,0.84,../../../assets/TFT_set_data/set3/items/23.png,5.5
Statikk Shiv,0,0,1,0,0,0,1,0,24,2,0.17,../../../assets/TFT_set_data/set3/items/24.png,5.0
Titan's Resolve,1,0,0,0,0,0,1,0,25,2,0.17,../../../assets/TFT_set_data/set3/items/25.png,4.0
Runaan's Hurricane,30,35,38,52,39,40,34,28,26,296,24.96,../../../assets/TFT_set_data/set3/items/26.png,4.46
Zz'Rot Portal,0,0,0,0,0,0,0,0,27,0,0.0,../../../assets/TFT_set_data/set3/items/27.png,0.0
Infiltrator's Talons,2,0,0,1,0,1,0,0,28,4,0.34,../../../assets/TFT_set_data/set3/items/28.png,3.0
Last Whisper,8,11,12,15,12,7,14,15,29,94,7.93,../../../assets/TFT_set_data/set3/items/29.png,4.74
Rabadon's Deathcap,0,0,0,0,0,1,0,0,33,1,0.08,../../../assets/TFT_set_data/set3/items/33.png,6.0
Luden's Echo,0,0,0,0,0,0,0,0,34,0,0.0,../../../assets/TFT_set_data/set3/items/34.png,0.0
Locket of the Iron Solari,0,0,0,0,0,0,0,0,35,0,0.0,../../../assets/TFT_set_data/set3/items/35.png,0.0
Ionic Spark,0,0,1,0,0,0,0,0,36,1,0.08,../../../assets/TFT_set_data/set3/items/36.png,3.0
Morellonomicon,0,0,1,0,0,0,0,0,37,1,0.08,../../../assets/TFT_set_data/set3/items/37.png,3.0
Demolitionist's Charge,0,0,0,0,0,0,0,0,38,0,0.0,../../../assets/TFT_set_data/set3/items/38.png,0.0
Jeweled Gauntlet,0,0,0,0,0,0,0,0,39,0,0.0,../../../assets/TFT_set_data/set3/items/39.png,0.0
Seraph's Embrace,0,0,0,0,0,0,0,1,44,1,0.08,../../../assets/TFT_set_data/set3/items/44.png,8.0
Frozen Heart,0,0,0,0,0,1,2,0,45,3,0.25,../../../assets/TFT_set_data/set3/items/45.png,6.67
Chalice of Favor,0,0,0,0,0,1,1,0,46,2,0.17,../../../assets/TFT_set_data/set3/items/46.png,6.5
Redemption,0,0,0,0,0,0,0,0,47,0,0.0,../../../assets/TFT_set_data/set3/items/47.png,0.0
Star Guardian's Charm,0,0,0,0,0,0,0,0,48,0,0.0,../../../assets/TFT_set_data/set3/items/48.png,0.0
Hand Of Justice,3,0,0,3,3,1,1,2,49,13,1.1,../../../assets/TFT_set_data/set3/items/49.png,4.54
Bramble Vest,1,1,0,1,0,2,0,0,55,5,0.42,../../../assets/TFT_set_data/set3/items/55.png,3.8
Sword Breaker,2,1,0,2,0,1,0,0,56,6,0.51,../../../assets/TFT_set_data/set3/items/56.png,3.0
Red Buff,1,3,0,3,4,3,2,0,57,16,1.35,../../../assets/TFT_set_data/set3/items/57.png,4.44
Rebel Medal,0,0,0,0,0,0,0,0,58,0,0.0,../../../assets/TFT_set_data/set3/items/58.png,0.0
Shroud of Stillness,1,0,0,0,0,0,0,0,59,1,0.08,../../../assets/TFT_set_data/set3/items/59.png,1.0
Dragon's Claw,1,4,1,2,2,1,2,0,66,13,1.1,../../../assets/TFT_set_data/set3/items/66.png,3.85
Zephyr,0,0,0,2,0,1,0,0,67,3,0.25,../../../assets/TFT_set_data/set3/items/67.png,4.67
Celestial Orb,0,0,0,0,0,0,0,0,68,0,0.0,../../../assets/TFT_set_data/set3/items/68.png,0.0
Quicksilver,4,6,7,5,7,7,2,9,69,47,3.96,../../../assets/TFT_set_data/set3/items/69.png,4.68
Warmog's Armor,0,1,1,0,0,0,0,0,77,2,0.17,../../../assets/TFT_set_data/set3/items/77.png,2.5
Protector's Chestguard,0,0,0,0,0,0,0,0,78,0,0.0,../../../assets/TFT_set_data/set3/items/78.png,0.0
Trap Claw,25,27,20,23,17,15,20,16,79,163,13.74,../../../assets/TFT_set_data/set3/items/79.png,4.13
Force of Nature,0,0,0,0,0,0,0,0,88,0,0.0,../../../assets/TFT_set_data/set3/items/88.png,0.0
