item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,1,1,0,0,2,0,5,0,1,9,0.54,../../../assets/TFT_set_data/set3/items/01.png,5.33
Recurve Bow,1,0,2,0,4,1,1,0,2,9,0.54,../../../assets/TFT_set_data/set3/items/02.png,4.44
Needlessly Large Rod,0,0,0,0,0,0,0,1,3,1,0.06,../../../assets/TFT_set_data/set3/items/03.png,8.0
Tear of the Goddess,0,0,0,2,0,0,0,0,4,2,0.12,../../../assets/TFT_set_data/set3/items/04.png,4.0
Chain Vest,0,0,0,1,0,0,1,0,5,2,0.12,../../../assets/TFT_set_data/set3/items/05.png,5.5
Negatron Cloak,0,1,0,0,0,0,0,1,6,2,0.12,../../../assets/TFT_set_data/set3/items/06.png,5.0
Giant's Belt,0,0,0,0,0,0,0,1,7,1,0.06,../../../assets/TFT_set_data/set3/items/07.png,8.0
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,0,0,0,0,1,0,0,9,1,0.06,../../../assets/TFT_set_data/set3/items/09.png,6.0
Deathblade,22,21,11,10,19,21,20,12,11,136,8.23,../../../assets/TFT_set_data/set3/items/11.png,4.37
Giant Slayer,31,33,21,28,37,28,31,25,12,234,14.16,../../../assets/TFT_set_data/set3/items/12.png,4.45
Hextech Gunblade,5,0,4,5,2,1,0,1,13,18,1.09,../../../assets/TFT_set_data/set3/items/13.png,3.39
Spear of Shojin,0,1,0,1,0,0,0,0,14,2,0.12,../../../assets/TFT_set_data/set3/items/14.png,3.0
Guardian Angel,11,12,12,15,12,12,16,16,15,106,6.42,../../../assets/TFT_set_data/set3/items/15.png,4.75
Bloodthirster,4,3,3,4,2,1,1,1,16,19,1.15,../../../assets/TFT_set_data/set3/items/16.png,3.47
Zeke's Herald,5,5,0,2,2,1,1,1,17,17,1.03,../../../assets/TFT_set_data/set3/items/17.png,3.18
Blade of the Ruined King,0,2,6,2,3,2,0,0,18,15,0.91,../../../assets/TFT_set_data/set3/items/18.png,3.8
Infinity Edge,12,17,11,18,13,11,10,9,19,101,6.11,../../../assets/TFT_set_data/set3/items/19.png,4.2
Rapid Firecannon,15,16,8,8,13,12,13,12,22,97,5.87,../../../assets/TFT_set_data/set3/items/22.png,4.4
Guinsoo's Rageblade,5,4,5,2,3,3,3,5,23,30,1.82,../../../assets/TFT_set_data/set3/items/23.png,4.33
Statikk Shiv,2,0,2,2,0,2,2,1,24,11,0.67,../../../assets/TFT_set_data/set3/items/24.png,4.55
Titan's Resolve,1,0,0,1,0,0,0,0,25,2,0.12,../../../assets/TFT_set_data/set3/items/25.png,2.5
Runaan's Hurricane,28,19,24,21,17,16,20,12,26,157,9.5,../../../assets/TFT_set_data/set3/items/26.png,4.07
Zz'Rot Portal,1,1,0,0,0,0,0,0,27,2,0.12,../../../assets/TFT_set_data/set3/items/27.png,1.5
Infiltrator's Talons,0,0,0,0,1,0,0,0,28,1,0.06,../../../assets/TFT_set_data/set3/items/28.png,5.0
Last Whisper,11,18,17,25,21,16,11,16,29,135,8.17,../../../assets/TFT_set_data/set3/items/29.png,4.47
Rabadon's Deathcap,1,0,0,0,0,0,0,0,33,1,0.06,../../../assets/TFT_set_data/set3/items/33.png,1.0
Luden's Echo,2,0,0,0,0,0,0,0,34,2,0.12,../../../assets/TFT_set_data/set3/items/34.png,1.0
Locket of the Iron Solari,2,0,0,1,0,0,0,0,35,3,0.18,../../../assets/TFT_set_data/set3/items/35.png,2.0
Ionic Spark,0,0,0,0,0,0,0,0,36,0,0.0,../../../assets/TFT_set_data/set3/items/36.png,0.0
Morellonomicon,0,0,0,0,0,0,0,0,37,0,0.0,../../../assets/TFT_set_data/set3/items/37.png,0.0
Demolitionist's Charge,0,0,0,0,0,0,0,1,38,1,0.06,../../../assets/TFT_set_data/set3/items/38.png,8.0
Jeweled Gauntlet,0,0,0,0,0,0,0,0,39,0,0.0,../../../assets/TFT_set_data/set3/items/39.png,0.0
