item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,1,4,1,0,2,2,1,10,0.97,../../../assets/TFT_set_data/set3/items/01.png,5.4
Recurve Bow,4,1,1,0,3,2,2,5,2,18,1.75,../../../assets/TFT_set_data/set3/items/02.png,5.0
Needlessly Large Rod,0,0,0,0,0,0,1,0,3,1,0.1,../../../assets/TFT_set_data/set3/items/03.png,7.0
Tear of the Goddess,0,0,0,0,0,0,0,0,4,0,0.0,../../../assets/TFT_set_data/set3/items/04.png,0.0
Chain Vest,0,1,0,0,0,1,0,0,5,2,0.19,../../../assets/TFT_set_data/set3/items/05.png,4.0
Negatron Cloak,1,1,1,0,0,1,0,1,6,5,0.49,../../../assets/TFT_set_data/set3/items/06.png,4.0
Giant's Belt,0,0,0,0,0,0,0,0,7,0,0.0,../../../assets/TFT_set_data/set3/items/07.png,0.0
Spatula,0,0,0,1,0,0,0,0,8,1,0.1,../../../assets/TFT_set_data/set3/items/08.png,4.0
Sparring Gloves,0,0,0,2,1,1,0,1,9,5,0.49,../../../assets/TFT_set_data/set3/items/09.png,5.4
Deathblade,9,7,8,7,3,3,6,4,11,47,4.58,../../../assets/TFT_set_data/set3/items/11.png,3.87
Giant Slayer,2,6,1,1,4,4,1,1,12,20,1.95,../../../assets/TFT_set_data/set3/items/12.png,4.0
Hextech Gunblade,4,3,1,5,1,2,1,0,13,17,1.66,../../../assets/TFT_set_data/set3/items/13.png,3.35
Spear of Shojin,1,0,0,0,1,0,0,0,14,2,0.19,../../../assets/TFT_set_data/set3/items/14.png,3.0
Guardian Angel,42,33,31,28,18,26,20,23,15,221,21.54,../../../assets/TFT_set_data/set3/items/15.png,4.0
Bloodthirster,4,3,1,3,4,2,3,0,16,20,1.95,../../../assets/TFT_set_data/set3/items/16.png,3.9
Zeke's Herald,5,8,2,3,3,12,3,2,17,38,3.7,../../../assets/TFT_set_data/set3/items/17.png,4.29
Blade of the Ruined King,1,0,0,0,0,0,0,0,18,1,0.1,../../../assets/TFT_set_data/set3/items/18.png,1.0
Infinity Edge,35,37,23,25,23,29,17,15,19,204,19.88,../../../assets/TFT_set_data/set3/items/19.png,3.95
Rapid Firecannon,36,35,32,26,20,30,21,24,22,224,21.83,../../../assets/TFT_set_data/set3/items/22.png,4.13
Guinsoo's Rageblade,1,1,2,2,3,1,1,0,23,11,1.07,../../../assets/TFT_set_data/set3/items/23.png,4.09
Statikk Shiv,0,3,0,1,0,1,1,0,24,6,0.58,../../../assets/TFT_set_data/set3/items/24.png,3.83
Titan's Resolve,1,3,1,1,1,0,1,0,25,8,0.78,../../../assets/TFT_set_data/set3/items/25.png,3.25
Runaan's Hurricane,6,1,4,1,3,2,4,2,26,23,2.24,../../../assets/TFT_set_data/set3/items/26.png,4.13
Zz'Rot Portal,0,2,2,1,0,3,0,0,27,8,0.78,../../../assets/TFT_set_data/set3/items/27.png,4.0
Infiltrator's Talons,0,0,0,0,0,0,0,0,28,0,0.0,../../../assets/TFT_set_data/set3/items/28.png,0.0
Last Whisper,3,4,0,2,0,1,1,0,29,11,1.07,../../../assets/TFT_set_data/set3/items/29.png,2.91
Rabadon's Deathcap,0,0,0,0,0,0,0,0,33,0,0.0,../../../assets/TFT_set_data/set3/items/33.png,0.0
Luden's Echo,0,0,0,0,0,1,0,0,34,1,0.1,../../../assets/TFT_set_data/set3/items/34.png,6.0
Locket of the Iron Solari,0,2,0,0,0,0,0,0,35,2,0.19,../../../assets/TFT_set_data/set3/items/35.png,2.0
