item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,0,0,0,0,1,0,0.0,../../../assets/TFT_set_data/set3/items/01.png,0.0
Recurve Bow,1,0,0,0,0,0,2,1,2,4,1.75,../../../assets/TFT_set_data/set3/items/02.png,5.75
Needlessly Large Rod,0,0,1,0,1,2,3,4,3,11,4.82,../../../assets/TFT_set_data/set3/items/03.png,6.64
Tear of the Goddess,1,0,0,0,0,1,1,1,4,4,1.75,../../../assets/TFT_set_data/set3/items/04.png,5.5
Chain Vest,1,1,0,1,1,2,1,0,5,7,3.07,../../../assets/TFT_set_data/set3/items/05.png,4.43
Negatron Cloak,1,3,1,3,4,2,5,3,6,22,9.65,../../../assets/TFT_set_data/set3/items/06.png,5.14
Giant's Belt,0,2,1,0,2,0,1,0,7,6,2.63,../../../assets/TFT_set_data/set3/items/07.png,4.0
Spatula,0,0,0,0,2,1,1,0,8,4,1.75,../../../assets/TFT_set_data/set3/items/08.png,5.75
Sparring Gloves,0,0,1,0,0,2,0,0,9,3,1.32,../../../assets/TFT_set_data/set3/items/09.png,5.0
Deathblade,0,0,0,0,0,0,0,0,11,0,0.0,../../../assets/TFT_set_data/set3/items/11.png,0.0
Giant Slayer,0,0,0,0,0,0,0,0,12,0,0.0,../../../assets/TFT_set_data/set3/items/12.png,0.0
Hextech Gunblade,0,0,0,0,0,0,0,0,13,0,0.0,../../../assets/TFT_set_data/set3/items/13.png,0.0
Spear of Shojin,0,0,0,0,0,0,0,0,14,0,0.0,../../../assets/TFT_set_data/set3/items/14.png,0.0
Guardian Angel,0,0,0,0,0,0,0,0,15,0,0.0,../../../assets/TFT_set_data/set3/items/15.png,0.0
Bloodthirster,0,0,0,0,0,0,0,0,16,0,0.0,../../../assets/TFT_set_data/set3/items/16.png,0.0
Zeke's Herald,1,0,0,0,0,0,0,0,17,1,0.44,../../../assets/TFT_set_data/set3/items/17.png,1.0
Blade of the Ruined King,0,0,0,0,0,0,0,0,18,0,0.0,../../../assets/TFT_set_data/set3/items/18.png,0.0
Infinity Edge,0,0,0,0,0,0,0,0,19,0,0.0,../../../assets/TFT_set_data/set3/items/19.png,0.0
Rapid Firecannon,0,0,0,0,0,0,0,0,22,0,0.0,../../../assets/TFT_set_data/set3/items/22.png,0.0
Guinsoo's Rageblade,0,0,0,0,0,0,0,0,23,0,0.0,../../../assets/TFT_set_data/set3/items/23.png,0.0
Statikk Shiv,0,0,0,0,0,0,0,0,24,0,0.0,../../../assets/TFT_set_data/set3/items/24.png,0.0
Titan's Resolve,0,0,0,1,1,1,0,0,25,3,1.32,../../../assets/TFT_set_data/set3/items/25.png,5.0
Runaan's Hurricane,0,0,0,0,0,0,1,0,26,1,0.44,../../../assets/TFT_set_data/set3/items/26.png,7.0
Zz'Rot Portal,0,2,2,0,0,2,0,1,27,7,3.07,../../../assets/TFT_set_data/set3/items/27.png,4.29
Infiltrator's Talons,0,0,0,0,0,0,0,0,28,0,0.0,../../../assets/TFT_set_data/set3/items/28.png,0.0
Last Whisper,0,0,0,0,0,0,0,0,29,0,0.0,../../../assets/TFT_set_data/set3/items/29.png,0.0
Rabadon's Deathcap,0,0,0,0,0,0,0,0,33,0,0.0,../../../assets/TFT_set_data/set3/items/33.png,0.0
Luden's Echo,0,0,0,0,0,0,0,0,34,0,0.0,../../../assets/TFT_set_data/set3/items/34.png,0.0
Locket of the Iron Solari,2,0,0,1,0,2,0,0,35,5,2.19,../../../assets/TFT_set_data/set3/items/35.png,3.6
Ionic Spark,6,7,6,7,6,6,6,2,36,46,20.18,../../../assets/TFT_set_data/set3/items/36.png,4.13
Morellonomicon,0,0,0,0,0,0,0,0,37,0,0.0,../../../assets/TFT_set_data/set3/items/37.png,0.0
Demolitionist's Charge,0,0,0,0,0,0,0,0,38,0,0.0,../../../assets/TFT_set_data/set3/items/38.png,0.0
Jeweled Gauntlet,0,0,0,0,0,0,0,0,39,0,0.0,../../../assets/TFT_set_data/set3/items/39.png,0.0
Seraph's Embrace,0,0,0,0,0,0,1,1,44,2,0.88,../../../assets/TFT_set_data/set3/items/44.png,7.5
Frozen Heart,0,0,0,2,4,3,0,3,45,12,5.26,../../../assets/TFT_set_data/set3/items/45.png,5.83
Chalice of Favor,0,1,0,0,0,0,0,0,46,1,0.44,../../../assets/TFT_set_data/set3/items/46.png,2.0
Redemption,3,4,2,2,2,3,0,1,47,17,7.46,../../../assets/TFT_set_data/set3/items/47.png,3.59
Star Guardian's Charm,0,0,0,0,0,0,0,0,48,0,0.0,../../../assets/TFT_set_data/set3/items/48.png,0.0
Hand Of Justice,0,0,0,0,0,0,0,0,49,0,0.0,../../../assets/TFT_set_data/set3/items/49.png,0.0
Bramble Vest,0,2,1,2,0,4,0,1,55,10,4.39,../../../assets/TFT_set_data/set3/items/55.png,4.7
Sword Breaker,0,0,1,0,0,0,0,0,56,1,0.44,../../../assets/TFT_set_data/set3/items/56.png,3.0
Red Buff,0,0,0,0,0,0,0,0,57,0,0.0,../../../assets/TFT_set_data/set3/items/57.png,0.0
Rebel Medal,0,0,0,0,0,0,0,0,58,0,0.0,../../../assets/TFT_set_data/set3/items/58.png,0.0
Shroud of Stillness,0,1,0,1,0,0,1,2,59,5,2.19,../../../assets/TFT_set_data/set3/items/59.png,5.8
Dragon's Claw,0,1,1,2,0,0,0,0,66,4,1.75,../../../assets/TFT_set_data/set3/items/66.png,3.25
Zephyr,6,3,3,9,3,1,3,0,67,28,12.28,../../../assets/TFT_set_data/set3/items/67.png,3.54
Celestial Orb,0,1,0,1,0,0,0,0,68,2,0.88,../../../assets/TFT_set_data/set3/items/68.png,3.0
Quicksilver,0,0,0,0,0,0,0,1,69,1,0.44,../../../assets/TFT_set_data/set3/items/69.png,8.0
Warmog's Armor,0,0,0,0,2,0,1,1,77,4,1.75,../../../assets/TFT_set_data/set3/items/77.png,6.25
Protector's Chestguard,0,0,0,0,0,0,1,0,78,1,0.44,../../../assets/TFT_set_data/set3/items/78.png,7.0
Trap Claw,0,0,0,0,0,0,1,0,79,1,0.44,../../../assets/TFT_set_data/set3/items/79.png,7.0
Force of Nature,1,1,3,1,1,2,2,0,88,11,4.82,../../../assets/TFT_set_data/set3/items/88.png,4.27
Dark Star's Heart,2,0,0,0,0,0,0,1,89,3,1.32,../../../assets/TFT_set_data/set3/items/89.png,3.33
Thief's Gloves,0,0,0,0,0,0,1,0,99,1,0.44,../../../assets/TFT_set_data/set3/items/99.png,7.0
