item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,2,1,1,1,1,0,0,0,1,6,1.95,../../../assets/TFT_set_data/set3/items/01.png,2.67
Recurve Bow,1,2,0,2,1,0,2,3,2,11,3.57,../../../assets/TFT_set_data/set3/items/02.png,5.09
Needlessly Large Rod,0,0,0,0,0,1,1,0,3,2,0.65,../../../assets/TFT_set_data/set3/items/03.png,6.5
Tear of the Goddess,0,1,2,0,0,1,0,1,4,5,1.62,../../../assets/TFT_set_data/set3/items/04.png,4.4
Chain Vest,2,1,0,1,1,1,1,1,5,8,2.6,../../../assets/TFT_set_data/set3/items/05.png,4.25
Negatron Cloak,0,0,0,0,0,0,1,0,6,1,0.32,../../../assets/TFT_set_data/set3/items/06.png,7.0
Giant's Belt,0,0,0,1,1,1,1,1,7,5,1.62,../../../assets/TFT_set_data/set3/items/07.png,6.0
Spatula,1,0,0,2,0,0,0,0,8,3,0.97,../../../assets/TFT_set_data/set3/items/08.png,3.0
Sparring Gloves,0,1,0,0,0,1,0,0,9,2,0.65,../../../assets/TFT_set_data/set3/items/09.png,4.0
Deathblade,1,2,3,1,0,1,1,0,11,9,2.92,../../../assets/TFT_set_data/set3/items/11.png,3.44
Giant Slayer,1,6,1,2,1,1,2,1,12,15,4.87,../../../assets/TFT_set_data/set3/items/12.png,3.8
Hextech Gunblade,2,1,0,0,1,0,0,0,13,4,1.3,../../../assets/TFT_set_data/set3/items/13.png,2.25
Spear of Shojin,1,0,0,0,1,0,0,1,14,3,0.97,../../../assets/TFT_set_data/set3/items/14.png,4.67
Guardian Angel,1,0,1,1,0,0,1,1,15,5,1.62,../../../assets/TFT_set_data/set3/items/15.png,4.6
Bloodthirster,1,0,0,1,1,0,0,0,16,3,0.97,../../../assets/TFT_set_data/set3/items/16.png,3.33
Zeke's Herald,0,0,0,0,1,0,1,0,17,2,0.65,../../../assets/TFT_set_data/set3/items/17.png,6.0
Blade of the Ruined King,1,0,0,1,0,1,1,0,18,4,1.3,../../../assets/TFT_set_data/set3/items/18.png,4.5
Infinity Edge,0,0,2,0,1,1,2,0,19,6,1.95,../../../assets/TFT_set_data/set3/items/19.png,5.17
Rapid Firecannon,0,0,0,1,0,1,1,0,22,3,0.97,../../../assets/TFT_set_data/set3/items/22.png,5.67
Guinsoo's Rageblade,0,1,1,0,0,2,0,2,23,6,1.95,../../../assets/TFT_set_data/set3/items/23.png,5.5
Statikk Shiv,2,0,0,5,0,3,0,0,24,10,3.25,../../../assets/TFT_set_data/set3/items/24.png,4.0
Titan's Resolve,0,0,0,0,0,0,0,0,25,0,0.0,../../../assets/TFT_set_data/set3/items/25.png,0.0
Runaan's Hurricane,1,2,1,2,2,1,2,0,26,11,3.57,../../../assets/TFT_set_data/set3/items/26.png,4.18
Zz'Rot Portal,0,0,1,1,0,0,0,0,27,2,0.65,../../../assets/TFT_set_data/set3/items/27.png,3.5
Infiltrator's Talons,1,1,1,1,0,0,1,0,28,5,1.62,../../../assets/TFT_set_data/set3/items/28.png,3.4
Last Whisper,1,1,2,1,4,3,0,1,29,13,4.22,../../../assets/TFT_set_data/set3/items/29.png,4.54
Rabadon's Deathcap,0,0,0,0,0,1,0,0,33,1,0.32,../../../assets/TFT_set_data/set3/items/33.png,6.0
Luden's Echo,0,1,0,0,1,1,0,0,34,3,0.97,../../../assets/TFT_set_data/set3/items/34.png,4.33
Locket of the Iron Solari,0,0,0,1,0,0,0,0,35,1,0.32,../../../assets/TFT_set_data/set3/items/35.png,4.0
Ionic Spark,0,1,0,0,0,0,0,0,36,1,0.32,../../../assets/TFT_set_data/set3/items/36.png,2.0
Morellonomicon,0,0,0,0,0,1,0,0,37,1,0.32,../../../assets/TFT_set_data/set3/items/37.png,6.0
Demolitionist's Charge,0,0,0,0,0,0,0,1,38,1,0.32,../../../assets/TFT_set_data/set3/items/38.png,8.0
Jeweled Gauntlet,0,0,1,0,0,1,0,0,39,2,0.65,../../../assets/TFT_set_data/set3/items/39.png,4.5
Seraph's Embrace,0,2,1,2,0,1,1,0,44,7,2.27,../../../assets/TFT_set_data/set3/items/44.png,4.0
Frozen Heart,0,0,0,0,0,0,0,0,45,0,0.0,../../../assets/TFT_set_data/set3/items/45.png,0.0
Chalice of Favor,0,1,0,0,0,0,0,0,46,1,0.32,../../../assets/TFT_set_data/set3/items/46.png,2.0
Redemption,0,0,0,0,0,0,0,0,47,0,0.0,../../../assets/TFT_set_data/set3/items/47.png,0.0
Star Guardian's Charm,0,0,0,1,0,0,0,0,48,1,0.32,../../../assets/TFT_set_data/set3/items/48.png,4.0
Hand Of Justice,0,1,0,0,1,0,0,1,49,3,0.97,../../../assets/TFT_set_data/set3/items/49.png,5.0
Bramble Vest,0,0,0,0,0,0,0,0,55,0,0.0,../../../assets/TFT_set_data/set3/items/55.png,0.0
Sword Breaker,3,0,0,2,2,0,3,0,56,10,3.25,../../../assets/TFT_set_data/set3/items/56.png,4.2
Red Buff,9,14,13,9,17,17,15,7,57,101,32.79,../../../assets/TFT_set_data/set3/items/57.png,4.55
Rebel Medal,0,0,0,1,0,0,1,0,58,2,0.65,../../../assets/TFT_set_data/set3/items/58.png,5.5
Shroud of Stillness,0,1,0,0,0,1,0,0,59,2,0.65,../../../assets/TFT_set_data/set3/items/59.png,4.0
Dragon's Claw,0,0,0,0,0,0,1,0,66,1,0.32,../../../assets/TFT_set_data/set3/items/66.png,7.0
Zephyr,0,1,1,1,1,2,0,0,67,6,1.95,../../../assets/TFT_set_data/set3/items/67.png,4.33
Celestial Orb,0,0,2,0,1,0,1,0,68,4,1.3,../../../assets/TFT_set_data/set3/items/68.png,4.5
Quicksilver,0,0,0,0,1,0,2,2,69,5,1.62,../../../assets/TFT_set_data/set3/items/69.png,7.0
Warmog's Armor,0,0,0,0,0,0,0,0,77,0,0.0,../../../assets/TFT_set_data/set3/items/77.png,0.0
Protector's Chestguard,0,0,0,0,0,0,0,0,78,0,0.0,../../../assets/TFT_set_data/set3/items/78.png,0.0
Trap Claw,1,0,0,1,1,0,0,0,79,3,0.97,../../../assets/TFT_set_data/set3/items/79.png,3.33
Force of Nature,2,1,0,0,0,1,0,1,88,5,1.62,../../../assets/TFT_set_data/set3/items/88.png,3.6
Dark Star's Heart,0,0,0,0,0,0,0,0,89,0,0.0,../../../assets/TFT_set_data/set3/items/89.png,0.0
Thief's Gloves,0,0,0,1,0,0,2,0,99,3,0.97,../../../assets/TFT_set_data/set3/items/99.png,6.0
