item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,0,0,0,0,1,0,0.0,../../../assets/TFT_set_data/set3/items/01.png,0.0
Recurve Bow,2,2,4,3,1,0,2,3,2,17,3.21,../../../assets/TFT_set_data/set3/items/02.png,4.29
Needlessly Large Rod,0,0,1,0,0,0,0,0,3,1,0.19,../../../assets/TFT_set_data/set3/items/03.png,3.0
Tear of the Goddess,3,2,4,3,1,5,1,1,4,20,3.78,../../../assets/TFT_set_data/set3/items/04.png,4.05
Chain Vest,0,0,0,1,0,1,0,0,5,2,0.38,../../../assets/TFT_set_data/set3/items/05.png,5.0
Negatron Cloak,1,2,0,0,0,0,0,0,6,3,0.57,../../../assets/TFT_set_data/set3/items/06.png,1.67
Giant's Belt,3,0,0,1,2,1,2,1,7,10,1.89,../../../assets/TFT_set_data/set3/items/07.png,4.5
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,1,0,0,0,0,0,0,9,1,0.19,../../../assets/TFT_set_data/set3/items/09.png,2.0
Deathblade,2,0,0,0,0,0,0,0,11,2,0.38,../../../assets/TFT_set_data/set3/items/11.png,1.0
Giant Slayer,0,1,0,1,0,0,0,0,12,2,0.38,../../../assets/TFT_set_data/set3/items/12.png,3.0
Hextech Gunblade,0,1,1,1,0,0,0,0,13,3,0.57,../../../assets/TFT_set_data/set3/items/13.png,3.0
Spear of Shojin,11,6,16,11,10,7,6,6,14,73,13.8,../../../assets/TFT_set_data/set3/items/14.png,4.07
Guardian Angel,7,3,0,1,4,2,0,0,15,17,3.21,../../../assets/TFT_set_data/set3/items/15.png,2.88
Bloodthirster,0,2,0,0,0,0,0,1,16,3,0.57,../../../assets/TFT_set_data/set3/items/16.png,4.0
Zeke's Herald,5,5,4,2,2,1,0,3,17,22,4.16,../../../assets/TFT_set_data/set3/items/17.png,3.41
Blade of the Ruined King,2,4,2,0,0,2,1,1,18,12,2.27,../../../assets/TFT_set_data/set3/items/18.png,3.58
Infinity Edge,0,0,0,0,0,0,0,0,19,0,0.0,../../../assets/TFT_set_data/set3/items/19.png,0.0
Rapid Firecannon,0,5,1,2,1,3,3,2,22,17,3.21,../../../assets/TFT_set_data/set3/items/22.png,4.76
Guinsoo's Rageblade,0,3,2,1,0,3,1,0,23,10,1.89,../../../assets/TFT_set_data/set3/items/23.png,4.1
Statikk Shiv,4,0,2,3,3,3,0,0,24,15,2.84,../../../assets/TFT_set_data/set3/items/24.png,3.67
Titan's Resolve,0,1,2,1,1,0,0,1,25,6,1.13,../../../assets/TFT_set_data/set3/items/25.png,4.17
Runaan's Hurricane,2,3,2,1,7,0,0,2,26,17,3.21,../../../assets/TFT_set_data/set3/items/26.png,4.06
Zz'Rot Portal,0,0,1,1,0,0,0,0,27,2,0.38,../../../assets/TFT_set_data/set3/items/27.png,3.5
Infiltrator's Talons,0,2,0,0,0,1,0,0,28,3,0.57,../../../assets/TFT_set_data/set3/items/28.png,3.33
Last Whisper,0,1,0,0,0,0,0,0,29,1,0.19,../../../assets/TFT_set_data/set3/items/29.png,2.0
Rabadon's Deathcap,0,1,0,0,0,0,1,0,33,2,0.38,../../../assets/TFT_set_data/set3/items/33.png,4.5
Luden's Echo,1,2,1,1,0,1,0,1,34,7,1.32,../../../assets/TFT_set_data/set3/items/34.png,3.71
Locket of the Iron Solari,2,0,0,1,0,0,0,0,35,3,0.57,../../../assets/TFT_set_data/set3/items/35.png,2.0
Ionic Spark,1,1,1,0,0,0,0,1,36,4,0.76,../../../assets/TFT_set_data/set3/items/36.png,3.5
Morellonomicon,2,0,0,0,0,0,1,0,37,3,0.57,../../../assets/TFT_set_data/set3/items/37.png,3.0
Demolitionist's Charge,0,0,0,0,0,0,0,0,38,0,0.0,../../../assets/TFT_set_data/set3/items/38.png,0.0
Jeweled Gauntlet,0,0,0,0,0,0,1,0,39,1,0.19,../../../assets/TFT_set_data/set3/items/39.png,7.0
Seraph's Embrace,3,11,5,4,3,4,0,3,44,33,6.24,../../../assets/TFT_set_data/set3/items/44.png,3.61
Frozen Heart,1,1,5,3,4,2,0,0,45,16,3.02,../../../assets/TFT_set_data/set3/items/45.png,3.88
Chalice of Favor,2,4,0,3,4,1,1,2,46,17,3.21,../../../assets/TFT_set_data/set3/items/46.png,4.18
Redemption,4,3,1,2,2,1,0,1,47,14,2.65,../../../assets/TFT_set_data/set3/items/47.png,3.21
Star Guardian's Charm,1,2,0,2,2,1,0,0,48,8,1.51,../../../assets/TFT_set_data/set3/items/48.png,3.62
Hand Of Justice,3,3,3,0,0,1,0,0,49,10,1.89,../../../assets/TFT_set_data/set3/items/49.png,2.4
Bramble Vest,1,2,2,1,1,2,0,2,55,11,2.08,../../../assets/TFT_set_data/set3/items/55.png,4.36
Sword Breaker,0,0,1,1,0,2,0,0,56,4,0.76,../../../assets/TFT_set_data/set3/items/56.png,4.75
Red Buff,2,1,1,1,1,1,0,0,57,7,1.32,../../../assets/TFT_set_data/set3/items/57.png,3.14
Rebel Medal,0,0,2,2,1,0,0,0,58,5,0.95,../../../assets/TFT_set_data/set3/items/58.png,3.8
Shroud of Stillness,7,3,2,1,0,5,1,0,59,19,3.59,../../../assets/TFT_set_data/set3/items/59.png,3.16
Dragon's Claw,0,0,1,0,0,0,1,0,66,2,0.38,../../../assets/TFT_set_data/set3/items/66.png,5.0
Zephyr,15,7,9,8,6,6,2,1,67,54,10.21,../../../assets/TFT_set_data/set3/items/67.png,3.26
Celestial Orb,0,0,0,0,0,0,0,0,68,0,0.0,../../../assets/TFT_set_data/set3/items/68.png,0.0
Quicksilver,0,2,1,1,0,1,0,0,69,5,0.95,../../../assets/TFT_set_data/set3/items/69.png,3.4
Warmog's Armor,1,1,0,1,0,0,1,0,77,4,0.76,../../../assets/TFT_set_data/set3/items/77.png,3.5
Protector's Chestguard,1,0,2,1,0,0,0,0,78,4,0.76,../../../assets/TFT_set_data/set3/items/78.png,2.75
Trap Claw,3,4,3,4,4,0,1,1,79,20,3.78,../../../assets/TFT_set_data/set3/items/79.png,3.55
Force of Nature,1,1,2,1,2,0,0,1,88,8,1.51,../../../assets/TFT_set_data/set3/items/88.png,3.88
Dark Star's Heart,0,2,1,1,0,0,0,0,89,4,0.76,../../../assets/TFT_set_data/set3/items/89.png,2.75
Thief's Gloves,0,1,1,1,1,0,0,1,99,5,0.95,../../../assets/TFT_set_data/set3/items/99.png,4.4
