item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,2,0,0,0,0,1,1,0,1,4,2.45,../../../assets/TFT_set_data/set3/items/01.png,3.75
Recurve Bow,1,0,0,1,1,0,2,1,2,6,3.68,../../../assets/TFT_set_data/set3/items/02.png,5.33
Needlessly Large Rod,0,0,0,0,0,0,0,0,3,0,0.0,../../../assets/TFT_set_data/set3/items/03.png,0.0
Tear of the Goddess,0,1,0,1,2,2,1,0,4,7,4.29,../../../assets/TFT_set_data/set3/items/04.png,5.0
Chain Vest,1,0,0,0,0,1,0,0,5,2,1.23,../../../assets/TFT_set_data/set3/items/05.png,3.5
Negatron Cloak,0,0,1,0,0,0,0,0,6,1,0.61,../../../assets/TFT_set_data/set3/items/06.png,3.0
Giant's Belt,0,1,0,0,1,0,0,0,7,2,1.23,../../../assets/TFT_set_data/set3/items/07.png,3.5
Spatula,0,0,0,0,0,0,1,0,8,1,0.61,../../../assets/TFT_set_data/set3/items/08.png,7.0
Sparring Gloves,0,0,0,0,0,0,0,0,9,0,0.0,../../../assets/TFT_set_data/set3/items/09.png,0.0
Deathblade,0,0,0,0,1,0,0,0,11,1,0.61,../../../assets/TFT_set_data/set3/items/11.png,5.0
Giant Slayer,1,0,0,0,0,0,1,0,12,2,1.23,../../../assets/TFT_set_data/set3/items/12.png,4.0
Hextech Gunblade,0,0,0,1,0,0,0,0,13,1,0.61,../../../assets/TFT_set_data/set3/items/13.png,4.0
Spear of Shojin,2,1,0,1,0,0,1,1,14,6,3.68,../../../assets/TFT_set_data/set3/items/14.png,3.83
Guardian Angel,0,0,0,0,0,0,0,0,15,0,0.0,../../../assets/TFT_set_data/set3/items/15.png,0.0
Bloodthirster,0,0,0,0,0,0,0,0,16,0,0.0,../../../assets/TFT_set_data/set3/items/16.png,0.0
Zeke's Herald,0,0,0,0,0,0,0,0,17,0,0.0,../../../assets/TFT_set_data/set3/items/17.png,0.0
Blade of the Ruined King,0,0,0,1,0,0,0,0,18,1,0.61,../../../assets/TFT_set_data/set3/items/18.png,4.0
Infinity Edge,0,1,0,0,0,0,0,0,19,1,0.61,../../../assets/TFT_set_data/set3/items/19.png,2.0
Rapid Firecannon,1,1,0,1,0,0,0,0,22,3,1.84,../../../assets/TFT_set_data/set3/items/22.png,2.33
Guinsoo's Rageblade,1,0,0,0,0,0,0,0,23,1,0.61,../../../assets/TFT_set_data/set3/items/23.png,1.0
Statikk Shiv,0,0,1,0,0,0,0,0,24,1,0.61,../../../assets/TFT_set_data/set3/items/24.png,3.0
Titan's Resolve,1,0,0,0,0,0,0,0,25,1,0.61,../../../assets/TFT_set_data/set3/items/25.png,1.0
Runaan's Hurricane,0,0,0,0,1,0,0,0,26,1,0.61,../../../assets/TFT_set_data/set3/items/26.png,5.0
Zz'Rot Portal,1,1,0,0,1,2,1,2,27,8,4.91,../../../assets/TFT_set_data/set3/items/27.png,5.38
Infiltrator's Talons,1,1,0,0,0,0,0,0,28,2,1.23,../../../assets/TFT_set_data/set3/items/28.png,1.5
Last Whisper,0,0,0,0,0,0,0,0,29,0,0.0,../../../assets/TFT_set_data/set3/items/29.png,0.0
Rabadon's Deathcap,0,0,1,1,0,1,1,0,33,4,2.45,../../../assets/TFT_set_data/set3/items/33.png,5.0
Luden's Echo,3,1,2,2,0,1,2,2,34,13,7.98,../../../assets/TFT_set_data/set3/items/34.png,4.23
