item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,0,0,0,0,1,0,0.0,../../../assets/TFT_set_data/set3/items/01.png,0.0
Recurve Bow,0,0,0,0,0,0,0,0,2,0,0.0,../../../assets/TFT_set_data/set3/items/02.png,0.0
Needlessly Large Rod,0,0,0,0,0,0,0,0,3,0,0.0,../../../assets/TFT_set_data/set3/items/03.png,0.0
Tear of the Goddess,0,0,0,0,0,0,0,0,4,0,0.0,../../../assets/TFT_set_data/set3/items/04.png,0.0
Chain Vest,2,1,0,2,1,4,1,2,5,13,4.14,../../../assets/TFT_set_data/set3/items/05.png,4.92
Negatron Cloak,2,0,1,3,4,3,0,0,6,13,4.14,../../../assets/TFT_set_data/set3/items/06.png,4.23
Giant's Belt,4,2,2,1,1,2,2,2,7,16,5.1,../../../assets/TFT_set_data/set3/items/07.png,4.06
Spatula,1,0,0,0,0,0,0,0,8,1,0.32,../../../assets/TFT_set_data/set3/items/08.png,1.0
Sparring Gloves,1,0,0,0,0,1,0,1,9,3,0.96,../../../assets/TFT_set_data/set3/items/09.png,5.0
Deathblade,0,0,0,0,0,0,0,0,11,0,0.0,../../../assets/TFT_set_data/set3/items/11.png,0.0
Giant Slayer,0,0,0,0,0,0,0,0,12,0,0.0,../../../assets/TFT_set_data/set3/items/12.png,0.0
Hextech Gunblade,1,0,0,0,0,0,0,0,13,1,0.32,../../../assets/TFT_set_data/set3/items/13.png,1.0
Spear of Shojin,0,0,0,0,0,0,0,0,14,0,0.0,../../../assets/TFT_set_data/set3/items/14.png,0.0
Guardian Angel,0,0,1,0,0,0,0,1,15,2,0.64,../../../assets/TFT_set_data/set3/items/15.png,5.5
Bloodthirster,0,0,0,0,0,0,0,0,16,0,0.0,../../../assets/TFT_set_data/set3/items/16.png,0.0
Zeke's Herald,0,0,1,1,2,0,0,0,17,4,1.27,../../../assets/TFT_set_data/set3/items/17.png,4.25
Blade of the Ruined King,0,0,0,0,0,0,0,0,18,0,0.0,../../../assets/TFT_set_data/set3/items/18.png,0.0
Infinity Edge,1,0,0,0,1,0,0,0,19,2,0.64,../../../assets/TFT_set_data/set3/items/19.png,3.0
Rapid Firecannon,0,0,0,0,0,0,0,0,22,0,0.0,../../../assets/TFT_set_data/set3/items/22.png,0.0
Guinsoo's Rageblade,0,0,0,0,0,0,0,0,23,0,0.0,../../../assets/TFT_set_data/set3/items/23.png,0.0
Statikk Shiv,0,0,0,0,0,0,0,0,24,0,0.0,../../../assets/TFT_set_data/set3/items/24.png,0.0
Titan's Resolve,1,3,2,0,2,0,0,0,25,8,2.55,../../../assets/TFT_set_data/set3/items/25.png,2.88
Runaan's Hurricane,1,0,0,0,0,0,0,0,26,1,0.32,../../../assets/TFT_set_data/set3/items/26.png,1.0
Zz'Rot Portal,9,8,7,3,4,6,4,3,27,44,14.01,../../../assets/TFT_set_data/set3/items/27.png,3.77
Infiltrator's Talons,0,0,1,0,0,0,0,0,28,1,0.32,../../../assets/TFT_set_data/set3/items/28.png,3.0
Last Whisper,1,0,0,0,0,0,0,0,29,1,0.32,../../../assets/TFT_set_data/set3/items/29.png,1.0
Rabadon's Deathcap,1,0,0,0,0,0,0,0,33,1,0.32,../../../assets/TFT_set_data/set3/items/33.png,1.0
Luden's Echo,0,0,0,0,0,0,0,0,34,0,0.0,../../../assets/TFT_set_data/set3/items/34.png,0.0
Locket of the Iron Solari,2,1,0,2,0,1,0,0,35,6,1.91,../../../assets/TFT_set_data/set3/items/35.png,3.0
Ionic Spark,7,3,4,1,3,6,1,2,36,27,8.6,../../../assets/TFT_set_data/set3/items/36.png,3.81
Morellonomicon,0,0,0,0,0,0,0,0,37,0,0.0,../../../assets/TFT_set_data/set3/items/37.png,0.0
Demolitionist's Charge,0,0,0,0,0,0,0,0,38,0,0.0,../../../assets/TFT_set_data/set3/items/38.png,0.0
Jeweled Gauntlet,0,0,0,0,0,0,0,0,39,0,0.0,../../../assets/TFT_set_data/set3/items/39.png,0.0
Seraph's Embrace,0,0,0,0,0,0,0,0,44,0,0.0,../../../assets/TFT_set_data/set3/items/44.png,0.0
Frozen Heart,0,1,2,1,0,2,0,3,45,9,2.87,../../../assets/TFT_set_data/set3/items/45.png,5.33
Chalice of Favor,0,0,0,0,0,0,0,0,46,0,0.0,../../../assets/TFT_set_data/set3/items/46.png,0.0
Redemption,1,0,1,1,1,0,0,1,47,5,1.59,../../../assets/TFT_set_data/set3/items/47.png,4.2
Star Guardian's Charm,0,0,0,0,0,0,0,0,48,0,0.0,../../../assets/TFT_set_data/set3/items/48.png,0.0
Hand Of Justice,0,0,0,0,0,0,0,0,49,0,0.0,../../../assets/TFT_set_data/set3/items/49.png,0.0
Bramble Vest,6,6,6,3,5,7,4,2,55,39,12.42,../../../assets/TFT_set_data/set3/items/55.png,4.08
Sword Breaker,0,0,0,0,0,0,0,0,56,0,0.0,../../../assets/TFT_set_data/set3/items/56.png,0.0
Red Buff,0,0,2,0,0,0,0,0,57,2,0.64,../../../assets/TFT_set_data/set3/items/57.png,3.0
Rebel Medal,0,0,0,0,0,0,0,0,58,0,0.0,../../../assets/TFT_set_data/set3/items/58.png,0.0
Shroud of Stillness,5,3,3,2,1,1,0,2,59,17,5.41,../../../assets/TFT_set_data/set3/items/59.png,3.24
Dragon's Claw,5,1,2,2,1,1,1,3,66,16,5.1,../../../assets/TFT_set_data/set3/items/66.png,3.94
Zephyr,11,8,3,3,2,5,1,2,67,35,11.15,../../../assets/TFT_set_data/set3/items/67.png,3.17
Celestial Orb,2,1,1,0,0,0,0,0,68,4,1.27,../../../assets/TFT_set_data/set3/items/68.png,1.75
Quicksilver,1,0,1,0,0,0,0,0,69,2,0.64,../../../assets/TFT_set_data/set3/items/69.png,2.0
