item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,1,0,0,0,0,1,1,0.37,../../../assets/TFT_set_data/set3/items/01.png,4.0
Recurve Bow,0,1,0,0,0,1,0,1,2,3,1.12,../../../assets/TFT_set_data/set3/items/02.png,5.33
Needlessly Large Rod,0,0,0,1,1,1,0,0,3,3,1.12,../../../assets/TFT_set_data/set3/items/03.png,5.0
Tear of the Goddess,1,0,0,0,1,1,1,1,4,5,1.87,../../../assets/TFT_set_data/set3/items/04.png,5.4
Chain Vest,0,0,0,0,0,0,0,0,5,0,0.0,../../../assets/TFT_set_data/set3/items/05.png,0.0
Negatron Cloak,0,0,1,0,0,2,0,0,6,3,1.12,../../../assets/TFT_set_data/set3/items/06.png,5.0
Giant's Belt,0,1,0,0,1,1,0,1,7,4,1.5,../../../assets/TFT_set_data/set3/items/07.png,5.25
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,0,0,0,0,0,0,0,9,0,0.0,../../../assets/TFT_set_data/set3/items/09.png,0.0
Deathblade,0,0,0,0,0,0,0,1,11,1,0.37,../../../assets/TFT_set_data/set3/items/11.png,8.0
Giant Slayer,0,0,0,0,0,0,1,0,12,1,0.37,../../../assets/TFT_set_data/set3/items/12.png,7.0
Hextech Gunblade,0,0,0,1,0,0,0,0,13,1,0.37,../../../assets/TFT_set_data/set3/items/13.png,4.0
Spear of Shojin,4,4,4,2,6,9,6,5,14,40,14.98,../../../assets/TFT_set_data/set3/items/14.png,4.95
Guardian Angel,0,1,0,0,0,0,0,1,15,2,0.75,../../../assets/TFT_set_data/set3/items/15.png,5.0
Bloodthirster,0,0,0,0,0,0,0,0,16,0,0.0,../../../assets/TFT_set_data/set3/items/16.png,0.0
Zeke's Herald,2,0,1,0,2,0,0,1,17,6,2.25,../../../assets/TFT_set_data/set3/items/17.png,3.83
Blade of the Ruined King,0,1,0,0,0,0,0,0,18,1,0.37,../../../assets/TFT_set_data/set3/items/18.png,2.0
Infinity Edge,0,0,0,0,0,0,0,0,19,0,0.0,../../../assets/TFT_set_data/set3/items/19.png,0.0
Rapid Firecannon,0,0,0,0,1,1,0,1,22,3,1.12,../../../assets/TFT_set_data/set3/items/22.png,6.33
Guinsoo's Rageblade,0,0,0,0,0,0,0,0,23,0,0.0,../../../assets/TFT_set_data/set3/items/23.png,0.0
Statikk Shiv,0,2,0,1,2,0,1,1,24,7,2.62,../../../assets/TFT_set_data/set3/items/24.png,4.71
Titan's Resolve,0,0,0,0,0,1,0,0,25,1,0.37,../../../assets/TFT_set_data/set3/items/25.png,6.0
Runaan's Hurricane,1,0,0,0,0,0,1,1,26,3,1.12,../../../assets/TFT_set_data/set3/items/26.png,5.33
Zz'Rot Portal,0,0,0,1,0,0,0,0,27,1,0.37,../../../assets/TFT_set_data/set3/items/27.png,4.0
Infiltrator's Talons,0,0,0,0,0,0,0,0,28,0,0.0,../../../assets/TFT_set_data/set3/items/28.png,0.0
Last Whisper,0,0,0,0,0,0,1,0,29,1,0.37,../../../assets/TFT_set_data/set3/items/29.png,7.0
Rabadon's Deathcap,0,0,0,0,1,0,0,0,33,1,0.37,../../../assets/TFT_set_data/set3/items/33.png,5.0
Luden's Echo,0,2,1,2,0,0,1,1,34,7,2.62,../../../assets/TFT_set_data/set3/items/34.png,4.29
Locket of the Iron Solari,0,4,1,0,2,0,0,0,35,7,2.62,../../../assets/TFT_set_data/set3/items/35.png,3.0
Ionic Spark,1,1,1,0,1,1,1,0,36,6,2.25,../../../assets/TFT_set_data/set3/items/36.png,4.0
Morellonomicon,8,6,6,4,6,8,1,2,37,41,15.36,../../../assets/TFT_set_data/set3/items/37.png,3.78
Demolitionist's Charge,0,0,1,1,0,0,0,0,38,2,0.75,../../../assets/TFT_set_data/set3/items/38.png,3.5
Jeweled Gauntlet,1,1,0,1,0,0,1,0,39,4,1.5,../../../assets/TFT_set_data/set3/items/39.png,3.5
