item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,1,0,0,1,0,0,1,2,0.58,../../../assets/TFT_set_data/set3/items/01.png,4.5
Recurve Bow,0,1,0,0,0,0,0,0,2,1,0.29,../../../assets/TFT_set_data/set3/items/02.png,2.0
Needlessly Large Rod,0,0,0,0,1,0,0,0,3,1,0.29,../../../assets/TFT_set_data/set3/items/03.png,5.0
Tear of the Goddess,0,0,0,1,3,0,0,1,4,5,1.44,../../../assets/TFT_set_data/set3/items/04.png,5.4
Chain Vest,1,3,2,2,2,0,1,1,5,12,3.46,../../../assets/TFT_set_data/set3/items/05.png,3.83
Negatron Cloak,0,0,2,2,1,0,2,2,6,9,2.59,../../../assets/TFT_set_data/set3/items/06.png,5.44
Giant's Belt,0,0,1,1,1,0,1,0,7,4,1.15,../../../assets/TFT_set_data/set3/items/07.png,4.75
Spatula,0,0,0,0,0,0,0,1,8,1,0.29,../../../assets/TFT_set_data/set3/items/08.png,8.0
Sparring Gloves,1,0,1,1,1,0,0,0,9,4,1.15,../../../assets/TFT_set_data/set3/items/09.png,3.25
Deathblade,0,0,0,0,0,0,0,0,11,0,0.0,../../../assets/TFT_set_data/set3/items/11.png,0.0
Giant Slayer,0,0,0,0,0,0,0,0,12,0,0.0,../../../assets/TFT_set_data/set3/items/12.png,0.0
Hextech Gunblade,0,0,0,0,0,0,0,0,13,0,0.0,../../../assets/TFT_set_data/set3/items/13.png,0.0
Spear of Shojin,0,0,0,0,0,0,0,0,14,0,0.0,../../../assets/TFT_set_data/set3/items/14.png,0.0
Guardian Angel,1,0,1,0,0,2,1,1,15,6,1.73,../../../assets/TFT_set_data/set3/items/15.png,5.17
Bloodthirster,0,0,0,0,0,0,0,0,16,0,0.0,../../../assets/TFT_set_data/set3/items/16.png,0.0
Zeke's Herald,0,2,0,1,0,0,0,0,17,3,0.86,../../../assets/TFT_set_data/set3/items/17.png,2.67
Blade of the Ruined King,0,0,0,0,0,0,0,0,18,0,0.0,../../../assets/TFT_set_data/set3/items/18.png,0.0
Infinity Edge,0,0,0,0,1,0,0,0,19,1,0.29,../../../assets/TFT_set_data/set3/items/19.png,5.0
Rapid Firecannon,0,0,1,0,0,0,0,0,22,1,0.29,../../../assets/TFT_set_data/set3/items/22.png,3.0
Guinsoo's Rageblade,0,0,0,1,0,0,0,0,23,1,0.29,../../../assets/TFT_set_data/set3/items/23.png,4.0
Statikk Shiv,1,0,1,1,0,0,0,0,24,3,0.86,../../../assets/TFT_set_data/set3/items/24.png,2.67
Titan's Resolve,1,2,0,1,0,1,0,1,25,6,1.73,../../../assets/TFT_set_data/set3/items/25.png,3.83
Runaan's Hurricane,1,0,0,0,0,0,1,0,26,2,0.58,../../../assets/TFT_set_data/set3/items/26.png,4.0
Zz'Rot Portal,2,1,0,3,4,5,1,1,27,17,4.9,../../../assets/TFT_set_data/set3/items/27.png,4.76
Infiltrator's Talons,0,0,0,0,0,0,0,0,28,0,0.0,../../../assets/TFT_set_data/set3/items/28.png,0.0
Last Whisper,0,1,0,0,0,0,0,0,29,1,0.29,../../../assets/TFT_set_data/set3/items/29.png,2.0
Rabadon's Deathcap,0,0,0,0,0,0,0,0,33,0,0.0,../../../assets/TFT_set_data/set3/items/33.png,0.0
Luden's Echo,0,1,0,0,0,0,0,0,34,1,0.29,../../../assets/TFT_set_data/set3/items/34.png,2.0
Locket of the Iron Solari,2,1,2,2,1,1,1,0,35,10,2.88,../../../assets/TFT_set_data/set3/items/35.png,3.6
Ionic Spark,3,0,3,2,2,4,1,2,36,17,4.9,../../../assets/TFT_set_data/set3/items/36.png,4.53
Morellonomicon,0,0,0,0,0,0,0,0,37,0,0.0,../../../assets/TFT_set_data/set3/items/37.png,0.0
Demolitionist's Charge,0,0,0,0,0,0,0,0,38,0,0.0,../../../assets/TFT_set_data/set3/items/38.png,0.0
Jeweled Gauntlet,0,0,0,0,0,0,0,0,39,0,0.0,../../../assets/TFT_set_data/set3/items/39.png,0.0
Seraph's Embrace,0,0,0,0,0,0,0,0,44,0,0.0,../../../assets/TFT_set_data/set3/items/44.png,0.0
Frozen Heart,1,4,3,6,1,7,1,7,45,30,8.65,../../../assets/TFT_set_data/set3/items/45.png,5.07
Chalice of Favor,0,1,0,0,0,0,0,0,46,1,0.29,../../../assets/TFT_set_data/set3/items/46.png,2.0
Redemption,9,12,9,8,11,10,6,11,47,76,21.9,../../../assets/TFT_set_data/set3/items/47.png,4.43
