item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,0,0,0,0,1,0,0.0,../../../assets/TFT_set_data/set3/items/01.png,0.0
Recurve Bow,0,0,0,0,1,0,0,0,2,1,1.43,../../../assets/TFT_set_data/set3/items/02.png,5.0
Needlessly Large Rod,1,1,0,0,0,0,1,0,3,3,4.29,../../../assets/TFT_set_data/set3/items/03.png,3.33
Tear of the Goddess,0,0,1,1,0,0,0,0,4,2,2.86,../../../assets/TFT_set_data/set3/items/04.png,3.5
Chain Vest,0,0,0,0,1,0,0,0,5,1,1.43,../../../assets/TFT_set_data/set3/items/05.png,5.0
Negatron Cloak,0,0,0,0,0,0,1,1,6,2,2.86,../../../assets/TFT_set_data/set3/items/06.png,7.5
Giant's Belt,0,1,0,0,0,0,0,0,7,1,1.43,../../../assets/TFT_set_data/set3/items/07.png,2.0
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,0,0,0,0,0,0,0,9,0,0.0,../../../assets/TFT_set_data/set3/items/09.png,0.0
Deathblade,0,0,0,0,0,0,0,0,11,0,0.0,../../../assets/TFT_set_data/set3/items/11.png,0.0
Giant Slayer,0,0,0,0,0,0,0,0,12,0,0.0,../../../assets/TFT_set_data/set3/items/12.png,0.0
Hextech Gunblade,0,0,0,0,0,0,0,0,13,0,0.0,../../../assets/TFT_set_data/set3/items/13.png,0.0
Spear of Shojin,0,0,1,0,0,0,0,0,14,1,1.43,../../../assets/TFT_set_data/set3/items/14.png,3.0
Guardian Angel,1,0,0,1,0,0,0,0,15,2,2.86,../../../assets/TFT_set_data/set3/items/15.png,2.5
Bloodthirster,0,0,0,0,0,0,0,0,16,0,0.0,../../../assets/TFT_set_data/set3/items/16.png,0.0
Zeke's Herald,0,0,3,2,1,1,2,0,17,9,12.86,../../../assets/TFT_set_data/set3/items/17.png,4.67
Blade of the Ruined King,0,1,2,0,0,0,0,0,18,3,4.29,../../../assets/TFT_set_data/set3/items/18.png,2.67
Infinity Edge,0,0,0,0,0,0,0,0,19,0,0.0,../../../assets/TFT_set_data/set3/items/19.png,0.0
Rapid Firecannon,0,0,0,0,0,0,0,0,22,0,0.0,../../../assets/TFT_set_data/set3/items/22.png,0.0
Guinsoo's Rageblade,0,1,0,0,0,0,0,0,23,1,1.43,../../../assets/TFT_set_data/set3/items/23.png,2.0
Statikk Shiv,0,0,0,0,1,0,0,0,24,1,1.43,../../../assets/TFT_set_data/set3/items/24.png,5.0
Titan's Resolve,0,0,0,0,0,0,0,0,25,0,0.0,../../../assets/TFT_set_data/set3/items/25.png,0.0
Runaan's Hurricane,0,0,0,0,0,0,0,0,26,0,0.0,../../../assets/TFT_set_data/set3/items/26.png,0.0
Zz'Rot Portal,0,0,0,0,0,0,0,0,27,0,0.0,../../../assets/TFT_set_data/set3/items/27.png,0.0
Infiltrator's Talons,0,0,0,0,0,0,0,0,28,0,0.0,../../../assets/TFT_set_data/set3/items/28.png,0.0
Last Whisper,0,0,0,0,0,0,0,0,29,0,0.0,../../../assets/TFT_set_data/set3/items/29.png,0.0
Rabadon's Deathcap,0,0,0,0,0,0,0,0,33,0,0.0,../../../assets/TFT_set_data/set3/items/33.png,0.0
Luden's Echo,0,0,0,0,0,0,0,0,34,0,0.0,../../../assets/TFT_set_data/set3/items/34.png,0.0
Locket of the Iron Solari,1,0,0,1,1,0,0,0,35,3,4.29,../../../assets/TFT_set_data/set3/items/35.png,3.33
Ionic Spark,0,0,0,0,1,0,0,0,36,1,1.43,../../../assets/TFT_set_data/set3/items/36.png,5.0
Morellonomicon,0,0,0,0,0,0,0,0,37,0,0.0,../../../assets/TFT_set_data/set3/items/37.png,0.0
Demolitionist's Charge,0,0,0,0,0,0,0,0,38,0,0.0,../../../assets/TFT_set_data/set3/items/38.png,0.0
Jeweled Gauntlet,1,0,0,0,0,0,0,1,39,2,2.86,../../../assets/TFT_set_data/set3/items/39.png,4.5
Seraph's Embrace,0,1,2,0,1,0,0,2,44,6,8.57,../../../assets/TFT_set_data/set3/items/44.png,4.83
Frozen Heart,0,0,0,0,0,0,0,0,45,0,0.0,../../../assets/TFT_set_data/set3/items/45.png,0.0
Chalice of Favor,0,0,0,0,0,0,0,0,46,0,0.0,../../../assets/TFT_set_data/set3/items/46.png,0.0
Redemption,1,0,0,0,0,0,0,0,47,1,1.43,../../../assets/TFT_set_data/set3/items/47.png,1.0
Star Guardian's Charm,0,0,0,0,0,0,0,0,48,0,0.0,../../../assets/TFT_set_data/set3/items/48.png,0.0
Hand Of Justice,0,0,0,0,0,1,0,0,49,1,1.43,../../../assets/TFT_set_data/set3/items/49.png,6.0
Bramble Vest,0,0,0,0,0,0,0,0,55,0,0.0,../../../assets/TFT_set_data/set3/items/55.png,0.0
Sword Breaker,0,0,0,0,0,0,0,0,56,0,0.0,../../../assets/TFT_set_data/set3/items/56.png,0.0
Red Buff,0,1,0,0,0,0,0,0,57,1,1.43,../../../assets/TFT_set_data/set3/items/57.png,2.0
Rebel Medal,0,0,1,0,0,0,0,0,58,1,1.43,../../../assets/TFT_set_data/set3/items/58.png,3.0
Shroud of Stillness,0,1,1,0,2,0,0,0,59,4,5.71,../../../assets/TFT_set_data/set3/items/59.png,3.75
Dragon's Claw,0,0,1,0,0,0,0,0,66,1,1.43,../../../assets/TFT_set_data/set3/items/66.png,3.0
Zephyr,1,6,2,1,0,3,1,1,67,15,21.43,../../../assets/TFT_set_data/set3/items/67.png,3.73
Celestial Orb,1,0,0,0,0,0,0,0,68,1,1.43,../../../assets/TFT_set_data/set3/items/68.png,1.0
