item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,0,0,0,0,1,0,0.0,../../../assets/TFT_set_data/set3/items/01.png,0.0
Recurve Bow,0,0,0,0,0,0,0,0,2,0,0.0,../../../assets/TFT_set_data/set3/items/02.png,0.0
Needlessly Large Rod,0,0,0,0,0,0,0,0,3,0,0.0,../../../assets/TFT_set_data/set3/items/03.png,0.0
Tear of the Goddess,0,0,0,0,0,0,0,0,4,0,0.0,../../../assets/TFT_set_data/set3/items/04.png,0.0
Chain Vest,0,0,0,0,0,0,0,0,5,0,0.0,../../../assets/TFT_set_data/set3/items/05.png,0.0
Negatron Cloak,0,0,0,0,0,0,0,0,6,0,0.0,../../../assets/TFT_set_data/set3/items/06.png,0.0
Giant's Belt,0,0,0,0,0,0,0,0,7,0,0.0,../../../assets/TFT_set_data/set3/items/07.png,0.0
Spatula,0,0,0,1,0,0,0,0,8,1,1.52,../../../assets/TFT_set_data/set3/items/08.png,4.0
Sparring Gloves,0,0,0,0,0,0,0,0,9,0,0.0,../../../assets/TFT_set_data/set3/items/09.png,0.0
Deathblade,0,0,0,0,0,0,0,1,11,1,1.52,../../../assets/TFT_set_data/set3/items/11.png,8.0
Giant Slayer,1,0,0,0,0,0,0,0,12,1,1.52,../../../assets/TFT_set_data/set3/items/12.png,1.0
Hextech Gunblade,0,0,1,0,0,0,0,0,13,1,1.52,../../../assets/TFT_set_data/set3/items/13.png,3.0
Spear of Shojin,0,0,1,0,1,1,1,0,14,4,6.06,../../../assets/TFT_set_data/set3/items/14.png,5.25
Guardian Angel,0,0,1,0,0,0,1,0,15,2,3.03,../../../assets/TFT_set_data/set3/items/15.png,5.0
Bloodthirster,0,0,0,0,0,1,0,0,16,1,1.52,../../../assets/TFT_set_data/set3/items/16.png,6.0
Zeke's Herald,1,0,0,2,0,0,0,0,17,3,4.55,../../../assets/TFT_set_data/set3/items/17.png,3.0
Blade of the Ruined King,0,0,0,0,0,0,0,0,18,0,0.0,../../../assets/TFT_set_data/set3/items/18.png,0.0
Infinity Edge,1,0,0,0,0,0,0,0,19,1,1.52,../../../assets/TFT_set_data/set3/items/19.png,1.0
Rapid Firecannon,0,0,0,0,0,1,0,0,22,1,1.52,../../../assets/TFT_set_data/set3/items/22.png,6.0
Guinsoo's Rageblade,0,0,1,0,0,0,0,1,23,2,3.03,../../../assets/TFT_set_data/set3/items/23.png,5.5
Statikk Shiv,0,0,0,0,0,0,0,0,24,0,0.0,../../../assets/TFT_set_data/set3/items/24.png,0.0
Titan's Resolve,1,0,0,0,0,0,0,0,25,1,1.52,../../../assets/TFT_set_data/set3/items/25.png,1.0
Runaan's Hurricane,0,0,1,0,1,0,1,0,26,3,4.55,../../../assets/TFT_set_data/set3/items/26.png,5.0
Zz'Rot Portal,0,0,0,0,0,0,0,0,27,0,0.0,../../../assets/TFT_set_data/set3/items/27.png,0.0
Infiltrator's Talons,0,0,0,0,0,0,0,0,28,0,0.0,../../../assets/TFT_set_data/set3/items/28.png,0.0
Last Whisper,0,0,0,0,0,0,0,0,29,0,0.0,../../../assets/TFT_set_data/set3/items/29.png,0.0
Rabadon's Deathcap,0,0,0,2,1,0,0,1,33,4,6.06,../../../assets/TFT_set_data/set3/items/33.png,5.25
Luden's Echo,1,0,3,0,0,0,0,0,34,4,6.06,../../../assets/TFT_set_data/set3/items/34.png,2.5
Locket of the Iron Solari,0,0,0,0,0,0,1,0,35,1,1.52,../../../assets/TFT_set_data/set3/items/35.png,7.0
Ionic Spark,0,0,0,0,0,0,0,1,36,1,1.52,../../../assets/TFT_set_data/set3/items/36.png,8.0
Morellonomicon,0,0,0,0,0,0,0,0,37,0,0.0,../../../assets/TFT_set_data/set3/items/37.png,0.0
Demolitionist's Charge,0,0,0,0,0,0,0,0,38,0,0.0,../../../assets/TFT_set_data/set3/items/38.png,0.0
Jeweled Gauntlet,0,0,1,1,1,0,2,0,39,5,7.58,../../../assets/TFT_set_data/set3/items/39.png,5.2
Seraph's Embrace,0,0,1,4,2,1,4,1,44,13,19.7,../../../assets/TFT_set_data/set3/items/44.png,5.46
Frozen Heart,0,0,0,0,0,0,0,0,45,0,0.0,../../../assets/TFT_set_data/set3/items/45.png,0.0
Chalice of Favor,2,0,0,1,0,0,0,0,46,3,4.55,../../../assets/TFT_set_data/set3/items/46.png,2.0
Redemption,0,0,0,0,0,0,0,0,47,0,0.0,../../../assets/TFT_set_data/set3/items/47.png,0.0
Star Guardian's Charm,0,0,0,0,0,0,0,0,48,0,0.0,../../../assets/TFT_set_data/set3/items/48.png,0.0
Hand Of Justice,0,0,0,0,0,0,0,0,49,0,0.0,../../../assets/TFT_set_data/set3/items/49.png,0.0
Bramble Vest,0,0,0,0,0,0,0,0,55,0,0.0,../../../assets/TFT_set_data/set3/items/55.png,0.0
Sword Breaker,1,0,0,0,0,0,0,0,56,1,1.52,../../../assets/TFT_set_data/set3/items/56.png,1.0
Red Buff,0,0,0,0,0,0,0,0,57,0,0.0,../../../assets/TFT_set_data/set3/items/57.png,0.0
Rebel Medal,0,0,0,0,0,0,0,0,58,0,0.0,../../../assets/TFT_set_data/set3/items/58.png,0.0
Shroud of Stillness,0,0,0,1,0,0,0,0,59,1,1.52,../../../assets/TFT_set_data/set3/items/59.png,4.0
Dragon's Claw,0,0,0,0,0,0,1,0,66,1,1.52,../../../assets/TFT_set_data/set3/items/66.png,7.0
Zephyr,0,0,0,0,0,0,0,0,67,0,0.0,../../../assets/TFT_set_data/set3/items/67.png,0.0
Celestial Orb,0,0,0,0,0,0,0,0,68,0,0.0,../../../assets/TFT_set_data/set3/items/68.png,0.0
Quicksilver,0,0,1,0,0,0,0,1,69,2,3.03,../../../assets/TFT_set_data/set3/items/69.png,5.5
