item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,1,0,0,0,1,1,0.28,../../../assets/TFT_set_data/set3/items/01.png,5.0
Recurve Bow,0,0,1,1,0,1,1,0,2,4,1.13,../../../assets/TFT_set_data/set3/items/02.png,5.0
Needlessly Large Rod,0,0,0,0,1,0,0,0,3,1,0.28,../../../assets/TFT_set_data/set3/items/03.png,5.0
Tear of the Goddess,0,0,1,4,2,0,3,0,4,10,2.83,../../../assets/TFT_set_data/set3/items/04.png,5.0
Chain Vest,0,1,1,0,0,0,0,0,5,2,0.57,../../../assets/TFT_set_data/set3/items/05.png,2.5
Negatron Cloak,1,1,0,0,1,1,2,0,6,6,1.7,../../../assets/TFT_set_data/set3/items/06.png,4.67
Giant's Belt,0,0,0,0,2,1,1,0,7,4,1.13,../../../assets/TFT_set_data/set3/items/07.png,5.75
Spatula,0,0,0,0,1,0,0,0,8,1,0.28,../../../assets/TFT_set_data/set3/items/08.png,5.0
Sparring Gloves,0,1,0,0,0,0,0,0,9,1,0.28,../../../assets/TFT_set_data/set3/items/09.png,2.0
Deathblade,1,0,0,0,0,0,0,0,11,1,0.28,../../../assets/TFT_set_data/set3/items/11.png,1.0
Giant Slayer,0,1,0,0,0,1,0,0,12,2,0.57,../../../assets/TFT_set_data/set3/items/12.png,4.0
Hextech Gunblade,1,0,0,0,0,1,0,0,13,2,0.57,../../../assets/TFT_set_data/set3/items/13.png,3.5
Spear of Shojin,7,5,6,5,2,3,0,2,14,30,8.5,../../../assets/TFT_set_data/set3/items/14.png,3.3
Guardian Angel,3,2,1,1,1,4,0,0,15,12,3.4,../../../assets/TFT_set_data/set3/items/15.png,3.58
Bloodthirster,0,1,1,0,2,1,0,0,16,5,1.42,../../../assets/TFT_set_data/set3/items/16.png,4.2
Zeke's Herald,0,2,2,2,1,1,0,1,17,9,2.55,../../../assets/TFT_set_data/set3/items/17.png,4.11
Blade of the Ruined King,0,2,1,3,2,1,0,0,18,9,2.55,../../../assets/TFT_set_data/set3/items/18.png,3.89
Infinity Edge,1,1,2,0,0,0,0,0,19,4,1.13,../../../assets/TFT_set_data/set3/items/19.png,2.25
Rapid Firecannon,0,1,2,0,2,1,0,0,22,6,1.7,../../../assets/TFT_set_data/set3/items/22.png,4.0
Guinsoo's Rageblade,0,0,1,1,0,1,0,0,23,3,0.85,../../../assets/TFT_set_data/set3/items/23.png,4.33
Statikk Shiv,2,3,0,1,3,1,0,0,24,10,2.83,../../../assets/TFT_set_data/set3/items/24.png,3.3
Titan's Resolve,0,1,0,0,1,0,1,0,25,3,0.85,../../../assets/TFT_set_data/set3/items/25.png,4.67
Runaan's Hurricane,2,3,4,1,1,1,1,1,26,14,3.97,../../../assets/TFT_set_data/set3/items/26.png,3.57
Zz'Rot Portal,0,0,0,0,0,1,1,0,27,2,0.57,../../../assets/TFT_set_data/set3/items/27.png,6.5
Infiltrator's Talons,0,1,0,0,0,0,0,0,28,1,0.28,../../../assets/TFT_set_data/set3/items/28.png,2.0
Last Whisper,0,0,0,0,0,0,0,0,29,0,0.0,../../../assets/TFT_set_data/set3/items/29.png,0.0
Rabadon's Deathcap,0,0,1,0,0,0,0,0,33,1,0.28,../../../assets/TFT_set_data/set3/items/33.png,3.0
Luden's Echo,0,0,0,0,1,0,1,0,34,2,0.57,../../../assets/TFT_set_data/set3/items/34.png,6.0
