item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,0,0,0,0,1,0,0.0,../../../assets/TFT_set_data/set3/items/01.png,0.0
Recurve Bow,0,3,2,2,1,1,3,1,2,13,4.91,../../../assets/TFT_set_data/set3/items/02.png,4.62
Needlessly Large Rod,2,0,0,1,0,0,0,3,3,6,2.26,../../../assets/TFT_set_data/set3/items/03.png,5.0
Tear of the Goddess,1,0,1,1,0,0,0,0,4,3,1.13,../../../assets/TFT_set_data/set3/items/04.png,2.67
Chain Vest,0,0,0,0,0,0,0,0,5,0,0.0,../../../assets/TFT_set_data/set3/items/05.png,0.0
Negatron Cloak,0,0,0,0,0,0,0,0,6,0,0.0,../../../assets/TFT_set_data/set3/items/06.png,0.0
Giant's Belt,0,0,0,0,0,0,0,0,7,0,0.0,../../../assets/TFT_set_data/set3/items/07.png,0.0
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,0,0,0,0,0,0,0,9,0,0.0,../../../assets/TFT_set_data/set3/items/09.png,0.0
Deathblade,0,0,0,0,0,1,0,1,11,2,0.75,../../../assets/TFT_set_data/set3/items/11.png,7.0
Giant Slayer,1,0,0,2,0,0,0,0,12,3,1.13,../../../assets/TFT_set_data/set3/items/12.png,3.0
Hextech Gunblade,1,0,1,2,0,2,0,0,13,6,2.26,../../../assets/TFT_set_data/set3/items/13.png,4.0
Spear of Shojin,1,1,4,2,2,5,5,5,14,25,9.43,../../../assets/TFT_set_data/set3/items/14.png,5.52
Guardian Angel,2,1,0,0,1,0,3,2,15,9,3.4,../../../assets/TFT_set_data/set3/items/15.png,5.11
Bloodthirster,1,0,1,0,0,0,0,0,16,2,0.75,../../../assets/TFT_set_data/set3/items/16.png,2.0
Zeke's Herald,0,1,1,1,0,0,0,0,17,3,1.13,../../../assets/TFT_set_data/set3/items/17.png,3.0
Blade of the Ruined King,0,0,0,0,0,1,0,0,18,1,0.38,../../../assets/TFT_set_data/set3/items/18.png,6.0
Infinity Edge,0,0,0,0,2,0,0,0,19,2,0.75,../../../assets/TFT_set_data/set3/items/19.png,5.0
