item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,1,1,0,0,1,2,0.17,../../../assets/TFT_set_data/set3/items/01.png,5.5
Recurve Bow,0,1,0,1,0,0,2,0,2,4,0.33,../../../assets/TFT_set_data/set3/items/02.png,5.0
Needlessly Large Rod,0,1,1,0,0,2,0,0,3,4,0.33,../../../assets/TFT_set_data/set3/items/03.png,4.25
Tear of the Goddess,0,0,1,4,2,1,0,1,4,9,0.74,../../../assets/TFT_set_data/set3/items/04.png,4.78
Chain Vest,0,0,1,4,3,2,4,6,5,20,1.65,../../../assets/TFT_set_data/set3/items/05.png,6.1
Negatron Cloak,0,1,1,3,2,1,5,3,6,16,1.32,../../../assets/TFT_set_data/set3/items/06.png,5.75
Giant's Belt,2,4,2,2,3,2,1,3,7,19,1.57,../../../assets/TFT_set_data/set3/items/07.png,4.32
Spatula,0,0,0,0,1,0,1,0,8,2,0.17,../../../assets/TFT_set_data/set3/items/08.png,6.0
Sparring Gloves,0,0,1,0,3,3,1,0,9,8,0.66,../../../assets/TFT_set_data/set3/items/09.png,5.38
Deathblade,0,0,0,1,0,1,1,1,11,4,0.33,../../../assets/TFT_set_data/set3/items/11.png,6.25
Giant Slayer,0,0,0,1,0,0,1,0,12,2,0.17,../../../assets/TFT_set_data/set3/items/12.png,5.5
Hextech Gunblade,1,0,1,1,2,0,2,1,13,8,0.66,../../../assets/TFT_set_data/set3/items/13.png,5.0
Spear of Shojin,0,0,1,0,2,0,0,0,14,3,0.25,../../../assets/TFT_set_data/set3/items/14.png,4.33
Guardian Angel,5,9,5,8,4,8,2,4,15,45,3.72,../../../assets/TFT_set_data/set3/items/15.png,4.09
Bloodthirster,0,0,0,1,1,0,1,0,16,3,0.25,../../../assets/TFT_set_data/set3/items/16.png,5.33
Zeke's Herald,0,0,1,0,0,1,1,0,17,3,0.25,../../../assets/TFT_set_data/set3/items/17.png,5.33
Blade of the Ruined King,0,0,0,1,0,1,0,0,18,2,0.17,../../../assets/TFT_set_data/set3/items/18.png,5.0
Infinity Edge,0,0,0,0,0,1,0,0,19,1,0.08,../../../assets/TFT_set_data/set3/items/19.png,6.0
Rapid Firecannon,0,0,1,0,0,1,0,0,22,2,0.17,../../../assets/TFT_set_data/set3/items/22.png,4.5
Guinsoo's Rageblade,1,0,1,0,1,0,0,0,23,3,0.25,../../../assets/TFT_set_data/set3/items/23.png,3.0
Statikk Shiv,2,1,0,1,2,0,0,0,24,6,0.5,../../../assets/TFT_set_data/set3/items/24.png,3.0
Titan's Resolve,2,7,8,3,2,4,3,2,25,31,2.56,../../../assets/TFT_set_data/set3/items/25.png,3.97
Runaan's Hurricane,0,0,0,1,1,0,0,0,26,2,0.17,../../../assets/TFT_set_data/set3/items/26.png,4.5
