item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,1,1,0,0,1,2,0.34,../../../assets/TFT_set_data/set3/items/01.png,5.5
Recurve Bow,0,0,0,0,1,0,0,0,2,1,0.17,../../../assets/TFT_set_data/set3/items/02.png,5.0
Needlessly Large Rod,0,0,0,0,0,0,0,0,3,0,0.0,../../../assets/TFT_set_data/set3/items/03.png,0.0
Tear of the Goddess,0,0,0,0,0,0,0,0,4,0,0.0,../../../assets/TFT_set_data/set3/items/04.png,0.0
Chain Vest,0,0,0,0,0,0,0,0,5,0,0.0,../../../assets/TFT_set_data/set3/items/05.png,0.0
Negatron Cloak,0,0,0,0,0,0,1,0,6,1,0.17,../../../assets/TFT_set_data/set3/items/06.png,7.0
Giant's Belt,0,0,0,0,0,0,0,0,7,0,0.0,../../../assets/TFT_set_data/set3/items/07.png,0.0
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,0,0,0,0,0,1,4,9,5,0.85,../../../assets/TFT_set_data/set3/items/09.png,7.8
Deathblade,16,11,13,14,15,7,11,11,11,98,16.58,../../../assets/TFT_set_data/set3/items/11.png,4.23
Giant Slayer,0,0,0,3,1,1,1,2,12,8,1.35,../../../assets/TFT_set_data/set3/items/12.png,5.75
Hextech Gunblade,1,0,0,0,0,0,0,1,13,2,0.34,../../../assets/TFT_set_data/set3/items/13.png,4.5
Spear of Shojin,0,0,0,0,0,0,0,0,14,0,0.0,../../../assets/TFT_set_data/set3/items/14.png,0.0
Guardian Angel,5,2,6,5,4,3,3,4,15,32,5.41,../../../assets/TFT_set_data/set3/items/15.png,4.31
Bloodthirster,0,0,2,0,0,2,0,0,16,4,0.68,../../../assets/TFT_set_data/set3/items/16.png,4.5
Zeke's Herald,1,0,1,0,1,0,0,0,17,3,0.51,../../../assets/TFT_set_data/set3/items/17.png,3.0
Blade of the Ruined King,0,0,0,0,0,0,0,0,18,0,0.0,../../../assets/TFT_set_data/set3/items/18.png,0.0
Infinity Edge,15,15,14,15,11,9,12,9,19,100,16.92,../../../assets/TFT_set_data/set3/items/19.png,4.12
Rapid Firecannon,1,1,2,0,0,1,0,0,22,5,0.85,../../../assets/TFT_set_data/set3/items/22.png,3.0
Guinsoo's Rageblade,0,3,0,1,2,1,1,0,23,8,1.35,../../../assets/TFT_set_data/set3/items/23.png,4.12
Statikk Shiv,1,0,0,0,2,1,0,0,24,4,0.68,../../../assets/TFT_set_data/set3/items/24.png,4.25
Titan's Resolve,0,0,1,0,0,0,0,0,25,1,0.17,../../../assets/TFT_set_data/set3/items/25.png,3.0
Runaan's Hurricane,9,5,7,6,6,6,6,5,26,50,8.46,../../../assets/TFT_set_data/set3/items/26.png,4.24
Zz'Rot Portal,0,0,0,0,0,0,0,0,27,0,0.0,../../../assets/TFT_set_data/set3/items/27.png,0.0
Infiltrator's Talons,0,0,0,0,0,0,1,0,28,1,0.17,../../../assets/TFT_set_data/set3/items/28.png,7.0
Last Whisper,20,17,16,24,18,9,18,14,29,136,23.01,../../../assets/TFT_set_data/set3/items/29.png,4.26
Rabadon's Deathcap,0,0,0,0,0,0,0,0,33,0,0.0,../../../assets/TFT_set_data/set3/items/33.png,0.0
Luden's Echo,0,0,0,0,0,0,0,0,34,0,0.0,../../../assets/TFT_set_data/set3/items/34.png,0.0
Locket of the Iron Solari,0,0,0,0,0,0,0,0,35,0,0.0,../../../assets/TFT_set_data/set3/items/35.png,0.0
Ionic Spark,0,0,0,0,0,1,0,0,36,1,0.17,../../../assets/TFT_set_data/set3/items/36.png,6.0
Morellonomicon,0,0,0,0,0,0,0,0,37,0,0.0,../../../assets/TFT_set_data/set3/items/37.png,0.0
Demolitionist's Charge,0,0,0,0,0,0,0,0,38,0,0.0,../../../assets/TFT_set_data/set3/items/38.png,0.0
Jeweled Gauntlet,0,0,0,0,0,0,0,0,39,0,0.0,../../../assets/TFT_set_data/set3/items/39.png,0.0
Seraph's Embrace,0,0,0,0,0,0,0,0,44,0,0.0,../../../assets/TFT_set_data/set3/items/44.png,0.0
Frozen Heart,0,0,0,0,0,0,0,0,45,0,0.0,../../../assets/TFT_set_data/set3/items/45.png,0.0
Chalice of Favor,0,0,0,0,0,0,0,0,46,0,0.0,../../../assets/TFT_set_data/set3/items/46.png,0.0
Redemption,0,0,0,0,0,0,0,0,47,0,0.0,../../../assets/TFT_set_data/set3/items/47.png,0.0
Star Guardian's Charm,0,0,0,0,0,0,0,0,48,0,0.0,../../../assets/TFT_set_data/set3/items/48.png,0.0
Hand Of Justice,0,2,0,0,0,0,2,0,49,4,0.68,../../../assets/TFT_set_data/set3/items/49.png,4.5
Bramble Vest,0,0,0,0,0,0,0,0,55,0,0.0,../../../assets/TFT_set_data/set3/items/55.png,0.0
Sword Breaker,3,1,0,0,0,0,0,0,56,4,0.68,../../../assets/TFT_set_data/set3/items/56.png,1.25
Red Buff,0,0,0,1,0,0,0,0,57,1,0.17,../../../assets/TFT_set_data/set3/items/57.png,4.0
Rebel Medal,0,0,0,0,0,0,0,0,58,0,0.0,../../../assets/TFT_set_data/set3/items/58.png,0.0
Shroud of Stillness,0,0,0,1,0,0,0,1,59,2,0.34,../../../assets/TFT_set_data/set3/items/59.png,6.0
Dragon's Claw,0,0,0,1,0,0,0,0,66,1,0.17,../../../assets/TFT_set_data/set3/items/66.png,4.0
Zephyr,1,1,1,2,2,2,1,1,67,11,1.86,../../../assets/TFT_set_data/set3/items/67.png,4.64
Celestial Orb,0,0,0,0,0,0,0,0,68,0,0.0,../../../assets/TFT_set_data/set3/items/68.png,0.0
Quicksilver,14,15,6,15,12,6,9,14,69,91,15.4,../../../assets/TFT_set_data/set3/items/69.png,4.32
Warmog's Armor,0,0,0,0,0,0,0,0,77,0,0.0,../../../assets/TFT_set_data/set3/items/77.png,0.0
Protector's Chestguard,0,0,0,0,0,0,0,0,78,0,0.0,../../../assets/TFT_set_data/set3/items/78.png,0.0
Trap Claw,3,3,1,2,3,0,2,1,79,15,2.54,../../../assets/TFT_set_data/set3/items/79.png,3.8
Force of Nature,0,0,0,0,0,0,0,0,88,0,0.0,../../../assets/TFT_set_data/set3/items/88.png,0.0
Dark Star's Heart,0,0,0,0,0,0,0,0,89,0,0.0,../../../assets/TFT_set_data/set3/items/89.png,0.0
Thief's Gloves,0,0,0,0,0,0,0,0,99,0,0.0,../../../assets/TFT_set_data/set3/items/99.png,0.0
