item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,0,0,0,0,1,0,0.0,../../../assets/TFT_set_data/set3/items/01.png,0.0
Recurve Bow,2,1,2,0,0,0,0,0,2,5,1.02,../../../assets/TFT_set_data/set3/items/02.png,2.0
Needlessly Large Rod,0,2,0,1,0,0,1,0,3,4,0.81,../../../assets/TFT_set_data/set3/items/03.png,3.75
Tear of the Goddess,0,0,0,0,0,0,0,1,4,1,0.2,../../../assets/TFT_set_data/set3/items/04.png,8.0
Chain Vest,0,0,0,0,0,0,0,0,5,0,0.0,../../../assets/TFT_set_data/set3/items/05.png,0.0
Negatron Cloak,0,0,0,0,0,0,0,0,6,0,0.0,../../../assets/TFT_set_data/set3/items/06.png,0.0
Giant's Belt,0,0,0,0,0,0,0,0,7,0,0.0,../../../assets/TFT_set_data/set3/items/07.png,0.0
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,0,0,0,0,0,0,0,9,0,0.0,../../../assets/TFT_set_data/set3/items/09.png,0.0
Deathblade,0,0,0,1,0,0,1,0,11,2,0.41,../../../assets/TFT_set_data/set3/items/11.png,5.5
Giant Slayer,0,0,1,0,1,0,0,0,12,2,0.41,../../../assets/TFT_set_data/set3/items/12.png,4.0
Hextech Gunblade,0,0,1,0,0,0,0,2,13,3,0.61,../../../assets/TFT_set_data/set3/items/13.png,6.33
Spear of Shojin,0,2,1,0,0,0,0,0,14,3,0.61,../../../assets/TFT_set_data/set3/items/14.png,2.33
Guardian Angel,1,1,4,1,1,1,3,0,15,12,2.44,../../../assets/TFT_set_data/set3/items/15.png,4.25
Bloodthirster,0,0,0,0,2,0,1,1,16,4,0.81,../../../assets/TFT_set_data/set3/items/16.png,6.25
Zeke's Herald,1,1,1,1,1,4,0,1,17,10,2.04,../../../assets/TFT_set_data/set3/items/17.png,4.7
Blade of the Ruined King,1,0,0,0,0,0,0,0,18,1,0.2,../../../assets/TFT_set_data/set3/items/18.png,1.0
Infinity Edge,0,0,0,0,0,0,0,0,19,0,0.0,../../../assets/TFT_set_data/set3/items/19.png,0.0
Rapid Firecannon,2,1,3,1,1,1,0,0,22,9,1.83,../../../assets/TFT_set_data/set3/items/22.png,3.11
Guinsoo's Rageblade,23,24,17,20,13,15,21,16,23,149,30.35,../../../assets/TFT_set_data/set3/items/23.png,4.24
Statikk Shiv,0,1,1,4,1,0,1,1,24,9,1.83,../../../assets/TFT_set_data/set3/items/24.png,4.56
Titan's Resolve,0,0,0,1,1,0,0,0,25,2,0.41,../../../assets/TFT_set_data/set3/items/25.png,4.5
Runaan's Hurricane,0,0,0,1,1,1,0,1,26,4,0.81,../../../assets/TFT_set_data/set3/items/26.png,5.75
Zz'Rot Portal,0,1,0,0,0,0,1,0,27,2,0.41,../../../assets/TFT_set_data/set3/items/27.png,4.5
Infiltrator's Talons,0,0,0,1,0,0,0,0,28,1,0.2,../../../assets/TFT_set_data/set3/items/28.png,4.0
Last Whisper,1,0,0,0,0,0,1,0,29,2,0.41,../../../assets/TFT_set_data/set3/items/29.png,4.0
Rabadon's Deathcap,9,3,4,6,3,3,4,2,33,34,6.92,../../../assets/TFT_set_data/set3/items/33.png,3.76
Luden's Echo,2,2,3,1,1,4,2,2,34,17,3.46,../../../assets/TFT_set_data/set3/items/34.png,4.59
Locket of the Iron Solari,1,0,1,0,0,0,1,0,35,3,0.61,../../../assets/TFT_set_data/set3/items/35.png,3.67
Ionic Spark,0,0,0,1,1,0,0,0,36,2,0.41,../../../assets/TFT_set_data/set3/items/36.png,4.5
Morellonomicon,1,6,0,4,2,2,4,5,37,24,4.89,../../../assets/TFT_set_data/set3/items/37.png,4.96
Demolitionist's Charge,0,1,0,2,1,0,0,0,38,4,0.81,../../../assets/TFT_set_data/set3/items/38.png,3.75
Jeweled Gauntlet,2,2,1,2,2,1,1,2,39,13,2.65,../../../assets/TFT_set_data/set3/items/39.png,4.31
Seraph's Embrace,0,0,0,1,2,0,0,2,44,5,1.02,../../../assets/TFT_set_data/set3/items/44.png,6.0
Frozen Heart,0,0,0,0,0,0,0,0,45,0,0.0,../../../assets/TFT_set_data/set3/items/45.png,0.0
Chalice of Favor,0,0,0,0,0,0,0,0,46,0,0.0,../../../assets/TFT_set_data/set3/items/46.png,0.0
Redemption,1,0,0,0,0,0,0,1,47,2,0.41,../../../assets/TFT_set_data/set3/items/47.png,4.5
Star Guardian's Charm,0,0,0,0,0,0,0,0,48,0,0.0,../../../assets/TFT_set_data/set3/items/48.png,0.0
Hand Of Justice,1,2,2,1,6,1,2,3,49,18,3.67,../../../assets/TFT_set_data/set3/items/49.png,4.94
Bramble Vest,0,0,0,1,0,0,0,0,55,1,0.2,../../../assets/TFT_set_data/set3/items/55.png,4.0
Sword Breaker,0,0,1,0,0,0,1,1,56,3,0.61,../../../assets/TFT_set_data/set3/items/56.png,6.0
Red Buff,0,1,1,0,1,0,0,1,57,4,0.81,../../../assets/TFT_set_data/set3/items/57.png,4.5
Rebel Medal,0,0,0,0,0,0,2,0,58,2,0.41,../../../assets/TFT_set_data/set3/items/58.png,7.0
Shroud of Stillness,0,0,0,0,0,0,0,0,59,0,0.0,../../../assets/TFT_set_data/set3/items/59.png,0.0
Dragon's Claw,0,0,0,0,0,0,0,0,66,0,0.0,../../../assets/TFT_set_data/set3/items/66.png,0.0
Zephyr,0,1,0,0,0,1,0,1,67,3,0.61,../../../assets/TFT_set_data/set3/items/67.png,5.33
Celestial Orb,0,0,1,0,0,1,0,0,68,2,0.41,../../../assets/TFT_set_data/set3/items/68.png,4.5
Quicksilver,16,15,8,13,12,10,13,12,69,99,20.16,../../../assets/TFT_set_data/set3/items/69.png,4.33
Warmog's Armor,0,0,0,0,0,0,0,0,77,0,0.0,../../../assets/TFT_set_data/set3/items/77.png,0.0
Protector's Chestguard,1,0,0,0,0,0,0,0,78,1,0.2,../../../assets/TFT_set_data/set3/items/78.png,1.0
Trap Claw,4,2,3,8,0,2,1,1,79,21,4.28,../../../assets/TFT_set_data/set3/items/79.png,3.62
Force of Nature,0,0,0,0,0,1,0,0,88,1,0.2,../../../assets/TFT_set_data/set3/items/88.png,6.0
Dark Star's Heart,0,0,0,0,0,0,0,0,89,0,0.0,../../../assets/TFT_set_data/set3/items/89.png,0.0
Thief's Gloves,1,0,0,1,1,1,1,2,99,7,1.43,../../../assets/TFT_set_data/set3/items/99.png,5.57
