item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,1,1,2,0,0,1,4,3.01,../../../assets/TFT_set_data/set3/items/01.png,5.25
Recurve Bow,1,0,0,0,0,1,1,1,2,4,3.01,../../../assets/TFT_set_data/set3/items/02.png,5.5
Needlessly Large Rod,0,0,0,0,0,0,1,0,3,1,0.75,../../../assets/TFT_set_data/set3/items/03.png,7.0
Tear of the Goddess,0,0,0,0,0,0,0,0,4,0,0.0,../../../assets/TFT_set_data/set3/items/04.png,0.0
Chain Vest,0,0,1,0,0,0,1,0,5,2,1.5,../../../assets/TFT_set_data/set3/items/05.png,5.0
Negatron Cloak,0,0,0,0,0,0,1,0,6,1,0.75,../../../assets/TFT_set_data/set3/items/06.png,7.0
Giant's Belt,0,0,0,0,1,0,0,1,7,2,1.5,../../../assets/TFT_set_data/set3/items/07.png,6.5
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,1,0,1,1,0,0,0,1,9,4,3.01,../../../assets/TFT_set_data/set3/items/09.png,4.0
Deathblade,1,0,1,0,0,0,0,1,11,3,2.26,../../../assets/TFT_set_data/set3/items/11.png,4.0
Giant Slayer,0,1,1,3,0,2,0,0,12,7,5.26,../../../assets/TFT_set_data/set3/items/12.png,4.14
Hextech Gunblade,0,0,0,0,0,0,0,0,13,0,0.0,../../../assets/TFT_set_data/set3/items/13.png,0.0
Spear of Shojin,0,0,0,2,1,0,1,0,14,4,3.01,../../../assets/TFT_set_data/set3/items/14.png,5.0
Guardian Angel,0,1,0,1,0,0,0,0,15,2,1.5,../../../assets/TFT_set_data/set3/items/15.png,3.0
Bloodthirster,1,1,0,1,0,0,0,0,16,3,2.26,../../../assets/TFT_set_data/set3/items/16.png,2.33
Zeke's Herald,1,2,3,1,0,1,0,1,17,9,6.77,../../../assets/TFT_set_data/set3/items/17.png,3.56
Blade of the Ruined King,0,0,0,0,0,0,0,0,18,0,0.0,../../../assets/TFT_set_data/set3/items/18.png,0.0
Infinity Edge,0,1,1,0,0,0,2,0,19,4,3.01,../../../assets/TFT_set_data/set3/items/19.png,4.75
Rapid Firecannon,0,0,0,0,0,0,0,0,22,0,0.0,../../../assets/TFT_set_data/set3/items/22.png,0.0
Guinsoo's Rageblade,0,1,0,0,1,0,0,0,23,2,1.5,../../../assets/TFT_set_data/set3/items/23.png,3.5
Statikk Shiv,0,0,0,0,0,0,0,0,24,0,0.0,../../../assets/TFT_set_data/set3/items/24.png,0.0
Titan's Resolve,0,1,1,0,0,0,0,0,25,2,1.5,../../../assets/TFT_set_data/set3/items/25.png,2.5
Runaan's Hurricane,1,0,0,1,1,0,0,0,26,3,2.26,../../../assets/TFT_set_data/set3/items/26.png,3.33
Zz'Rot Portal,0,6,1,1,2,0,1,0,27,11,8.27,../../../assets/TFT_set_data/set3/items/27.png,3.27
Infiltrator's Talons,0,0,0,0,0,0,0,0,28,0,0.0,../../../assets/TFT_set_data/set3/items/28.png,0.0
Last Whisper,1,0,1,1,0,0,0,0,29,3,2.26,../../../assets/TFT_set_data/set3/items/29.png,2.67
Rabadon's Deathcap,0,0,0,0,0,0,1,0,33,1,0.75,../../../assets/TFT_set_data/set3/items/33.png,7.0
Luden's Echo,0,0,0,0,0,1,0,0,34,1,0.75,../../../assets/TFT_set_data/set3/items/34.png,6.0
Locket of the Iron Solari,0,0,0,0,0,2,0,0,35,2,1.5,../../../assets/TFT_set_data/set3/items/35.png,6.0
Ionic Spark,1,0,0,0,0,1,0,0,36,2,1.5,../../../assets/TFT_set_data/set3/items/36.png,3.5
Morellonomicon,0,0,0,0,0,1,1,0,37,2,1.5,../../../assets/TFT_set_data/set3/items/37.png,6.5
Demolitionist's Charge,0,0,0,0,0,0,0,0,38,0,0.0,../../../assets/TFT_set_data/set3/items/38.png,0.0
Jeweled Gauntlet,0,0,0,0,1,1,0,0,39,2,1.5,../../../assets/TFT_set_data/set3/items/39.png,5.5
Seraph's Embrace,0,0,0,0,0,0,0,0,44,0,0.0,../../../assets/TFT_set_data/set3/items/44.png,0.0
Frozen Heart,2,1,1,0,1,0,0,0,45,5,3.76,../../../assets/TFT_set_data/set3/items/45.png,2.4
Chalice of Favor,1,0,0,0,0,0,0,0,46,1,0.75,../../../assets/TFT_set_data/set3/items/46.png,1.0
Redemption,1,1,0,1,2,0,3,1,47,9,6.77,../../../assets/TFT_set_data/set3/items/47.png,5.11
Star Guardian's Charm,0,0,0,0,0,0,0,0,48,0,0.0,../../../assets/TFT_set_data/set3/items/48.png,0.0
Hand Of Justice,1,0,0,2,0,2,0,0,49,5,3.76,../../../assets/TFT_set_data/set3/items/49.png,4.2
Bramble Vest,1,0,0,0,0,0,0,0,55,1,0.75,../../../assets/TFT_set_data/set3/items/55.png,1.0
Sword Breaker,1,0,0,0,0,0,0,0,56,1,0.75,../../../assets/TFT_set_data/set3/items/56.png,1.0
Red Buff,1,1,2,0,0,0,0,0,57,4,3.01,../../../assets/TFT_set_data/set3/items/57.png,2.25
Rebel Medal,0,0,0,0,0,0,0,0,58,0,0.0,../../../assets/TFT_set_data/set3/items/58.png,0.0
Shroud of Stillness,0,0,1,1,0,0,2,0,59,4,3.01,../../../assets/TFT_set_data/set3/items/59.png,5.25
Dragon's Claw,0,1,0,0,0,0,0,0,66,1,0.75,../../../assets/TFT_set_data/set3/items/66.png,2.0
Zephyr,0,1,0,0,1,0,2,0,67,4,3.01,../../../assets/TFT_set_data/set3/items/67.png,5.25
Celestial Orb,0,0,0,0,1,0,0,0,68,1,0.75,../../../assets/TFT_set_data/set3/items/68.png,5.0
Quicksilver,0,0,0,0,0,0,0,0,69,0,0.0,../../../assets/TFT_set_data/set3/items/69.png,0.0
Warmog's Armor,1,0,0,0,0,0,0,0,77,1,0.75,../../../assets/TFT_set_data/set3/items/77.png,1.0
Protector's Chestguard,0,0,0,0,0,0,0,0,78,0,0.0,../../../assets/TFT_set_data/set3/items/78.png,0.0
Trap Claw,1,0,0,1,1,0,0,0,79,3,2.26,../../../assets/TFT_set_data/set3/items/79.png,3.33
Force of Nature,0,0,0,0,0,0,0,0,88,0,0.0,../../../assets/TFT_set_data/set3/items/88.png,0.0
Dark Star's Heart,0,0,0,1,0,0,0,0,89,1,0.75,../../../assets/TFT_set_data/set3/items/89.png,4.0
Thief's Gloves,2,0,2,1,1,3,2,0,99,11,8.27,../../../assets/TFT_set_data/set3/items/99.png,4.45
