item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,0,0,0,0,1,0,0.0,../../../assets/TFT_set_data/set3/items/01.png,0.0
Recurve Bow,2,0,1,0,0,1,0,0,2,4,0.77,../../../assets/TFT_set_data/set3/items/02.png,2.75
Needlessly Large Rod,0,1,1,0,0,0,0,2,3,4,0.77,../../../assets/TFT_set_data/set3/items/03.png,5.25
Tear of the Goddess,3,1,1,3,3,0,3,4,4,18,3.47,../../../assets/TFT_set_data/set3/items/04.png,4.89
Chain Vest,0,0,0,0,0,0,0,1,5,1,0.19,../../../assets/TFT_set_data/set3/items/05.png,8.0
Negatron Cloak,0,0,0,0,0,0,0,1,6,1,0.19,../../../assets/TFT_set_data/set3/items/06.png,8.0
Giant's Belt,0,0,0,0,0,0,0,0,7,0,0.0,../../../assets/TFT_set_data/set3/items/07.png,0.0
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,0,0,0,0,0,0,0,9,0,0.0,../../../assets/TFT_set_data/set3/items/09.png,0.0
Deathblade,0,0,0,0,0,0,0,0,11,0,0.0,../../../assets/TFT_set_data/set3/items/11.png,0.0
Giant Slayer,0,0,0,0,0,0,0,0,12,0,0.0,../../../assets/TFT_set_data/set3/items/12.png,0.0
Hextech Gunblade,0,0,0,0,0,0,0,0,13,0,0.0,../../../assets/TFT_set_data/set3/items/13.png,0.0
Spear of Shojin,1,0,1,0,0,0,1,0,14,3,0.58,../../../assets/TFT_set_data/set3/items/14.png,3.67
Guardian Angel,0,3,0,1,0,0,1,0,15,5,0.97,../../../assets/TFT_set_data/set3/items/15.png,3.4
Bloodthirster,0,0,0,0,0,0,0,0,16,0,0.0,../../../assets/TFT_set_data/set3/items/16.png,0.0
Zeke's Herald,1,0,1,1,1,1,0,0,17,5,0.97,../../../assets/TFT_set_data/set3/items/17.png,3.8
Blade of the Ruined King,0,0,0,0,0,0,0,0,18,0,0.0,../../../assets/TFT_set_data/set3/items/18.png,0.0
Infinity Edge,0,0,0,0,0,0,0,0,19,0,0.0,../../../assets/TFT_set_data/set3/items/19.png,0.0
Rapid Firecannon,0,0,0,0,0,0,0,0,22,0,0.0,../../../assets/TFT_set_data/set3/items/22.png,0.0
Guinsoo's Rageblade,0,0,0,0,0,0,0,0,23,0,0.0,../../../assets/TFT_set_data/set3/items/23.png,0.0
Statikk Shiv,3,1,0,0,0,0,1,1,24,6,1.16,../../../assets/TFT_set_data/set3/items/24.png,3.33
Titan's Resolve,0,0,0,0,0,0,0,0,25,0,0.0,../../../assets/TFT_set_data/set3/items/25.png,0.0
Runaan's Hurricane,1,0,0,0,0,0,0,1,26,2,0.39,../../../assets/TFT_set_data/set3/items/26.png,4.5
