item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,1,0,1,2,1,1,0,1,6,0.81,../../../../assets/TFT_set_data/set3/items/01.png,4.83
Recurve Bow,3,0,0,0,3,2,1,0,2,9,1.22,../../../../assets/TFT_set_data/set3/items/02.png,4.11
Needlessly Large Rod,4,3,1,0,3,1,3,4,3,19,2.57,../../../../assets/TFT_set_data/set3/items/03.png,4.58
Tear of the Goddess,1,5,2,6,5,1,2,4,4,26,3.52,../../../../assets/TFT_set_data/set3/items/04.png,4.54
Chain Vest,1,1,4,3,3,4,3,0,5,19,2.57,../../../../assets/TFT_set_data/set3/items/05.png,4.58
Negatron Cloak,2,1,2,5,3,4,2,1,6,20,2.71,../../../../assets/TFT_set_data/set3/items/06.png,4.55
Giant's Belt,4,3,2,2,2,2,1,0,7,16,2.17,../../../../assets/TFT_set_data/set3/items/07.png,3.31
Spatula,0,0,0,1,0,3,0,0,8,4,0.54,../../../../assets/TFT_set_data/set3/items/08.png,5.5
Sparring Gloves,0,1,1,0,0,0,1,1,9,4,0.54,../../../../assets/TFT_set_data/set3/items/09.png,5.0
Deathblade,1,0,0,0,1,0,0,0,11,2,0.27,../../../../assets/TFT_set_data/set3/items/11.png,3.0
Giant Slayer,0,1,0,0,1,2,1,0,12,5,0.68,../../../../assets/TFT_set_data/set3/items/12.png,5.2
Hextech Gunblade,1,0,2,0,0,0,0,0,13,3,0.41,../../../../assets/TFT_set_data/set3/items/13.png,2.33
Spear of Shojin,0,4,0,0,0,0,0,0,14,4,0.54,../../../../assets/TFT_set_data/set3/items/14.png,2.0
Guardian Angel,3,1,0,2,0,1,3,1,15,11,1.49,../../../../assets/TFT_set_data/set3/items/15.png,4.36
Bloodthirster,0,0,0,1,0,0,0,0,16,1,0.14,../../../../assets/TFT_set_data/set3/items/16.png,4.0
Zeke's Herald,2,1,0,0,1,0,2,0,17,6,0.81,../../../../assets/TFT_set_data/set3/items/17.png,3.83
Blade of the Ruined King,0,0,0,0,0,0,0,0,18,0,0.0,../../../../assets/TFT_set_data/set3/items/18.png,0.0
Infinity Edge,0,0,0,0,0,0,0,0,19,0,0.0,../../../../assets/TFT_set_data/set3/items/19.png,0.0
Rapid Firecannon,0,0,0,0,0,0,0,0,22,0,0.0,../../../../assets/TFT_set_data/set3/items/22.png,0.0
Guinsoo's Rageblade,0,2,0,0,0,0,0,0,23,2,0.27,../../../../assets/TFT_set_data/set3/items/23.png,2.0
Statikk Shiv,0,0,0,2,0,0,0,0,24,2,0.27,../../../../assets/TFT_set_data/set3/items/24.png,4.0
Titan's Resolve,3,0,2,1,2,3,0,0,25,11,1.49,../../../../assets/TFT_set_data/set3/items/25.png,3.73
Runaan's Hurricane,1,0,0,0,1,0,1,0,26,3,0.41,../../../../assets/TFT_set_data/set3/items/26.png,4.33
Zz'Rot Portal,2,3,4,2,2,1,0,0,27,14,1.9,../../../../assets/TFT_set_data/set3/items/27.png,3.14
Infiltrator's Talons,5,1,4,1,0,1,0,3,28,15,2.03,../../../../assets/TFT_set_data/set3/items/28.png,3.53
Last Whisper,1,0,0,0,1,1,0,0,29,3,0.41,../../../../assets/TFT_set_data/set3/items/29.png,4.0
Rabadon's Deathcap,1,3,0,1,1,0,2,0,33,8,1.08,../../../../assets/TFT_set_data/set3/items/33.png,3.75
Luden's Echo,0,1,1,1,2,0,1,0,34,6,0.81,../../../../assets/TFT_set_data/set3/items/34.png,4.33
Locket of the Iron Solari,3,4,2,1,6,1,1,1,35,19,2.57,../../../../assets/TFT_set_data/set3/items/35.png,3.79
Ionic Spark,14,17,14,21,16,15,17,14,36,128,17.34,../../../../assets/TFT_set_data/set3/items/36.png,4.49
Morellonomicon,2,0,0,2,1,1,0,1,37,7,0.95,../../../../assets/TFT_set_data/set3/items/37.png,4.14
Demolitionist's Charge,1,1,1,1,1,1,0,1,38,7,0.95,../../../../assets/TFT_set_data/set3/items/38.png,4.14
Jeweled Gauntlet,2,1,0,0,2,1,1,0,39,7,0.95,../../../../assets/TFT_set_data/set3/items/39.png,3.86
Seraph's Embrace,1,0,1,0,0,2,1,0,44,5,0.68,../../../../assets/TFT_set_data/set3/items/44.png,4.6
Frozen Heart,14,11,18,11,13,16,13,15,45,111,15.04,../../../../assets/TFT_set_data/set3/items/45.png,4.56
Chalice of Favor,2,0,2,0,0,0,1,0,46,5,0.68,../../../../assets/TFT_set_data/set3/items/46.png,3.0
Redemption,8,12,5,4,8,6,6,3,47,52,7.05,../../../../assets/TFT_set_data/set3/items/47.png,3.94
Star Guardian's Charm,1,0,0,0,1,0,0,0,48,2,0.27,../../../../assets/TFT_set_data/set3/items/48.png,3.0
Hand Of Justice,1,0,1,0,1,2,2,0,49,7,0.95,../../../../assets/TFT_set_data/set3/items/49.png,5.0
Bramble Vest,0,3,2,2,0,1,3,2,55,13,1.76,../../../../assets/TFT_set_data/set3/items/55.png,4.85
Sword Breaker,1,1,0,0,1,1,2,0,56,6,0.81,../../../../assets/TFT_set_data/set3/items/56.png,4.67
Red Buff,0,0,0,0,0,0,0,0,57,0,0.0,../../../../assets/TFT_set_data/set3/items/57.png,0.0
Rebel Medal,1,1,0,2,0,0,0,0,58,4,0.54,../../../../assets/TFT_set_data/set3/items/58.png,2.75
Shroud of Stillness,1,1,3,5,4,0,0,0,59,14,1.9,../../../../assets/TFT_set_data/set3/items/59.png,3.71
Dragon's Claw,1,3,0,4,1,1,0,2,66,12,1.63,../../../../assets/TFT_set_data/set3/items/66.png,4.17
Zephyr,6,9,8,4,4,5,2,4,67,42,5.69,../../../../assets/TFT_set_data/set3/items/67.png,3.81
