item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,1,1,0,0,1,2,0.32,../../../../assets/TFT_set_data/set3/items/01.png,5.5
Recurve Bow,0,0,0,0,1,0,0,0,2,1,0.16,../../../../assets/TFT_set_data/set3/items/02.png,5.0
Needlessly Large Rod,0,0,0,0,0,0,0,0,3,0,0.0,../../../../assets/TFT_set_data/set3/items/03.png,0.0
Tear of the Goddess,0,0,0,0,0,0,0,0,4,0,0.0,../../../../assets/TFT_set_data/set3/items/04.png,0.0
Chain Vest,0,0,0,0,0,0,0,0,5,0,0.0,../../../../assets/TFT_set_data/set3/items/05.png,0.0
Negatron Cloak,0,0,0,0,0,0,1,0,6,1,0.16,../../../../assets/TFT_set_data/set3/items/06.png,7.0
Giant's Belt,0,0,0,0,0,0,0,0,7,0,0.0,../../../../assets/TFT_set_data/set3/items/07.png,0.0
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,0,0,0,0,0,1,4,9,5,0.8,../../../../assets/TFT_set_data/set3/items/09.png,7.8
Deathblade,16,11,14,14,16,8,12,11,11,102,16.37,../../../../assets/TFT_set_data/set3/items/11.png,4.27
Giant Slayer,0,0,1,3,1,1,1,2,12,9,1.44,../../../../assets/TFT_set_data/set3/items/12.png,5.44
Hextech Gunblade,1,0,0,0,0,0,0,1,13,2,0.32,../../../../assets/TFT_set_data/set3/items/13.png,4.5
Spear of Shojin,0,0,0,0,0,0,0,0,14,0,0.0,../../../../assets/TFT_set_data/set3/items/14.png,0.0
Guardian Angel,5,2,6,5,4,3,3,4,15,32,5.14,../../../../assets/TFT_set_data/set3/items/15.png,4.31
Bloodthirster,0,0,2,0,0,2,0,0,16,4,0.64,../../../../assets/TFT_set_data/set3/items/16.png,4.5
Zeke's Herald,1,0,1,0,1,0,0,0,17,3,0.48,../../../../assets/TFT_set_data/set3/items/17.png,3.0
Blade of the Ruined King,0,0,0,0,0,0,0,0,18,0,0.0,../../../../assets/TFT_set_data/set3/items/18.png,0.0
Infinity Edge,15,16,14,16,12,9,12,11,19,105,16.85,../../../../assets/TFT_set_data/set3/items/19.png,4.18
Rapid Firecannon,1,1,2,0,0,1,0,0,22,5,0.8,../../../../assets/TFT_set_data/set3/items/22.png,3.0
Guinsoo's Rageblade,0,3,0,1,2,2,1,0,23,9,1.44,../../../../assets/TFT_set_data/set3/items/23.png,4.33
Statikk Shiv,1,0,0,0,2,1,0,0,24,4,0.64,../../../../assets/TFT_set_data/set3/items/24.png,4.25
Titan's Resolve,0,0,1,0,0,0,0,0,25,1,0.16,../../../../assets/TFT_set_data/set3/items/25.png,3.0
Runaan's Hurricane,9,5,7,6,6,6,6,6,26,51,8.19,../../../../assets/TFT_set_data/set3/items/26.png,4.31
Zz'Rot Portal,0,0,0,0,0,0,0,0,27,0,0.0,../../../../assets/TFT_set_data/set3/items/27.png,0.0
Infiltrator's Talons,0,0,0,0,0,0,1,0,28,1,0.16,../../../../assets/TFT_set_data/set3/items/28.png,7.0
Last Whisper,20,18,18,25,20,10,20,16,29,147,23.6,../../../../assets/TFT_set_data/set3/items/29.png,4.34
Rabadon's Deathcap,0,0,0,0,0,0,0,0,33,0,0.0,../../../../assets/TFT_set_data/set3/items/33.png,0.0
Luden's Echo,0,0,0,0,0,0,0,0,34,0,0.0,../../../../assets/TFT_set_data/set3/items/34.png,0.0
Locket of the Iron Solari,0,0,0,0,0,0,0,0,35,0,0.0,../../../../assets/TFT_set_data/set3/items/35.png,0.0
Ionic Spark,0,0,0,0,0,1,0,0,36,1,0.16,../../../../assets/TFT_set_data/set3/items/36.png,6.0
Morellonomicon,0,0,0,0,0,0,0,0,37,0,0.0,../../../../assets/TFT_set_data/set3/items/37.png,0.0
