item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,0,0,0,0,0,0,1,0,0.0,../../../../assets/TFT_set_data/set3/items/01.png,0.0
Recurve Bow,0,0,0,0,0,0,0,1,2,1,1.33,../../../../assets/TFT_set_data/set3/items/02.png,8.0
Needlessly Large Rod,0,0,0,0,0,0,0,0,3,0,0.0,../../../../assets/TFT_set_data/set3/items/03.png,0.0
Tear of the Goddess,0,0,0,0,0,0,0,0,4,0,0.0,../../../../assets/TFT_set_data/set3/items/04.png,0.0
Chain Vest,0,0,0,0,0,0,1,0,5,1,1.33,../../../../assets/TFT_set_data/set3/items/05.png,7.0
Negatron Cloak,0,0,0,0,0,0,0,0,6,0,0.0,../../../../assets/TFT_set_data/set3/items/06.png,0.0
Giant's Belt,0,0,0,0,1,1,0,0,7,2,2.67,../../../../assets/TFT_set_data/set3/items/07.png,5.5
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,0,0,0,0,0,0,0,9,0,0.0,../../../../assets/TFT_set_data/set3/items/09.png,0.0
Deathblade,1,0,0,1,1,0,0,0,11,3,4.0,../../../../assets/TFT_set_data/set3/items/11.png,3.33
Giant Slayer,0,0,0,0,0,0,1,0,12,1,1.33,../../../../assets/TFT_set_data/set3/items/12.png,7.0
Hextech Gunblade,0,0,0,0,0,0,0,0,13,0,0.0,../../../../assets/TFT_set_data/set3/items/13.png,0.0
Spear of Shojin,1,0,0,0,0,0,0,0,14,1,1.33,../../../../assets/TFT_set_data/set3/items/14.png,1.0
Guardian Angel,1,0,0,0,0,0,0,0,15,1,1.33,../../../../assets/TFT_set_data/set3/items/15.png,1.0
Bloodthirster,1,0,0,1,0,0,0,0,16,2,2.67,../../../../assets/TFT_set_data/set3/items/16.png,2.5
Zeke's Herald,0,0,0,0,0,0,0,0,17,0,0.0,../../../../assets/TFT_set_data/set3/items/17.png,0.0
Blade of the Ruined King,0,0,0,0,0,0,0,0,18,0,0.0,../../../../assets/TFT_set_data/set3/items/18.png,0.0
Infinity Edge,0,0,0,0,0,0,0,0,19,0,0.0,../../../../assets/TFT_set_data/set3/items/19.png,0.0
Rapid Firecannon,0,0,0,0,0,0,0,0,22,0,0.0,../../../../assets/TFT_set_data/set3/items/22.png,0.0
Guinsoo's Rageblade,0,0,0,0,0,0,2,0,23,2,2.67,../../../../assets/TFT_set_data/set3/items/23.png,7.0
Statikk Shiv,0,0,0,0,0,0,0,0,24,0,0.0,../../../../assets/TFT_set_data/set3/items/24.png,0.0
Titan's Resolve,1,1,1,0,0,4,2,0,25,9,12.0,../../../../assets/TFT_set_data/set3/items/25.png,4.89
