,Id,Name,Count,Count(%)
0,1,B.F. Sword,34,0.45176720701567896
1,2,Recurve Bow,66,0.8769598724422003
2,3,Needlessly Large Rod,72,0.956683497209673
3,4,Tear of the Goddess,89,1.1825671007175127
4,5,Chain Vest,45,0.5979271857560458
5,6,Negatron Cloak,48,0.6377889981397821
6,7,Giant's Belt,56,0.7440871644964124
7,8,Spatula,9,0.11958543715120913
8,9,Sparring Gloves,33,0.43847993622110015
9,11,Deathblade,197,2.6175923465320223
10,12,Giant Slayer,156,2.0728142439542916
11,13,Hextech Gunblade,74,0.9832580387988307
12,14,Spear of Shojin,138,1.8336433696518735
13,15,Guardian Angel,504,6.696784480467712
14,16,Bloodthirster,78,1.0364071219771458
15,17,Zeke's Herald,134,1.7804942864735582
16,18,Blade of the Ruined King,33,0.43847993622110015
17,19,Infinity Edge,299,3.9728939675790595
18,22,Rapid Firecannon,223,2.963061387191071
19,23,Guinsoo's Rageblade,302,4.012755779962795
20,24,Statikk Shiv,86,1.1427052883337763
21,25,Titan's Resolve,63,0.837098060058464
22,26,Runaan's Hurricane,190,2.5245814509699707
23,27,Zz'Rot Portal,114,1.5147488705819825
24,28,Infiltrator's Talons,59,0.7839489768801488
25,29,Last Whisper,264,3.5078394897688012
26,33,Rabadon's Deathcap,214,2.843475950039862
27,34,Luden's Echo,95,1.2622907254849853
28,35,Locket of the Iron Solari,129,1.7140579325006642
29,36,Ionic Spark,318,4.225352112676056
30,37,Morellonomicon,251,3.335104969439277
31,38,Demolitionist's Charge,112,1.4881743289928249
32,39,Jeweled Gauntlet,86,1.1427052883337763
33,44,Seraph's Embrace,340,4.51767207015679
34,45,Frozen Heart,237,3.1490831783151743
35,46,Chalice of Favor,61,0.8105235184693064
36,47,Redemption,252,3.348392240233856
37,48,Star Guardian's Charm,22,0.29231995748073347
38,49,Hand Of Justice,101,1.3420143502524582
39,55,Bramble Vest,164,2.179112410310922
40,56,Sword Breaker,62,0.8238107892638852
41,57,Red Buff,251,3.335104969439277
42,58,Rebel Medal,33,0.43847993622110015
43,59,Shroud of Stillness,110,1.4615997874036672
44,66,Dragon's Claw,121,1.607759766144034
45,67,Zephyr,248,3.2952431570555407
46,68,Celestial Orb,67,0.8902471432367791
47,69,Quicksilver,384,5.102311985118257
48,77,Warmog's Armor,67,0.8902471432367791
49,78,Protector's Chestguard,19,0.25245814509699704
50,79,Trap Claw,218,2.896625033218177
51,88,Force of Nature,53,0.7042253521126761
52,89,Dark Star's Heart,11,0.14615997874036674
53,99,Thief's Gloves,134,1.7804942864735582
