,Count,Average_placement,Id,Name,Count(%)
0,6,2.6666666666666665,59,Shroud of Stillness,1.675977653631285
1,18,3.133002537529029,36,Ionic Spark,5.027932960893855
2,6,3.240766606441261,55,Bramble Vest,1.675977653631285
3,5,3.5500001907348633,5,Chain Vest,1.3966480446927374
4,12,2.7888351932311095,67,Zephyr,3.35195530726257
5,5,3.0148148713288485,1,B.F. Sword,1.3966480446927374
6,5,2.4,68,Celestial Orb,1.3966480446927374
7,6,3.840136054431145,58,Rebel Medal,1.675977653631285
8,8,1.7498762360226943,57,Red Buff,2.2346368715083798
9,7,2.0987935727246447,12,Giant Slayer,1.9553072625698324
10,8,2.6484375,29,Last Whisper,2.2346368715083798
11,8,1.6441686190840785,34,Luden's Echo,2.2346368715083798
12,4,5.25,13,Hextech Gunblade,1.1173184357541899
13,7,2.286836896623884,47,Redemption,1.9553072625698324
14,5,2.800000011920929,45,Frozen Heart,1.3966480446927374
15,14,4.01295884098067,99,Thief's Gloves,3.910614525139665
16,12,1.6605567209998864,37,Morellonomicon,3.35195530726257
17,4,6.25,6,Negatron Cloak,1.1173184357541899
18,8,5.16015625,77,Warmog's Armor,2.2346368715083798
19,2,1.430511474609375e-06,11,Deathblade,0.5586592178770949
20,9,1.5591753833769433,22,Rapid Firecannon,2.5139664804469275
21,16,1.8912760416666665,26,Runaan's Hurricane,4.4692737430167595
22,8,1.159933773710545,49,Hand Of Justice,2.2346368715083798
23,4,0.7500061988830566,9,Sparring Gloves,1.1173184357541899
24,15,2.486752572049195,15,Guardian Angel,4.189944134078212
25,9,1.4826524335917644,19,Infinity Edge,2.5139664804469275
26,9,1.2880670307909599,24,Statikk Shiv,2.5139664804469275
27,7,1.7440481029805686,69,Quicksilver,1.9553072625698324
28,4,2.25,89,Dark Star's Heart,1.1173184357541899
29,10,2.5626638655799896,2,Recurve Bow,2.793296089385475
30,8,1.3437502156087568,23,Guinsoo's Rageblade,2.2346368715083798
31,11,2.75671263415404,66,Dragon's Claw,3.072625698324022
32,3,3.6666666666666665,56,Sword Breaker,0.8379888268156425
33,1,2.0,18,Blade of the Ruined King,0.27932960893854747
34,3,3.0,78,Protector's Chestguard,0.8379888268156425
35,6,4.666666666666667,7,Giant's Belt,1.675977653631285
36,3,5.666666666666667,4,Tear of the Goddess,0.8379888268156425
37,5,2.0021948711044666,46,Chalice of Favor,1.3966480446927374
38,6,3.760425567626953,39,Jeweled Gauntlet,1.675977653631285
39,8,2.1825055487361955,14,Spear of Shojin,2.2346368715083798
40,5,3.2011726301219676,33,Rabadon's Deathcap,1.3966480446927374
41,14,1.359621943719582,44,Seraph's Embrace,3.910614525139665
42,1,2.0,17,Zeke's Herald,0.27932960893854747
43,3,2.6666666666666665,3,Needlessly Large Rod,0.8379888268156425
44,5,1.3199395576131685,16,Bloodthirster,1.3966480446927374
45,1,6.0,48,Star Guardian's Charm,0.27932960893854747
46,12,2.2533720506095443,79,Trap Claw,3.35195530726257
47,3,0.03320314154422815,38,Demolitionist's Charge,0.8379888268156425
48,2,1.5320859053497942,28,Infiltrator's Talons,0.5586592178770949
49,2,1.375,35,Locket of the Iron Solari,0.5586592178770949
50,7,0.9091331845238094,25,Titan's Resolve,1.9553072625698324
51,4,4.75,88,Force of Nature,1.1173184357541899
52,2,4.5,8,Spatula,0.5586592178770949
53,2,2.0,27,Zz'Rot Portal,0.5586592178770949
