,Traits,Count,Average_Placement,Placement_List,Additional_Traits
0,Demolitionist_1,219,4.269406392694064,"{3: 33, 5: 31, 2: 32, 1: 32, 8: 27, 7: 25, 6: 19, 4: 20}","{'Infiltrator_1': {'count': 10, 'average_placement': 3.8}, 'Mercenary_1': {'count': 179, 'average_placement': 4.23463687150838}, 'Set3_Brawler_2': {'count': 13, 'average_placement': 3.769230769230769}, 'Set3_Void_1': {'count': 11, 'average_placement': 4.090909090909091}, 'Blaster_1': {'count': 106, 'average_placement': 4.150943396226415}, 'Rebel_2': {'count': 91, 'average_placement': 4.054945054945055}, 'Set3_Mystic_1': {'count': 57, 'average_placement': 3.087719298245614}, 'Starship_1': {'count': 50, 'average_placement': 4.2}, 'Set3_Celestial_1': {'count': 38, 'average_placement': 4.105263157894737}, 'Infiltrator_2': {'count': 31, 'average_placement': 4.258064516129032}, 'MechPilot_1': {'count': 36, 'average_placement': 4.111111111111111}, 'Set3_Sorcerer_1': {'count': 38, 'average_placement': 4.052631578947368}, 'Chrono_2': {'count': 2, 'average_placement': 5.5}, 'Valkyrie_1': {'count': 41, 'average_placement': 3.073170731707317}, 'Set3_Blademaster_1': {'count': 35, 'average_placement': 3.4285714285714284}, 'Chrono_1': {'count': 67, 'average_placement': 4.313432835820896}, 'ManaReaver_1': {'count': 47, 'average_placement': 4.148936170212766}, 'Rebel_1': {'count': 18, 'average_placement': 5.111111111111111}, 'Sniper_1': {'count': 29, 'average_placement': 4.206896551724138}, 'SpacePirate_1': {'count': 30, 'average_placement': 3.966666666666667}, 'Vanguard_1': {'count': 33, 'average_placement': 4.636363636363637}, 'Protector_1': {'count': 4, 'average_placement': 3.5}, 'Set3_Celestial_2': {'count': 7, 'average_placement': 2.7142857142857144}, 'SpacePirate_2': {'count': 18, 'average_placement': 5.722222222222222}, 'Set3_Brawler_1': {'count': 21, 'average_placement': 4.809523809523809}, 'Blaster_2': {'count': 5, 'average_placement': 5.4}, 'DarkStar_1': {'count': 7, 'average_placement': 4.0}, 'Cybernetic_1': {'count': 3, 'average_placement': 4.0}, 'Infiltrator_3': {'count': 2, 'average_placement': 1.0}, 'Set3_Sorcerer_3': {'count': 3, 'average_placement': 5.666666666666667}, 'StarGuardian_1': {'count': 2, 'average_placement': 5.0}, 'Set3_Sorcerer_4': {'count': 1, 'average_placement': 5.0}, 'Set3_Mystic_2': {'count': 1, 'average_placement': 2.0}}"
1,Infiltrator_1,110,3.963636363636364,"{3: 17, 7: 12, 4: 11, 5: 14, 2: 15, 8: 8, 1: 21, 6: 12}","{'Demolitionist_1': {'count': 10, 'average_placement': 3.8}, 'Mercenary_1': {'count': 11, 'average_placement': 4.090909090909091}, 'Set3_Brawler_2': {'count': 72, 'average_placement': 3.638888888888889}, 'Set3_Void_1': {'count': 82, 'average_placement': 3.792682926829268}, 'Chrono_1': {'count': 92, 'average_placement': 3.902173913043478}, 'Set3_Brawler_1': {'count': 13, 'average_placement': 5.538461538461538}, 'Set3_Sorcerer_1': {'count': 83, 'average_placement': 3.8072289156626504}, 'Blaster_1': {'count': 6, 'average_placement': 4.0}, 'Cybernetic_2': {'count': 13, 'average_placement': 3.923076923076923}, 'ManaReaver_1': {'count': 20, 'average_placement': 3.8}, 'Set3_Blademaster_2': {'count': 1, 'average_placement': 3.0}, 'Set3_Celestial_1': {'count': 11, 'average_placement': 4.363636363636363}, 'Valkyrie_1': {'count': 6, 'average_placement': 5.166666666666667}, 'Cybernetic_1': {'count': 2, 'average_placement': 6.5}, 'Set3_Blademaster_1': {'count': 17, 'average_placement': 4.0}, 'Vanguard_1': {'count': 4, 'average_placement': 4.25}, 'Protector_2': {'count': 1, 'average_placement': 4.0}, 'Set3_Celestial_2': {'count': 4, 'average_placement': 3.0}, 'SpacePirate_1': {'count': 1, 'average_placement': 4.0}, 'Protector_1': {'count': 3, 'average_placement': 2.6666666666666665}, 'Sniper_1': {'count': 6, 'average_placement': 3.3333333333333335}, 'DarkStar_2': {'count': 2, 'average_placement': 3.0}, 'Set3_Mystic_1': {'count': 6, 'average_placement': 2.5}, 'DarkStar_1': {'count': 2, 'average_placement': 4.5}, 'MechPilot_1': {'count': 2, 'average_placement': 4.0}, 'Starship_1': {'count': 1, 'average_placement': 6.0}}"
2,Mercenary_1,424,4.55188679245283,"{3: 55, 1: 52, 5: 54, 6: 61, 2: 45, 8: 50, 7: 53, 4: 54}","{'Demolitionist_1': {'count': 179, 'average_placement': 4.23463687150838}, 'Infiltrator_1': {'count': 11, 'average_placement': 4.090909090909091}, 'Set3_Brawler_2': {'count': 50, 'average_placement': 4.48}, 'Set3_Void_1': {'count': 8, 'average_placement': 4.0}, 'Chrono_1': {'count': 244, 'average_placement': 4.516393442622951}, 'ManaReaver_1': {'count': 213, 'average_placement': 4.535211267605634}, 'Set3_Blademaster_1': {'count': 190, 'average_placement': 4.405263157894737}, 'Set3_Celestial_1': {'count': 189, 'average_placement': 4.465608465608466}, 'Set3_Mystic_1': {'count': 136, 'average_placement': 3.5955882352941178}, 'Valkyrie_1': {'count': 208, 'average_placement': 4.4423076923076925}, 'Blaster_1': {'count': 194, 'average_placement': 4.365979381443299}, 'Rebel_2': {'count': 86, 'average_placement': 3.9767441860465116}, 'Set3_Sorcerer_3': {'count': 8, 'average_placement': 4.5}, 'StarGuardian_1': {'count': 7, 'average_placement': 4.142857142857143}, 'Starship_1': {'count': 60, 'average_placement': 4.3}, 'Blaster_2': {'count': 34, 'average_placement': 4.911764705882353}, 'Rebel_1': {'count': 46, 'average_placement': 4.760869565217392}, 'Chrono_2': {'count': 19, 'average_placement': 4.842105263157895}, 'Vanguard_1': {'count': 111, 'average_placement': 4.684684684684685}, 'Set3_Brawler_1': {'count': 36, 'average_placement': 4.722222222222222}, 'Cybernetic_1': {'count': 28, 'average_placement': 4.142857142857143}, 'Sniper_1': {'count': 48, 'average_placement': 4.708333333333333}, 'SpacePirate_1': {'count': 42, 'average_placement': 4.428571428571429}, 'Set3_Celestial_2': {'count': 14, 'average_placement': 5.285714285714286}, 'Protector_1': {'count': 6, 'average_placement': 4.5}, 'SpacePirate_2': {'count': 25, 'average_placement': 5.92}, 'Set3_Blademaster_2': {'count': 3, 'average_placement': 5.333333333333333}, 'Cybernetic_2': {'count': 13, 'average_placement': 3.8461538461538463}, 'Set3_Sorcerer_1': {'count': 15, 'average_placement': 3.7333333333333334}, 'Infiltrator_2': {'count': 8, 'average_placement': 3.75}, 'MechPilot_1': {'count': 9, 'average_placement': 4.0}, 'DarkStar_1': {'count': 6, 'average_placement': 4.833333333333333}, 'Vanguard_2': {'count': 1, 'average_placement': 8.0}, 'Set3_Sorcerer_4': {'count': 1, 'average_placement': 5.0}, 'Set3_Mystic_2': {'count': 1, 'average_placement': 2.0}}"
3,Set3_Brawler_2,147,4.1768707482993195,"{3: 18, 8: 14, 7: 17, 1: 29, 5: 22, 2: 17, 4: 12, 6: 18}","{'Demolitionist_1': {'count': 13, 'average_placement': 3.769230769230769}, 'Infiltrator_1': {'count': 72, 'average_placement': 3.638888888888889}, 'Mercenary_1': {'count': 50, 'average_placement': 4.48}, 'Set3_Void_1': {'count': 80, 'average_placement': 3.6375}, 'Blaster_2': {'count': 35, 'average_placement': 4.885714285714286}, 'Chrono_1': {'count': 137, 'average_placement': 4.065693430656935}, 'Rebel_1': {'count': 46, 'average_placement': 4.369565217391305}, 'Set3_Sorcerer_1': {'count': 77, 'average_placement': 3.5714285714285716}, 'Blaster_1': {'count': 31, 'average_placement': 4.67741935483871}, 'Set3_Mystic_1': {'count': 15, 'average_placement': 4.133333333333334}, 'Valkyrie_1': {'count': 6, 'average_placement': 4.833333333333333}, 'Infiltrator_2': {'count': 4, 'average_placement': 1.25}, 'Starship_1': {'count': 13, 'average_placement': 4.0}, 'Cybernetic_1': {'count': 5, 'average_placement': 3.8}, 'ManaReaver_1': {'count': 3, 'average_placement': 4.0}, 'Set3_Blademaster_1': {'count': 1, 'average_placement': 7.0}, 'Vanguard_1': {'count': 1, 'average_placement': 6.0}, 'SpacePirate_1': {'count': 2, 'average_placement': 2.5}, 'Set3_Celestial_1': {'count': 2, 'average_placement': 4.5}}"
4,Set3_Void_1,94,3.8297872340425534,"{3: 14, 7: 11, 5: 11, 2: 14, 4: 8, 1: 20, 8: 5, 6: 11}","{'Demolitionist_1': {'count': 11, 'average_placement': 4.090909090909091}, 'Infiltrator_1': {'count': 82, 'average_placement': 3.792682926829268}, 'Mercenary_1': {'count': 8, 'average_placement': 4.0}, 'Set3_Brawler_2': {'count': 80, 'average_placement': 3.6375}, 'Chrono_1': {'count': 90, 'average_placement': 3.8333333333333335}, 'Set3_Sorcerer_1': {'count': 91, 'average_placement': 3.78021978021978}, 'Infiltrator_2': {'count': 7, 'average_placement': 2.5714285714285716}, 'Set3_Brawler_1': {'count': 14, 'average_placement': 4.928571428571429}, 'Set3_Mystic_1': {'count': 3, 'average_placement': 2.3333333333333335}, 'MechPilot_1': {'count': 2, 'average_placement': 4.0}, 'Starship_1': {'count': 1, 'average_placement': 6.0}}"
5,ManaReaver_1,356,4.359550561797753,"{4: 58, 1: 43, 8: 36, 3: 49, 5: 39, 7: 45, 2: 46, 6: 40}","{'Protector_1': {'count': 52, 'average_placement': 3.5}, 'Set3_Celestial_3': {'count': 2, 'average_placement': 4.5}, 'Sniper_1': {'count': 78, 'average_placement': 4.230769230769231}, 'SpacePirate_1': {'count': 36, 'average_placement': 4.694444444444445}, 'Vanguard_1': {'count': 123, 'average_placement': 4.512195121951219}, 'Chrono_1': {'count': 265, 'average_placement': 4.1056603773584905}, 'Mercenary_1': {'count': 213, 'average_placement': 4.535211267605634}, 'Set3_Blademaster_1': {'count': 264, 'average_placement': 4.215909090909091}, 'Set3_Celestial_1': {'count': 214, 'average_placement': 4.462616822429907}, 'Set3_Mystic_1': {'count': 104, 'average_placement': 3.4134615384615383}, 'Valkyrie_1': {'count': 169, 'average_placement': 4.4674556213017755}, 'Set3_Celestial_2': {'count': 75, 'average_placement': 3.6}, 'Blaster_1': {'count': 88, 'average_placement': 4.420454545454546}, 'Cybernetic_2': {'count': 40, 'average_placement': 4.25}, 'Infiltrator_1': {'count': 20, 'average_placement': 3.8}, 'Set3_Blademaster_2': {'count': 9, 'average_placement': 4.333333333333333}, 'Cybernetic_1': {'count': 34, 'average_placement': 4.470588235294118}, 'Demolitionist_1': {'count': 47, 'average_placement': 4.148936170212766}, 'Protector_2': {'count': 1, 'average_placement': 4.0}, 'Chrono_2': {'count': 18, 'average_placement': 4.611111111111111}, 'SpacePirate_2': {'count': 19, 'average_placement': 5.631578947368421}, 'Set3_Brawler_1': {'count': 17, 'average_placement': 4.588235294117647}, 'Vanguard_2': {'count': 1, 'average_placement': 4.0}, 'Set3_Brawler_2': {'count': 3, 'average_placement': 4.0}, 'Set3_Mystic_2': {'count': 1, 'average_placement': 1.0}, 'Rebel_1': {'count': 4, 'average_placement': 5.5}, 'Starship_1': {'count': 3, 'average_placement': 4.0}, 'DarkStar_1': {'count': 7, 'average_placement': 4.571428571428571}, 'Set3_Sorcerer_1': {'count': 2, 'average_placement': 3.5}, 'Set3_Sorcerer_3': {'count': 1, 'average_placement': 5.0}, 'StarGuardian_1': {'count': 1, 'average_placement': 5.0}, 'Blaster_2': {'count': 2, 'average_placement': 5.0}, 'DarkStar_2': {'count': 1, 'average_placement': 4.0}}"
6,Protector_1,95,3.9894736842105263,"{4: 14, 8: 14, 1: 14, 3: 12, 2: 21, 7: 7, 5: 8, 6: 5}","{'ManaReaver_1': {'count': 52, 'average_placement': 3.5}, 'Set3_Celestial_3': {'count': 2, 'average_placement': 4.5}, 'Sniper_1': {'count': 56, 'average_placement': 3.875}, 'SpacePirate_1': {'count': 11, 'average_placement': 5.090909090909091}, 'Vanguard_1': {'count': 6, 'average_placement': 4.333333333333333}, 'Chrono_1': {'count': 79, 'average_placement': 3.810126582278481}, 'Set3_Blademaster_1': {'count': 79, 'average_placement': 3.8860759493670884}, 'Set3_Celestial_1': {'count': 16, 'average_placement': 6.1875}, 'Set3_Celestial_2': {'count': 77, 'average_placement': 3.5194805194805197}, 'Set3_Mystic_1': {'count': 23, 'average_placement': 2.3043478260869565}, 'Infiltrator_1': {'count': 3, 'average_placement': 2.6666666666666665}, 'Demolitionist_1': {'count': 4, 'average_placement': 3.5}, 'Mercenary_1': {'count': 6, 'average_placement': 4.5}, 'SpacePirate_2': {'count': 2, 'average_placement': 5.0}, 'DarkStar_2': {'count': 1, 'average_placement': 2.0}, 'Set3_Sorcerer_1': {'count': 2, 'average_placement': 1.5}, 'Valkyrie_1': {'count': 1, 'average_placement': 3.0}, 'Set3_Mystic_2': {'count': 1, 'average_placement': 3.0}}"
7,Set3_Celestial_3,2,4.5,"{4: 1, 5: 1}","{'ManaReaver_1': {'count': 2, 'average_placement': 4.5}, 'Protector_1': {'count': 2, 'average_placement': 4.5}, 'Sniper_1': {'count': 1, 'average_placement': 4.0}, 'SpacePirate_1': {'count': 2, 'average_placement': 4.5}, 'Vanguard_1': {'count': 1, 'average_placement': 4.0}, 'Set3_Mystic_1': {'count': 1, 'average_placement': 5.0}}"
8,Sniper_1,156,4.256410256410256,"{4: 24, 8: 19, 2: 28, 3: 22, 1: 17, 5: 16, 7: 17, 6: 13}","{'ManaReaver_1': {'count': 78, 'average_placement': 4.230769230769231}, 'Protector_1': {'count': 56, 'average_placement': 3.875}, 'Set3_Celestial_3': {'count': 1, 'average_placement': 4.0}, 'SpacePirate_1': {'count': 28, 'average_placement': 4.571428571428571}, 'Vanguard_1': {'count': 52, 'average_placement': 4.25}, 'Set3_Celestial_2': {'count': 63, 'average_placement': 3.6507936507936507}, 'Chrono_1': {'count': 97, 'average_placement': 3.814432989690722}, 'Set3_Blademaster_1': {'count': 68, 'average_placement': 3.926470588235294}, 'Set3_Celestial_1': {'count': 89, 'average_placement': 4.640449438202247}, 'Valkyrie_1': {'count': 10, 'average_placement': 4.2}, 'DarkStar_2': {'count': 25, 'average_placement': 4.04}, 'Set3_Mystic_1': {'count': 51, 'average_placement': 3.392156862745098}, 'Set3_Sorcerer_1': {'count': 28, 'average_placement': 3.6785714285714284}, 'Demolitionist_1': {'count': 29, 'average_placement': 4.206896551724138}, 'Mercenary_1': {'count': 48, 'average_placement': 4.708333333333333}, 'DarkStar_1': {'count': 16, 'average_placement': 4.4375}, 'Infiltrator_1': {'count': 6, 'average_placement': 3.3333333333333335}, 'SpacePirate_2': {'count': 11, 'average_placement': 6.090909090909091}, 'Set3_Brawler_1': {'count': 3, 'average_placement': 5.0}, 'Protector_2': {'count': 2, 'average_placement': 4.0}, 'Vanguard_2': {'count': 3, 'average_placement': 4.333333333333333}, 'Blaster_1': {'count': 2, 'average_placement': 7.5}, 'Cybernetic_1': {'count': 1, 'average_placement': 7.0}, 'Chrono_2': {'count': 1, 'average_placement': 4.0}, 'Set3_Mystic_2': {'count': 2, 'average_placement': 2.5}}"
9,SpacePirate_1,57,4.631578947368421,"{4: 9, 8: 7, 3: 6, 5: 12, 1: 7, 6: 5, 7: 7, 2: 4}","{'ManaReaver_1': {'count': 36, 'average_placement': 4.694444444444445}, 'Protector_1': {'count': 11, 'average_placement': 5.090909090909091}, 'Set3_Celestial_3': {'count': 2, 'average_placement': 4.5}, 'Sniper_1': {'count': 28, 'average_placement': 4.571428571428571}, 'Vanguard_1': {'count': 36, 'average_placement': 4.5}, 'Set3_Celestial_2': {'count': 15, 'average_placement': 4.733333333333333}, 'Chrono_1': {'count': 29, 'average_placement': 4.0344827586206895}, 'Demolitionist_1': {'count': 30, 'average_placement': 3.966666666666667}, 'Mercenary_1': {'count': 42, 'average_placement': 4.428571428571429}, 'Set3_Celestial_1': {'count': 20, 'average_placement': 4.7}, 'Infiltrator_1': {'count': 1, 'average_placement': 4.0}, 'Protector_2': {'count': 1, 'average_placement': 4.0}, 'Blaster_1': {'count': 10, 'average_placement': 4.8}, 'Rebel_2': {'count': 6, 'average_placement': 4.333333333333333}, 'Starship_1': {'count': 6, 'average_placement': 4.333333333333333}, 'Set3_Sorcerer_3': {'count': 3, 'average_placement': 3.0}, 'StarGuardian_1': {'count': 3, 'average_placement': 3.0}, 'Vanguard_2': {'count': 2, 'average_placement': 6.0}, 'Set3_Mystic_1': {'count': 11, 'average_placement': 4.090909090909091}, 'Valkyrie_1': {'count': 4, 'average_placement': 6.0}, 'Set3_Blademaster_1': {'count': 5, 'average_placement': 5.6}, 'Rebel_1': {'count': 3, 'average_placement': 3.0}, 'Set3_Brawler_2': {'count': 2, 'average_placement': 2.5}, 'DarkStar_1': {'count': 2, 'average_placement': 3.5}, 'Set3_Sorcerer_1': {'count': 1, 'average_placement': 3.0}, 'Set3_Brawler_1': {'count': 3, 'average_placement': 5.666666666666667}, 'Blaster_2': {'count': 3, 'average_placement': 3.6666666666666665}}"
