,Champion_Id,Count,Tier,Traits,Item,Placement_List,Average_Placement,Average_Tier,Average_#_Item,Count(%),Champion_Name,Image
0,TFT3_TwistedFate,3,"{3: 2, 2: 1}","{'Chrono_1': 2, 'Infiltrator_1': 1, 'Set3_Brawler_2': 1, 'Set3_Sorcerer_1': 2, 'Set3_Void_1': 2, 'Infiltrator_2': 1, 'Set3_Brawler_1': 1, 'Set3_Sorcerer_3': 1, 'StarGuardian_1': 1, 'Vanguard_1': 1}","{14: {'count': 1, 'average_placement': 5.0}, 44: {'count': 1, 'average_placement': 5.0}, 17: {'count': 1, 'average_placement': 5.0}}","{2: 1, 4: 1, 5: 1}",3.6666666666666665,2.6666666666666665,1.0,2.2900763358778624,TwistedFate,../../../assets/set3/champions/twistedfate.png
1,TFT3_Malphite,4,"{3: 2, 1: 1, 2: 1}","{'Chrono_1': 2, 'Infiltrator_1': 1, 'Set3_Brawler_2': 2, 'Set3_Sorcerer_1': 1, 'Set3_Void_1': 1, 'Blaster_2': 1, 'Blaster_1': 2, 'Demolitionist_1': 2, 'Mercenary_1': 2, 'Rebel_2': 2, 'Set3_Mystic_1': 1, 'Starship_1': 2, 'SpacePirate_1': 1}","{55: {'count': 1, 'average_placement': 2.0}, 6: {'count': 2, 'average_placement': 4.0}, 35: {'count': 1, 'average_placement': 2.0}, 45: {'count': 1, 'average_placement': 6.0}, 77: {'count': 1, 'average_placement': 6.0}}","{2: 1, 6: 2, 5: 1}",4.75,2.25,1.5,3.0534351145038165,Malphite,../../../assets/set3/champions/malphite.png
2,TFT3_KhaZix,2,{3: 2},"{'Chrono_1': 2, 'Infiltrator_1': 1, 'Set3_Brawler_2': 1, 'Set3_Sorcerer_1': 2, 'Set3_Void_1': 2, 'Infiltrator_2': 1, 'Set3_Brawler_1': 1}","{15: {'count': 2, 'average_placement': 3.0}, 12: {'count': 1, 'average_placement': 2.0}, 26: {'count': 1, 'average_placement': 2.0}, 22: {'count': 1, 'average_placement': 4.0}, 16: {'count': 1, 'average_placement': 4.0}}","{2: 1, 4: 1}",3.0,3.0,3.0,1.5267175572519083,KhaZix,../../../assets/set3/champions/khazix.png
3,TFT3_Blitzcrank,3,"{2: 2, 1: 1}","{'Chrono_1': 3, 'Infiltrator_1': 1, 'Set3_Brawler_2': 2, 'Set3_Sorcerer_1': 2, 'Set3_Void_1': 2, 'Blaster_2': 1, 'Infiltrator_2': 1, 'Set3_Brawler_1': 1}",{},"{2: 1, 6: 1, 4: 1}",4.0,1.6666666666666667,0.0,2.2900763358778624,Blitzcrank,../../../assets/set3/champions/blitzcrank.png
4,TFT3_Vi,2,{2: 2},"{'Chrono_1': 2, 'Infiltrator_1': 1, 'Set3_Brawler_2': 2, 'Set3_Sorcerer_1': 1, 'Set3_Void_1': 1, 'Blaster_2': 1}","{47: {'count': 1, 'average_placement': 6.0}, 5: {'count': 1, 'average_placement': 6.0}}","{2: 1, 6: 1}",4.0,2.0,1.0,1.5267175572519083,Vi,../../../assets/set3/champions/vi.png
5,TFT3_ChoGath,3,{2: 3},"{'Chrono_1': 3, 'Infiltrator_1': 1, 'Set3_Brawler_2': 2, 'Set3_Sorcerer_1': 2, 'Set3_Void_1': 2, 'Blaster_2': 1, 'Infiltrator_2': 1, 'Set3_Brawler_1': 1}","{59: {'count': 1, 'average_placement': 6.0}, 77: {'count': 1, 'average_placement': 6.0}}","{2: 1, 6: 1, 4: 1}",4.0,2.0,0.6666666666666666,2.2900763358778624,ChoGath,../../../assets/set3/champions/chogath.png
6,TFT3_VelKoz,4,{2: 4},"{'Chrono_1': 3, 'Infiltrator_1': 1, 'Set3_Brawler_2': 1, 'Set3_Sorcerer_1': 3, 'Set3_Void_1': 3, 'Infiltrator_2': 2, 'Set3_Brawler_1': 2, 'Set3_Sorcerer_3': 1, 'StarGuardian_1': 1, 'Vanguard_1': 1}","{37: {'count': 2, 'average_placement': 1.5}, 69: {'count': 1, 'average_placement': 2.0}, 19: {'count': 1, 'average_placement': 2.0}, 28: {'count': 1, 'average_placement': 4.0}, 33: {'count': 1, 'average_placement': 4.0}, 3: {'count': 1, 'average_placement': 5.0}}","{2: 1, 4: 2, 5: 1}",3.75,2.0,1.75,3.0534351145038165,VelKoz,../../../assets/set3/champions/velkoz.png
7,TFT3_Fizz,3,"{2: 2, 1: 1}","{'Chrono_1': 2, 'Infiltrator_1': 1, 'Set3_Brawler_2': 1, 'Set3_Sorcerer_1': 3, 'Set3_Void_1': 2, 'Infiltrator_2': 2, 'Set3_Brawler_1': 1, 'Demolitionist_1': 1, 'MechPilot_1': 1, 'Mercenary_1': 1}","{45: {'count': 1, 'average_placement': 4.0}, 12: {'count': 1, 'average_placement': 4.0}}","{2: 1, 4: 1, 3: 1}",3.0,1.6666666666666667,0.6666666666666666,2.2900763358778624,Fizz,../../../assets/set3/champions/fizz.png
8,TFT3_Shen,5,"{2: 4, 3: 1}","{'Chrono_1': 5, 'ManaReaver_1': 5, 'Mercenary_1': 3, 'Set3_Blademaster_1': 5, 'Set3_Celestial_1': 3, 'Valkyrie_1': 4, 'Vanguard_1': 2, 'Demolitionist_1': 1, 'Set3_Celestial_2': 1, 'Set3_Mystic_1': 1}","{15: {'count': 1, 'average_placement': 7.0}, 45: {'count': 1, 'average_placement': 7.0}, 17: {'count': 2, 'average_placement': 2.0}, 13: {'count': 1, 'average_placement': 2.0}}","{3: 1, 8: 1, 7: 1, 1: 1, 2: 1}",4.2,2.2,1.0,3.816793893129771,Shen,../../../assets/set3/champions/shen.png
9,TFT3_Kassadin,8,"{2: 6, 1: 2}","{'Chrono_1': 6, 'ManaReaver_1': 7, 'Mercenary_1': 4, 'Set3_Blademaster_1': 5, 'Set3_Celestial_1': 3, 'Valkyrie_1': 4, 'Vanguard_1': 2, 'Demolitionist_1': 2, 'Set3_Celestial_2': 4, 'Set3_Mystic_1': 2, 'Blaster_1': 1, 'Rebel_1': 1, 'Protector_1': 2, 'SpacePirate_1': 2, 'Sniper_1': 1}","{27: {'count': 2, 'average_placement': 2.0}, 47: {'count': 2, 'average_placement': 1.375}, 45: {'count': 1, 'average_placement': 1.0}}","{3: 1, 8: 2, 7: 1, 1: 2, 2: 1, 4: 1}",4.25,1.75,0.625,6.106870229007633,Kassadin,../../../assets/set3/champions/kassadin.png
