,Id,Count,Sum_Placement,Name,Average_Placement,Image,Count(%)
0,99,205,517,Thief's Gloves,2.521951219512195,../../../assets/set3/items/99.png,0.7888559664447607
1,2,179,473,Recurve Bow,2.642458100558659,../../../assets/set3/items/02.png,0.6888059414322546
2,12,522,1289,Giant Slayer,2.4693486590038316,../../../assets/set3/items/12.png,2.008696656020318
3,68,147,342,Celestial Orb,2.326530612244898,../../../assets/set3/items/68.png,0.56566744910917
4,24,352,868,Statikk Shiv,2.465909090909091,../../../assets/set3/items/24.png,1.354523415553931
5,8,15,45,Spatula,3.0,../../../assets/set3/items/08.png,0.05772116827644591
6,6,103,265,Negatron Cloak,2.5728155339805827,../../../assets/set3/items/06.png,0.39635202216492865
7,36,1007,2429,Ionic Spark,2.4121151936444885,../../../assets/set3/items/36.png,3.875014430292069
8,67,602,1496,Zephyr,2.485049833887043,../../../assets/set3/items/67.png,2.3165428868280293
9,88,92,209,Force of Nature,2.2717391304347827,../../../assets/set3/items/88.png,0.35402316542886825
10,34,442,1070,Luden's Echo,2.420814479638009,../../../assets/set3/items/34.png,1.7008504252126064
11,23,1070,2718,Guinsoo's Rageblade,2.5401869158878503,../../../assets/set3/items/23.png,4.1174433370531425
12,15,1884,4608,Guardian Angel,2.445859872611465,../../../assets/set3/items/15.png,7.249778735521607
13,49,519,1245,Hand Of Justice,2.398843930635838,../../../assets/set3/items/49.png,1.9971524223650288
14,45,761,1865,Frozen Heart,2.4507227332457293,../../../assets/set3/items/45.png,2.928387270558356
15,79,1070,2644,Trap Claw,2.4710280373831774,../../../assets/set3/items/79.png,4.1174433370531425
16,29,744,1896,Last Whisper,2.5483870967741935,../../../assets/set3/items/29.png,2.8629699465117175
17,26,937,2365,Runaan's Hurricane,2.5240128068303096,../../../assets/set3/items/26.png,3.605648978335321
18,57,732,1780,Red Buff,2.431693989071038,../../../assets/set3/items/57.png,2.8167930118905606
19,47,648,1586,Redemption,2.447530864197531,../../../assets/set3/items/47.png,2.4935544695424636
20,5,120,311,Chain Vest,2.591666666666667,../../../assets/set3/items/05.png,0.4617693462115673
21,19,1089,2683,Infinity Edge,2.4637281910009183,../../../assets/set3/items/19.png,4.190556816869973
22,22,778,1825,Rapid Firecannon,2.345758354755784,../../../assets/set3/items/22.png,2.9938045946049945
23,25,361,905,Titan's Resolve,2.5069252077562325,../../../assets/set3/items/25.png,1.3891561165197983
24,39,414,1006,Jeweled Gauntlet,2.429951690821256,../../../assets/set3/items/39.png,1.5931042444299073
25,37,1196,2889,Morellonomicon,2.4155518394648827,../../../assets/set3/items/37.png,4.602301150575288
26,69,1273,3071,Quicksilver,2.4124116260801256,../../../assets/set3/items/69.png,4.89860314772771
27,17,373,877,Zeke's Herald,2.351206434316354,../../../assets/set3/items/17.png,1.435333051140955
28,66,433,1028,Dragon's Claw,2.3741339491916857,../../../assets/set3/items/66.png,1.6662177242467386
29,55,548,1364,Bramble Vest,2.489051094890511,../../../assets/set3/items/55.png,2.108746681032824
30,1,95,260,B.F. Sword,2.736842105263158,../../../assets/set3/items/01.png,0.3655673990841575
31,18,124,322,Blade of the Ruined King,2.596774193548387,../../../assets/set3/items/18.png,0.4771616577519529
32,44,1272,3002,Seraph's Embrace,2.360062893081761,../../../assets/set3/items/44.png,4.894755069842613
33,27,411,956,Zz'Rot Portal,2.3260340632603405,../../../assets/set3/items/27.png,1.581560010774618
34,16,287,667,Bloodthirster,2.3240418118466897,../../../assets/set3/items/16.png,1.104398353022665
35,56,267,640,Sword Breaker,2.397003745318352,../../../assets/set3/items/56.png,1.0274367953207373
36,7,114,262,Giant's Belt,2.2982456140350878,../../../assets/set3/items/07.png,0.43868087890098895
37,14,488,1188,Spear of Shojin,2.4344262295081966,../../../assets/set3/items/14.png,1.8778620079270405
38,11,789,1876,Deathblade,2.3776932826362485,../../../assets/set3/items/11.png,3.036133451341055
39,13,411,1017,Hextech Gunblade,2.4744525547445257,../../../assets/set3/items/13.png,1.581560010774618
40,77,242,536,Warmog's Armor,2.2148760330578514,../../../assets/set3/items/77.png,0.9312348481933275
41,58,134,320,Rebel Medal,2.388059701492537,../../../assets/set3/items/58.png,0.5156424366029169
42,59,331,824,Shroud of Stillness,2.489425981873112,../../../assets/set3/items/59.png,1.2737137799669067
43,38,290,719,Demolitionist's Charge,2.4793103448275864,../../../assets/set3/items/38.png,1.1159425866779542
44,33,679,1714,Rabadon's Deathcap,2.524300441826215,../../../assets/set3/items/33.png,2.6128448839804514
45,35,415,957,Locket of the Iron Solari,2.306024096385542,../../../assets/set3/items/35.png,1.5969523223150035
46,9,62,160,Sparring Gloves,2.5806451612903225,../../../assets/set3/items/09.png,0.23858082887597645
47,78,68,154,Protector's Chestguard,2.264705882352941,../../../assets/set3/items/78.png,0.2616692961865548
48,28,209,542,Infiltrator's Talons,2.5933014354066986,../../../assets/set3/items/28.png,0.8042482779851465
49,89,68,147,Dark Star's Heart,2.161764705882353,../../../assets/set3/items/89.png,0.2616692961865548
50,46,227,508,Chalice of Favor,2.237885462555066,../../../assets/set3/items/46.png,0.8735136799168816
51,3,120,292,Needlessly Large Rod,2.433333333333333,../../../assets/set3/items/03.png,0.4617693462115673
52,4,206,542,Tear of the Goddess,2.6310679611650487,../../../assets/set3/items/04.png,0.7927040443298573
53,48,62,162,Star Guardian's Charm,2.6129032258064515,../../../assets/set3/items/48.png,0.23858082887597645
