,Traits,Count,Average_Placement,Placement_List,Additional_Traits
0,Chrono_1,603,6.374792703150912,"{8: 123, 5: 165, 6: 170, 7: 145}","{'Set3_Brawler_1': {'count': 94, 'average_placement': 6.531914893617022}, 'Set3_Sorcerer_1': {'count': 108, 'average_placement': 6.388888888888889}, 'Set3_Void_1': {'count': 92, 'average_placement': 6.3478260869565215}, 'DarkStar_1': {'count': 17, 'average_placement': 6.647058823529412}, 'Set3_Celestial_1': {'count': 247, 'average_placement': 6.364372469635628}, 'Sniper_1': {'count': 131, 'average_placement': 6.465648854961832}, 'Vanguard_1': {'count': 192, 'average_placement': 6.380208333333333}, 'ManaReaver_1': {'count': 294, 'average_placement': 6.292517006802721}, 'Set3_Blademaster_1': {'count': 294, 'average_placement': 6.340136054421769}, 'Cybernetic_1': {'count': 25, 'average_placement': 6.32}, 'Blaster_1': {'count': 99, 'average_placement': 6.373737373737374}, 'Mercenary_1': {'count': 237, 'average_placement': 6.261603375527426}, 'Set3_Brawler_2': {'count': 131, 'average_placement': 6.2748091603053435}, 'Valkyrie_1': {'count': 148, 'average_placement': 6.22972972972973}, 'Infiltrator_1': {'count': 84, 'average_placement': 6.261904761904762}, 'Demolitionist_1': {'count': 65, 'average_placement': 6.123076923076923}, 'Rebel_1': {'count': 50, 'average_placement': 6.22}, 'SpacePirate_2': {'count': 7, 'average_placement': 6.571428571428571}, 'Starship_1': {'count': 18, 'average_placement': 6.444444444444445}, 'Protector_1': {'count': 68, 'average_placement': 6.5588235294117645}, 'Rebel_2': {'count': 7, 'average_placement': 5.714285714285714}, 'Set3_Sorcerer_3': {'count': 13, 'average_placement': 6.076923076923077}, 'StarGuardian_1': {'count': 18, 'average_placement': 6.444444444444445}, 'SpacePirate_1': {'count': 50, 'average_placement': 6.46}, 'Cybernetic_2': {'count': 20, 'average_placement': 6.05}, 'Set3_Celestial_2': {'count': 55, 'average_placement': 6.290909090909091}, 'Set3_Mystic_1': {'count': 114, 'average_placement': 6.245614035087719}, 'Blaster_2': {'count': 38, 'average_placement': 6.2894736842105265}, 'Set3_Sorcerer_2': {'count': 6, 'average_placement': 6.5}, 'Vanguard_2': {'count': 7, 'average_placement': 6.285714285714286}, 'Set3_Blademaster_2': {'count': 5, 'average_placement': 6.6}, 'Protector_2': {'count': 3, 'average_placement': 5.666666666666667}, 'Infiltrator_2': {'count': 3, 'average_placement': 6.333333333333333}, 'Set3_Celestial_3': {'count': 1, 'average_placement': 5.0}, 'Infiltrator_3': {'count': 1, 'average_placement': 5.0}}"
1,Set3_Brawler_1,133,6.556390977443609,"{8: 37, 7: 36, 5: 36, 6: 24}","{'Chrono_1': {'count': 94, 'average_placement': 6.531914893617022}, 'Set3_Sorcerer_1': {'count': 29, 'average_placement': 6.586206896551724}, 'Set3_Void_1': {'count': 25, 'average_placement': 6.44}, 'Cybernetic_1': {'count': 6, 'average_placement': 6.5}, 'Set3_Blademaster_1': {'count': 41, 'average_placement': 6.2926829268292686}, 'Vanguard_1': {'count': 16, 'average_placement': 6.875}, 'Infiltrator_1': {'count': 29, 'average_placement': 6.482758620689655}, 'Blaster_1': {'count': 40, 'average_placement': 6.675}, 'Demolitionist_1': {'count': 30, 'average_placement': 6.466666666666667}, 'Mercenary_1': {'count': 55, 'average_placement': 6.4}, 'Rebel_1': {'count': 13, 'average_placement': 6.846153846153846}, 'Rebel_2': {'count': 15, 'average_placement': 6.333333333333333}, 'ManaReaver_1': {'count': 37, 'average_placement': 6.1891891891891895}, 'Valkyrie_1': {'count': 31, 'average_placement': 6.161290322580645}, 'Set3_Celestial_1': {'count': 41, 'average_placement': 6.341463414634147}, 'Cybernetic_2': {'count': 3, 'average_placement': 6.333333333333333}, 'Chrono_2': {'count': 14, 'average_placement': 6.142857142857143}, 'Sniper_1': {'count': 14, 'average_placement': 6.714285714285714}, 'Set3_Mystic_1': {'count': 16, 'average_placement': 6.375}, 'Starship_1': {'count': 5, 'average_placement': 5.8}, 'Infiltrator_2': {'count': 2, 'average_placement': 7.0}, 'MechPilot_1': {'count': 1, 'average_placement': 7.0}, 'SpacePirate_2': {'count': 1, 'average_placement': 8.0}, 'Blaster_2': {'count': 7, 'average_placement': 6.571428571428571}, 'SpacePirate_1': {'count': 8, 'average_placement': 6.875}, 'DarkStar_1': {'count': 2, 'average_placement': 7.0}, 'Set3_Celestial_2': {'count': 1, 'average_placement': 8.0}, 'Set3_Sorcerer_3': {'count': 1, 'average_placement': 6.0}, 'Infiltrator_3': {'count': 1, 'average_placement': 5.0}, 'Protector_2': {'count': 1, 'average_placement': 6.0}, 'Protector_1': {'count': 1, 'average_placement': 8.0}}"
2,Set3_Sorcerer_1,198,6.444444444444445,"{8: 50, 6: 52, 5: 54, 7: 42}","{'Chrono_1': {'count': 108, 'average_placement': 6.388888888888889}, 'Set3_Brawler_1': {'count': 29, 'average_placement': 6.586206896551724}, 'Set3_Void_1': {'count': 93, 'average_placement': 6.344086021505376}, 'Infiltrator_1': {'count': 76, 'average_placement': 6.276315789473684}, 'DarkStar_1': {'count': 14, 'average_placement': 6.857142857142857}, 'ManaReaver_1': {'count': 5, 'average_placement': 6.6}, 'Vanguard_1': {'count': 9, 'average_placement': 7.0}, 'Infiltrator_2': {'count': 45, 'average_placement': 6.222222222222222}, 'MechPilot_1': {'count': 44, 'average_placement': 6.2727272727272725}, 'Demolitionist_1': {'count': 30, 'average_placement': 6.0}, 'Valkyrie_1': {'count': 12, 'average_placement': 5.583333333333333}, 'DarkStar_2': {'count': 34, 'average_placement': 6.617647058823529}, 'Sniper_1': {'count': 43, 'average_placement': 6.558139534883721}, 'Set3_Brawler_2': {'count': 69, 'average_placement': 6.304347826086956}, 'Mercenary_1': {'count': 14, 'average_placement': 5.642857142857143}, 'Set3_Celestial_1': {'count': 40, 'average_placement': 6.525}, 'Set3_Mystic_1': {'count': 31, 'average_placement': 6.387096774193548}, 'Rebel_1': {'count': 1, 'average_placement': 6.0}, 'Protector_1': {'count': 8, 'average_placement': 6.75}, 'StarGuardian_1': {'count': 4, 'average_placement': 7.25}, 'StarGuardian_2': {'count': 1, 'average_placement': 8.0}, 'SpacePirate_1': {'count': 2, 'average_placement': 5.5}, 'Protector_2': {'count': 1, 'average_placement': 7.0}, 'Blaster_1': {'count': 1, 'average_placement': 5.0}, 'Set3_Blademaster_1': {'count': 2, 'average_placement': 6.0}, 'Infiltrator_3': {'count': 1, 'average_placement': 5.0}}"
3,Set3_Void_1,101,6.396039603960396,"{8: 25, 5: 26, 7: 16, 6: 34}","{'Chrono_1': {'count': 92, 'average_placement': 6.3478260869565215}, 'Set3_Brawler_1': {'count': 25, 'average_placement': 6.44}, 'Set3_Sorcerer_1': {'count': 93, 'average_placement': 6.344086021505376}, 'Infiltrator_1': {'count': 73, 'average_placement': 6.260273972602739}, 'Set3_Brawler_2': {'count': 75, 'average_placement': 6.386666666666667}, 'Demolitionist_1': {'count': 9, 'average_placement': 6.0}, 'Rebel_1': {'count': 1, 'average_placement': 6.0}, 'Mercenary_1': {'count': 6, 'average_placement': 5.833333333333333}, 'Set3_Blademaster_1': {'count': 2, 'average_placement': 7.5}, 'Infiltrator_2': {'count': 3, 'average_placement': 6.0}, 'Valkyrie_1': {'count': 1, 'average_placement': 7.0}, 'Set3_Celestial_1': {'count': 1, 'average_placement': 5.0}, 'Sniper_1': {'count': 1, 'average_placement': 5.0}, 'Set3_Sorcerer_3': {'count': 1, 'average_placement': 6.0}, 'Infiltrator_3': {'count': 1, 'average_placement': 5.0}}"
4,DarkStar_1,39,6.769230769230769,"{5: 4, 6: 12, 7: 12, 8: 11}","{'Chrono_1': {'count': 17, 'average_placement': 6.647058823529412}, 'Set3_Celestial_1': {'count': 26, 'average_placement': 6.576923076923077}, 'Sniper_1': {'count': 29, 'average_placement': 6.689655172413793}, 'Vanguard_1': {'count': 18, 'average_placement': 6.611111111111111}, 'ManaReaver_1': {'count': 9, 'average_placement': 6.333333333333333}, 'Set3_Sorcerer_1': {'count': 14, 'average_placement': 6.857142857142857}, 'Set3_Mystic_1': {'count': 20, 'average_placement': 6.55}, 'Mercenary_1': {'count': 6, 'average_placement': 6.5}, 'SpacePirate_1': {'count': 3, 'average_placement': 6.666666666666667}, 'Set3_Blademaster_1': {'count': 1, 'average_placement': 6.0}, 'Protector_1': {'count': 5, 'average_placement': 7.0}, 'Set3_Celestial_2': {'count': 1, 'average_placement': 7.0}, 'Set3_Sorcerer_2': {'count': 1, 'average_placement': 6.0}, 'StarGuardian_1': {'count': 2, 'average_placement': 6.5}, 'Vanguard_2': {'count': 4, 'average_placement': 6.75}, 'Valkyrie_1': {'count': 1, 'average_placement': 5.0}, 'Set3_Sorcerer_3': {'count': 1, 'average_placement': 7.0}, 'Demolitionist_1': {'count': 2, 'average_placement': 6.0}, 'Protector_2': {'count': 1, 'average_placement': 7.0}, 'Set3_Brawler_1': {'count': 2, 'average_placement': 7.0}, 'Set3_Brawler_2': {'count': 1, 'average_placement': 8.0}}"
5,Set3_Celestial_1,376,6.428191489361702,"{5: 96, 6: 106, 8: 83, 7: 91}","{'Chrono_1': {'count': 247, 'average_placement': 6.364372469635628}, 'DarkStar_1': {'count': 26, 'average_placement': 6.576923076923077}, 'Sniper_1': {'count': 175, 'average_placement': 6.497142857142857}, 'Vanguard_1': {'count': 153, 'average_placement': 6.366013071895424}, 'ManaReaver_1': {'count': 255, 'average_placement': 6.305882352941176}, 'Set3_Blademaster_1': {'count': 201, 'average_placement': 6.303482587064677}, 'Mercenary_1': {'count': 176, 'average_placement': 6.301136363636363}, 'Valkyrie_1': {'count': 130, 'average_placement': 6.153846153846154}, 'Demolitionist_1': {'count': 47, 'average_placement': 6.191489361702128}, 'SpacePirate_1': {'count': 42, 'average_placement': 6.380952380952381}, 'Protector_1': {'count': 24, 'average_placement': 7.0}, 'Cybernetic_1': {'count': 20, 'average_placement': 6.35}, 'Blaster_1': {'count': 40, 'average_placement': 6.5}, 'Rebel_2': {'count': 1, 'average_placement': 8.0}, 'Infiltrator_1': {'count': 16, 'average_placement': 6.0625}, 'Set3_Brawler_1': {'count': 41, 'average_placement': 6.341463414634147}, 'Set3_Mystic_1': {'count': 121, 'average_placement': 6.363636363636363}, 'Chrono_2': {'count': 19, 'average_placement': 5.947368421052632}, 'Rebel_1': {'count': 6, 'average_placement': 6.666666666666667}, 'Set3_Blademaster_2': {'count': 6, 'average_placement': 6.666666666666667}, 'DarkStar_2': {'count': 34, 'average_placement': 6.588235294117647}, 'Set3_Sorcerer_1': {'count': 40, 'average_placement': 6.525}, 'Protector_2': {'count': 4, 'average_placement': 6.0}, 'StarGuardian_1': {'count': 1, 'average_placement': 6.0}, 'SpacePirate_2': {'count': 9, 'average_placement': 6.777777777777778}, 'Starship_1': {'count': 1, 'average_placement': 7.0}, 'Cybernetic_2': {'count': 9, 'average_placement': 6.333333333333333}, 'Set3_Brawler_2': {'count': 3, 'average_placement': 6.333333333333333}, 'Vanguard_2': {'count': 8, 'average_placement': 6.875}, 'Set3_Void_1': {'count': 1, 'average_placement': 5.0}}"
6,Sniper_1,240,6.558333333333334,"{5: 58, 6: 59, 8: 69, 7: 54}","{'Chrono_1': {'count': 131, 'average_placement': 6.465648854961832}, 'DarkStar_1': {'count': 29, 'average_placement': 6.689655172413793}, 'Set3_Celestial_1': {'count': 175, 'average_placement': 6.497142857142857}, 'Vanguard_1': {'count': 94, 'average_placement': 6.5638297872340425}, 'Demolitionist_1': {'count': 37, 'average_placement': 5.972972972972973}, 'ManaReaver_1': {'count': 108, 'average_placement': 6.37037037037037}, 'Mercenary_1': {'count': 70, 'average_placement': 6.371428571428571}, 'SpacePirate_1': {'count': 44, 'average_placement': 6.454545454545454}, 'Set3_Celestial_2': {'count': 41, 'average_placement': 6.512195121951219}, 'SpacePirate_2': {'count': 8, 'average_placement': 6.625}, 'Set3_Mystic_1': {'count': 75, 'average_placement': 6.36}, 'Protector_1': {'count': 42, 'average_placement': 6.666666666666667}, 'Set3_Blademaster_1': {'count': 69, 'average_placement': 6.463768115942029}, 'DarkStar_2': {'count': 41, 'average_placement': 6.7073170731707314}, 'Set3_Sorcerer_1': {'count': 43, 'average_placement': 6.558139534883721}, 'Valkyrie_1': {'count': 19, 'average_placement': 6.578947368421052}, 'Chrono_2': {'count': 8, 'average_placement': 6.625}, 'Blaster_1': {'count': 7, 'average_placement': 7.142857142857143}, 'Set3_Brawler_1': {'count': 14, 'average_placement': 6.714285714285714}, 'StarGuardian_1': {'count': 2, 'average_placement': 6.5}, 'Set3_Brawler_2': {'count': 4, 'average_placement': 6.75}, 'Infiltrator_1': {'count': 2, 'average_placement': 5.5}, 'Vanguard_2': {'count': 8, 'average_placement': 6.75}, 'Protector_2': {'count': 5, 'average_placement': 6.0}, 'Rebel_1': {'count': 1, 'average_placement': 5.0}, 'Set3_Void_1': {'count': 1, 'average_placement': 5.0}, 'Set3_Celestial_3': {'count': 1, 'average_placement': 5.0}}"
7,Vanguard_1,270,6.514814814814815,"{5: 60, 6: 76, 7: 69, 8: 65}","{'Chrono_1': {'count': 192, 'average_placement': 6.380208333333333}, 'DarkStar_1': {'count': 18, 'average_placement': 6.611111111111111}, 'Set3_Celestial_1': {'count': 153, 'average_placement': 6.366013071895424}, 'Sniper_1': {'count': 94, 'average_placement': 6.5638297872340425}, 'ManaReaver_1': {'count': 164, 'average_placement': 6.390243902439025}, 'Set3_Blademaster_1': {'count': 124, 'average_placement': 6.32258064516129}, 'Cybernetic_1': {'count': 27, 'average_placement': 6.518518518518518}, 'Set3_Brawler_1': {'count': 16, 'average_placement': 6.875}, 'Protector_1': {'count': 10, 'average_placement': 7.0}, 'Set3_Celestial_2': {'count': 14, 'average_placement': 6.785714285714286}, 'SpacePirate_1': {'count': 60, 'average_placement': 6.583333333333333}, 'Blaster_1': {'count': 40, 'average_placement': 6.75}, 'Demolitionist_1': {'count': 37, 'average_placement': 6.324324324324325}, 'Mercenary_1': {'count': 123, 'average_placement': 6.40650406504065}, 'Rebel_1': {'count': 8, 'average_placement': 6.75}, 'SpacePirate_2': {'count': 13, 'average_placement': 6.846153846153846}, 'Starship_1': {'count': 6, 'average_placement': 6.666666666666667}, 'Valkyrie_1': {'count': 75, 'average_placement': 6.1066666666666665}, 'Set3_Sorcerer_3': {'count': 17, 'average_placement': 6.529411764705882}, 'StarGuardian_1': {'count': 26, 'average_placement': 6.6923076923076925}, 'Set3_Sorcerer_1': {'count': 9, 'average_placement': 7.0}, 'Set3_Mystic_1': {'count': 51, 'average_placement': 6.235294117647059}, 'Chrono_2': {'count': 6, 'average_placement': 6.333333333333333}, 'Blaster_2': {'count': 3, 'average_placement': 6.666666666666667}, 'Set3_Brawler_2': {'count': 1, 'average_placement': 5.0}, 'Set3_Sorcerer_2': {'count': 9, 'average_placement': 6.777777777777778}, 'Infiltrator_1': {'count': 11, 'average_placement': 6.2727272727272725}, 'DarkStar_2': {'count': 5, 'average_placement': 6.6}, 'Cybernetic_2': {'count': 11, 'average_placement': 6.181818181818182}}"
8,ManaReaver_1,405,6.382716049382716,"{6: 116, 5: 109, 7: 96, 8: 84}","{'Chrono_1': {'count': 294, 'average_placement': 6.292517006802721}, 'Set3_Blademaster_1': {'count': 276, 'average_placement': 6.286231884057971}, 'Set3_Celestial_1': {'count': 255, 'average_placement': 6.305882352941176}, 'Vanguard_1': {'count': 164, 'average_placement': 6.390243902439025}, 'Mercenary_1': {'count': 201, 'average_placement': 6.358208955223881}, 'Valkyrie_1': {'count': 156, 'average_placement': 6.25}, 'Protector_1': {'count': 43, 'average_placement': 6.511627906976744}, 'Set3_Celestial_2': {'count': 51, 'average_placement': 6.450980392156863}, 'SpacePirate_1': {'count': 63, 'average_placement': 6.650793650793651}, 'Demolitionist_1': {'count': 48, 'average_placement': 6.291666666666667}, 'Sniper_1': {'count': 108, 'average_placement': 6.37037037037037}, 'Cybernetic_2': {'count': 37, 'average_placement': 6.243243243243243}, 'Blaster_1': {'count': 64, 'average_placement': 6.484375}, 'Rebel_1': {'count': 6, 'average_placement': 6.666666666666667}, 'SpacePirate_2': {'count': 18, 'average_placement': 6.722222222222222}, 'Starship_1': {'count': 5, 'average_placement': 7.0}, 'Infiltrator_1': {'count': 23, 'average_placement': 6.260869565217392}, 'Set3_Brawler_1': {'count': 37, 'average_placement': 6.1891891891891895}, 'Cybernetic_1': {'count': 31, 'average_placement': 6.483870967741935}, 'DarkStar_1': {'count': 9, 'average_placement': 6.333333333333333}, 'Set3_Sorcerer_1': {'count': 5, 'average_placement': 6.6}, 'Chrono_2': {'count': 26, 'average_placement': 6.269230769230769}, 'Set3_Blademaster_2': {'count': 7, 'average_placement': 6.857142857142857}, 'Set3_Mystic_1': {'count': 82, 'average_placement': 6.280487804878049}, 'Set3_Celestial_3': {'count': 3, 'average_placement': 6.0}, 'Set3_Brawler_2': {'count': 2, 'average_placement': 5.5}, 'Vanguard_2': {'count': 4, 'average_placement': 6.5}}"
9,Set3_Blademaster_1,382,6.371727748691099,"{6: 100, 7: 92, 5: 110, 8: 80}","{'Chrono_1': {'count': 294, 'average_placement': 6.340136054421769}, 'ManaReaver_1': {'count': 276, 'average_placement': 6.286231884057971}, 'Set3_Celestial_1': {'count': 201, 'average_placement': 6.303482587064677}, 'Vanguard_1': {'count': 124, 'average_placement': 6.32258064516129}, 'Cybernetic_1': {'count': 33, 'average_placement': 6.454545454545454}, 'Set3_Brawler_1': {'count': 41, 'average_placement': 6.2926829268292686}, 'Mercenary_1': {'count': 165, 'average_placement': 6.193939393939394}, 'Valkyrie_1': {'count': 171, 'average_placement': 6.187134502923977}, 'Cybernetic_2': {'count': 40, 'average_placement': 6.325}, 'Protector_1': {'count': 61, 'average_placement': 6.60655737704918}, 'Demolitionist_1': {'count': 33, 'average_placement': 6.03030303030303}, 'Rebel_2': {'count': 15, 'average_placement': 5.933333333333334}, 'Infiltrator_1': {'count': 26, 'average_placement': 6.3076923076923075}, 'SpacePirate_1': {'count': 14, 'average_placement': 6.714285714285714}, 'Set3_Celestial_2': {'count': 57, 'average_placement': 6.385964912280702}, 'Sniper_1': {'count': 69, 'average_placement': 6.463768115942029}, 'Blaster_1': {'count': 67, 'average_placement': 6.268656716417911}, 'Chrono_2': {'count': 28, 'average_placement': 6.392857142857143}, 'DarkStar_1': {'count': 1, 'average_placement': 6.0}, 'Set3_Mystic_1': {'count': 70, 'average_placement': 6.2}, 'Rebel_1': {'count': 7, 'average_placement': 6.428571428571429}, 'Starship_1': {'count': 6, 'average_placement': 5.333333333333333}, 'Vanguard_2': {'count': 2, 'average_placement': 7.0}, 'SpacePirate_2': {'count': 1, 'average_placement': 6.0}, 'Set3_Brawler_2': {'count': 5, 'average_placement': 7.4}, 'Protector_2': {'count': 2, 'average_placement': 5.5}, 'Set3_Void_1': {'count': 2, 'average_placement': 7.5}, 'Set3_Celestial_3': {'count': 1, 'average_placement': 5.0}, 'Set3_Sorcerer_1': {'count': 2, 'average_placement': 6.0}}"
